,a_Jan,b_Feb,c_Mar,d_Apr,e_May,f_Jun,g_Jul,h_Aug,i_Sep,j_Oct,k_Nov,l_Dec
2016,0.124,0.154,0.176,0.137,0.14,0.146,0.166,0.204,0.152,0.192,0.163,0.122
2017,0.114,0.154,0.121,0.159,0.133,0.106,0.176,0.181,0.105,0.091,0.087,0.117
2018,0.125,0.177,0.199,0.203,0.183,0.128,0.214,0.227,0.19,0.158,0.209,0.14
2019,0.154,0.195,0.194,0.358,0.197,0.2,0.163,0.181,0.129,0.063,0.086,0.116
