조사년도,조사월,측정소명,Rain ,WT,pH,DO ,BOD ,COD ,SS ,EC ,TN ,TP ,TOC 
2013,12,영산호3,15.08,7.9,8,10.7,1.3,3,18,425,4.442,0.04,3.2
2014,1,영산호3,13.99,4.9,8.6,13.7,0.3,7.4,5.6,403,3.927,0.032,3.1
2014,2,영산호3,17.87,4,8.1,12.6,2.6,6.1,8.4,355,4.427,0.033,3.4
2014,3,영산호3,89.84,11.5,8.8,13,2.3,6.7,13.6,534,4.431,0.05,3.8
2014,4,영산호3,70.82,17.5,8.5,10,2.3,7.5,10,541,4.437,0.033,4.2
2014,5,영산호3,25.47,18.3,7.9,8.4,3.6,7.4,49.6,360,4.175,0.08,3.9
2014,6,영산호3,20.96,25.9,8.9,11.3,3.1,9,10,303,2.456,0.051,5.2
2014,7,영산호3,40.39,26.2,7.6,7.9,1.7,6.7,23.2,109,2.478,0.173,3.8
2014,8,영산호3,109.92,27.3,9.1,13.4,4.3,6.2,16,166,1.822,0.025,3.4
2014,9,영산호3,39.51,24.8,7.7,8,1.1,5.6,20.4,259,2.202,0.097,3.4
2014,10,영산호3,30.02,19,7.7,7.9,1.2,7.3,48.4,277,1.981,0.076,2.9
2014,11,영산호3,91.45,14.1,8.3,9.9,3.2,5.9,57.2,160,2.682,0.054,3
2014,12,영산호3,78.69,4.2,9.4,16.4,2.3,5.6,20.8,290,3.581,0.071,3.2
2015,1,영산호3,37.9,3.4,8.7,15.4,3.5,7,17.2,661,4.411,0.056,2.8
2015,2,영산호3,25.83,4.3,8.5,14.6,4.5,9.2,19.6,503,4.412,0.042,3.4
2015,3,영산호3,34.55,10.4,7.7,10.1,3.1,6.5,14.5,590,4.374,0.053,3.2
2015,4,영산호3,163.67,15.4,7.8,10.7,0.5,7.6,17.6,399,5.166,0.071,4.4
2015,5,영산호3,86.18,19.9,7.8,8.1,2.3,7,29.2,351,4.034,0.077,4
2015,6,영산호3,120.74,26.1,8,9.1,1.9,9.2,8.8,323,2.664,0.035,4.9
2015,7,영산호3,176.39,26.3,8.3,10.5,5.6,11.1,20.8,328,3.082,0.065,6.4
2015,8,영산호3,102.56,30.1,7.6,6.8,3.8,7.8,57.6,211,2.242,0.118,4.3
2015,9,영산호3,76.16,27.1,8,5.5,3.1,7.7,26.4,268,2.214,0.067,4.4
2015,10,영산호3,81.14,20.9,8.4,9.2,4,7.3,22,268,2.701,0.058,3.8
2015,11,영산호3,100.58,17.9,8,9,3.3,8.4,60,304,2.23,0.102,3.7
2015,12,영산호3,65.12,10,6.8,10.5,3.1,9.6,63.6,362,4.498,0.108,3.7
2016,1,영산호3,73.24,6.4,7.8,13.3,2.7,6.1,12.8,366,3.675,0.051,3.1
2016,2,영산호3,40.2,7.1,8.7,16.8,3.8,10.6,24,370,4.292,0.101,3.3
2016,3,영산호3,63.93,8.4,8.8,15.8,6,9.7,26.8,351,4.058,0.085,2.5
2016,4,영산호3,194.64,17,8.1,10,1.9,5.1,7.6,277,3.303,0.049,3.1
2016,5,영산호3,120.89,22.1,7.8,10,0.8,5.8,23.2,223,2.794,0.079,3.5
2016,6,영산호3,131.64,26.3,8.9,14.4,6.9,9.1,32,299,2.651,0.075,4.8
2016,7,영산호3,238.92,28.4,7.8,8.3,2.8,7.2,27.2,147,1.912,0.131,3.6
2016,8,영산호3,25.13,31.9,7.9,6.8,3.4,8.5,44.4,253,2.1,0.142,4.8
2016,9,영산호3,202.5,25.3,7.8,7.9,2.1,9.1,48,300,1.674,0.079,4.5
2016,10,영산호3,204.98,22.3,7.4,10.4,3.2,8.2,28.8,204,3.256,0.247,4.2
2016,11,영산호3,66.12,12.6,7.6,9.9,2.7,5.6,45.6,237,2.812,0.094,4
2016,12,영산호3,48.23,7.2,8.5,16.4,3.4,6.7,12,403,4.114,0.058,4.5
2017,1,영산호3,13.04,5.9,7.9,12.5,3,5.2,8.4,471,4.969,0.041,3
2017,2,영산호3,31.55,4.9,8.5,13.7,3.7,6.9,14.8,720,4.352,0.036,4.8
2017,3,영산호3,3.64,6.1,7.7,13.3,1.3,5.8,19.6,1169,4.671,0.059,4.7
2017,4,영산호3,6.29,13.9,7.9,11,3.6,7.1,14.8,844,3.967,0.038,4.2
2017,5,영산호3,17.77,23.8,8.3,11.7,1.6,7,6.4,600,3.439,0.043,5.1
2017,6,영산호3,69.08,25.3,8.2,11.3,1.9,10.7,24,508,4.145,0.048,7.2
2017,7,영산호3,125.33,33.4,8.2,11.5,5.6,12.5,38.4,336,3.918,0.111,12.5
2017,8,영산호3,216.94,31.9,9.3,11.2,4.6,8.1,33.6,314,2.377,0.178,5.6
2017,9,영산호3,115.2,24.2,7,5.2,3.2,7.7,78.4,214,2.873,0.184,4.2
2017,10,영산호3,49.27,18.1,7.6,8.1,2.4,7.6,38.8,294,2.626,0.078,3.6
2017,11,영산호3,1.56,14.4,8.2,10.9,3.2,8.2,31.6,389,2.189,0.105,3.9
2017,12,영산호3,40.44,7.3,7.8,11.9,1.3,5.3,12,423,3.191,0.049,3.4
2013,1,영산호2,15.1,2.2,7.8,18.5,3.8,7.3,16.1,678,3.722,0.052,3.4
2013,2,영산호2,52.31,3,7,15.8,3.6,7.9,27.7,379,4.602,0.089,3.8
2013,3,영산호2,72.76,7.6,7.8,11.1,2.2,5.5,10.1,402,4.289,0.038,2.9
2013,4,영산호2,46.35,12.2,6.8,9.1,1.5,5.2,11,339,3.779,0.046,4.1
2013,5,영산호2,153.07,16.6,7.3,6.7,2.3,5,13.4,559,3.749,0.037,2.8
2013,6,영산호2,83.92,21.3,6.6,4.7,5.6,7.6,69.8,439,4.003,0.08,4.4
2013,7,영산호2,217.35,25,7.3,7.8,2.4,6.7,27.1,123,2.578,0.175,3.6
2013,8,영산호2,189.16,30.5,7.4,5.6,0.7,6.2,22,243,2.334,0.063,3.9
2013,9,영산호2,138.9,25,6.9,6.8,1.7,7,29.5,141,2.444,0.126,3.6
2013,10,영산호2,18.08,20.5,7.8,7.5,1.3,6.1,43.7,389,2.152,0.083,3.3
2013,11,영산호2,95.91,17.5,7.3,6.4,1.3,5.4,22.5,873,2.634,0.063,3.1
2013,12,영산호2,15.08,9.1,7.7,9.7,0.7,4.7,15.3,898,3.311,0.038,3
2014,1,영산호2,13.99,5.2,7.8,10.9,1.1,5.6,9.1,889,3.3,0.029,3.2
2014,2,영산호2,17.87,4,7.6,11.2,1.5,5.3,8.3,542,3.634,0.029,3.3
2014,3,영산호2,89.84,9.1,8.3,11.4,1.2,5.8,8.3,759,3.991,0.028,3.4
2014,4,영산호2,70.82,14.6,8.1,9.1,1.1,6.5,9.5,909,4.405,0.03,3.7
2014,5,영산호2,25.47,17.7,7.8,8.6,1.6,6.5,14.8,618,4.323,0.047,4
2014,6,영산호2,20.96,20.9,8.9,7.8,1.9,7.4,9.2,873,2.837,0.049,4.4
2014,7,영산호2,40.39,24.8,7.1,6.8,1.9,7.4,33.6,114,2.452,0.171,3.5
2014,8,영산호2,109.92,26.1,7.6,6.8,1.6,5.5,23.5,357,2.314,0.06,3.4
2014,9,영산호2,39.51,24.5,7.4,5.7,0.5,5.8,12.2,414,2.117,0.086,3.2
2014,10,영산호2,30.02,19.8,7.4,6.6,1.2,5.7,26.1,589,2.135,0.049,3.2
2014,11,영산호2,91.45,14.1,7.6,8.6,4.2,6.5,29.2,208,3.212,0.043,3.2
2014,12,영산호2,78.69,5.1,9.2,12.4,1.9,6,16.7,562,3.323,0.069,3.1
2015,1,영산호2,37.9,3.4,8.6,13.5,2.6,6.6,14.9,531,3.944,0.052,3
2015,2,영산호2,25.83,4,8.3,12.4,2.4,7,12.1,667,3.947,0.027,3.3
2015,3,영산호2,34.55,8.1,7.6,10.5,1.4,6.3,6.8,1060,3.704,0.038,3.1
2015,4,영산호2,163.67,11.9,7.9,10.2,0.8,6.1,7.9,1157,4.033,0.044,3.6
2015,5,영산호2,86.18,17.1,7.5,6.5,3,6.9,30.3,954,3.869,0.068,3.5
2015,6,영산호2,120.74,21,7.9,5.9,2.4,7.1,10,988,3.075,0.044,3.7
2015,7,영산호2,176.39,24.1,7.9,6.6,2.4,9.4,12.8,594,2.959,0.046,6
2015,8,영산호2,102.56,28.9,7.4,6.8,4,7.2,29.5,237,2.437,0.08,4.3
2015,9,영산호2,76.16,26.5,7.6,4.7,2.4,7.1,16.1,340,1.878,0.057,4.5
2015,10,영산호2,81.14,19.6,7.4,6.6,2.3,6.7,25.6,330,2.369,0.11,3.6
2015,11,영산호2,100.58,17.4,7.6,7.7,1.3,6.5,30.7,582,2.038,0.067,3.5
2015,12,영산호2,65.12,10.1,7.4,9.8,4,8,22.2,425,4.301,0.082,4.2
2016,1,영산호2,73.24,6.6,7.6,11.7,1.4,6.1,10.2,733,3.575,0.047,3.3
2016,2,영산호2,40.2,5.4,8.7,15.6,3.9,9.3,22.7,727,4.224,0.075,3.6
2016,3,영산호2,63.93,6.4,8.5,13.4,5.5,7.3,16,798,3.77,0.057,3.3
2016,4,영산호2,194.64,11.1,7.8,10.7,2.1,5.6,7.9,1106,4.01,0.056,3.3
2016,5,영산호2,120.89,20.1,7.7,9.1,3.5,5.8,28.3,275,2.949,0.096,3.7
2016,6,영산호2,131.64,23.5,8.9,10.8,3.6,8.1,19.6,667,2.618,0.039,4.5
2016,7,영산호2,238.92,26.1,7.8,7.8,3.2,6.9,34.8,135,2.046,0.139,3.6
2016,8,영산호2,25.13,28.4,7.7,5.5,1.3,6.7,16.9,315,2.189,0.085,3.8
2016,9,영산호2,202.5,25.5,7.5,5.7,1.7,7.3,14.5,620,1.534,0.05,4.5
2016,10,영산호2,204.98,22.2,7.1,11.3,3.3,7.6,27.2,195,2.944,0.197,3.8
2016,11,영산호2,66.12,13.5,7.3,7.8,3.2,5.5,26.3,281,2.935,0.072,4
2016,12,영산호2,48.23,8,8,11.7,1.9,5.7,11.6,1030,3.23,0.054,3.5
2017,1,영산호2,13.04,6.3,7.5,12.6,2.2,5.1,8.3,1040,3.808,0.033,3
2017,2,영산호2,31.55,4.3,8,11.8,2.5,6.7,10.4,1728,4.309,0.036,4.2
2017,3,영산호2,3.64,5.9,7.7,13.1,1.2,5.4,10.7,1397,4.25,0.043,4.4
2017,4,영산호2,6.29,11.6,7.7,10.5,2.5,6.3,8.5,1804,3.867,0.026,3.9
2017,5,영산호2,17.77,18.2,7.8,9.1,1.2,6.4,7.6,2114,3.612,0.045,4.4
2017,6,영산호2,69.08,18.1,7.6,8,1.6,7.8,20,2513,3.805,0.041,4.6
2017,7,영산호2,125.33,24.8,7.6,5.3,2.6,8.6,18.7,1895,2.956,0.06,6.3
