,a_Jan,b_Feb,c_Mar,d_Apr,e_May,f_Jun,g_Jul,h_Aug,i_Sep,j_Oct,k_Nov,l_Dec
2016,120,468,328,745,375,296,1293,242,1960,1450,140,210
2017,180,200,173,150,56,285,1378,2218,1438,275,73,558
2018,574,361,1195,380,433,278,1000,1138,1570,1136,310,1098
2019,178,190,346,743,722,941,3196,1813,3226,2930,2230,1008
