spot,Flow,Temperature,pH,DO,BOD,COD,SS,EC,TN,NO3N,NH3N,TP,PO4P,TOC
광주천2,1.603,17.2,7.5,10.6,3.5,6.5,10.5,297,4.097,2.877,0.481,0.129,0.051,5.1
고막원천4,3.840,16.0,7.4,10.7,2.5,6.4,36.8,222,2.584,1.868,0.098,0.131,0.042,5.1
만봉천,1.749,15.7,7.3,10.8,2.3,7.1,28.2,223,2.321,1.475,0.126,0.151,0.060,5.5
무안천,0.219,16.1,7.1,8.5,8.5,14.7,28.3,564,9.690,0,0,0.367,0,8.7
문평천,0.474,15.1,7.3,10.8,1.8,5.0,13.8,202,2.926,2.232,0.114,0.085,0.035,3.8
삼포천2,0,17.0,7.3,10.1,4.3,10.3,81.6,351,2.724,1.604,0.165,0.170,0.024,7.5
영산천,1.047,16.7,7.6,11.4,2.9,7.6,42.4,277,4.801,3.784,0.199,0.275,0.158,5.8
영암천2,0,17.1,7.5,10.8,3.3,8.5,47.1,377,2.513,1.534,0.135,0.130,0.020,6.2
장성천2,1.300,16.1,7.5,10.8,4.3,8.3,32.5,244,3.708,2.079,0.617,0.269,0.142,6.2
지석천4,9.393,16.4,7.5,11.0,1.9,5.3,12.8,225,2.876,2.294,0.079,0.122,0.067,4.3
평동천,0.646,15.4,7.3,10.4,3.6,7.6,20.1,268,3.803,2.669,0.302,0.196,0.090,5.6
풍영정천2,1.449,15.7,7.4,11.4,2.6,6.0,13.3,235,2.257,1.481,0.130,0.113,0.034,4.4
함평천3,2.558,15.9,7.1,9.1,3.0,7.3,35.2,332,3.878,2.748,0.315,0.168,0.062,5.7
황룡강5,7.351,16.3,7.4,10.9,2.3,5.3,11.8,227,1.767,1.204,0.079,0.092,0.033,4.3
