spot,Flow,Temperature,pH,DO,BOD,COD,SS,EC,TN,NO3N,NH3N,TP,PO4P,TOC
광주천2,1.791,18.5,7.6,9.0,6.9,11.1,19.6,392,4.082,1.841,1.238,0.231,0.076,7.2
고막원천4,3.161,17.9,7.8,10.0,4.4,10.3,41.7,266,2.956,2.011,0.120,0.204,0.076,6.3
만봉천,1.305,17.9,7.7,11.4,3.1,8.0,15.2,270,2.185,1.463,0.095,0.158,0.081,5.3
무안천,0.161,18.0,7.0,7.6,6.3,13.0,43.1,605,6.302,0,0,0.267,0,8.5
문평천,0.236,17.4,7.2,10.1,1.9,4.7,17.6,259,3.353,2.908,0.090,0.070,0.022,3.0
삼포천2,0,19.5,7.3,8.5,4.5,10.8,66.6,992,3.335,2.095,0.342,0.185,0.043,7.4
영산천,0.717,20.2,7.5,10.0,3.2,8.0,21.9,350,4.902,3.607,0.572,0.200,0.115,5.6
영암천2,0,20.0,7.8,9.9,3.7,9.5,31.8,1368,2.428,1.467,0.188,0.114,0.022,6.3
장성천2,0.919,16.9,7.3,8.7,4.2,10.2,26.8,309,4.059,2.395,0.656,0.451,0.337,6.8
지석천4,4.234,17.9,7.8,10.0,3.7,7.7,21.3,302,3.186,2.268,0.139,0.162,0.081,5.2
평동천,0.560,18.0,7.5,9.5,3.7,10.5,30.3,410,5.244,3.675,0.587,0.322,0.207,7.2
풍영정천2,0,17.8,7.4,10.2,5.2,10.1,24.1,297,2.597,1.523,0.285,0.184,0.065,7.1
함평천3,2.073,17.8,7.2,8.5,3.7,10.2,53.5,459,3.606,2.436,0.294,0.212,0.072,7.2
황룡강5,3.685,18.4,7.5,9.9,4.4,7.6,14.1,285,2.082,1.002,0.451,0.118,0.028,5.1
