spot,Flow,Temperature,pH,DO,BOD,COD,SS,EC,TN,NO3N,NH3N,TP,PO4P,TOC
광주천2,1.660,17.4,7.3,10.0,4.5,7.5,14.5,348,4.203,2.584,0.792,0.170,0.068,5.5
고막원천4,2.894,16.9,7.9,10.4,4.1,9.2,45.4,226,2.972,2.100,0.110,0.181,0.063,5.9
만봉천,1.295,17.6,7.7,12.6,2.3,6.2,14.6,246,2.092,1.552,0.073,0.155,0.093,4.3
무안천,0.185,17.7,7.0,7.4,5.6,11.4,21.4,654,8.076,0,0,0.235,0,7.9
문평천,0.285,16.8,7.2,11.7,1.7,4.3,6.7,227,2.871,2.474,0.048,0.051,0.018,2.8
삼포천2,0,18.4,7.4,9.4,3.5,9.1,64.7,572,3.803,2.585,0.449,0.177,0.050,6.7
영산천,0.727,19.2,7.4,10.7,2.0,6.2,22.2,315,4.769,3.959,0.233,0.174,0.097,4.5
영암천2,0,18.6,7.5,10.1,3.1,7.5,35.9,908,2.693,1.782,0.252,0.114,0.025,5.4
장성천2,0.760,16.4,7.3,10.4,3.2,8.4,16.2,297,4.288,2.362,0.798,0.339,0.238,5.8
지석천4,5.091,16.8,7.7,11.3,2.8,6.5,12.8,266,3.180,2.495,0.083,0.150,0.082,4.5
평동천,0.364,16.9,7.4,10.1,3.0,7.6,17.4,320,4.722,3.490,0.390,0.245,0.155,5.5
풍영정천2,0,17.2,7.1,10.8,3.5,7.1,15.5,274,2.516,1.644,0.249,0.154,0.069,5.3
함평천3,2.019,17.0,7.2,9.2,3.2,8.2,37.5,361,3.599,2.600,0.296,0.170,0.065,5.6
황룡강5,5.554,17.2,7.8,11.4,3.8,7.3,17.2,234,1.840,1.035,0.196,0.103,0.016,4.8
