spot,Flow,Temperature,pH,DO,BOD,COD,SS,EC,TN,NO3N,NH3N,TP,PO4P,TOC
광주천2,2.084,15.5,7.7,10.1,4.1,7.0,16.6,307,4.215,2.539,0.720,0.129,0.046,4.7
고막원천4,3.871,15.8,7.8,10.7,3.3,7.1,40.3,236,2.480,1.665,0.117,0.117,0.032,5.2
만봉천,1.425,15.4,7.6,11.0,2.3,6.3,13.8,218,2.157,1.372,0.130,0.111,0.048,4.7
무안천,0.255,15.6,7.4,7.8,9.9,11.3,23.8,575,9.053,0,0,0.315,0,8.7
문평천,0.526,15.3,7.3,10.8,2.4,5.0,12.2,227,2.898,2.145,0.090,0.065,0.017,3.5
삼포천2,0,16.0,7.6,9.6,4.4,9.9,96.8,438,2.791,1.599,0.189,0.195,0.030,6.7
영산천,0.638,15.3,7.8,11.1,5.8,12.2,26.7,338,8.164,4.150,1.687,0.424,0.277,8.0
영암천2,0,16.2,7.6,9.7,2.9,6.9,31.7,597,2.663,1.628,0.202,0.097,0.019,5.1
장성천2,1.082,15.4,7.5,10.1,4.1,8.1,22.3,256,3.642,2.009,0.654,0.262,0.159,5.8
지석천4,5.249,15.4,7.9,11.1,3.1,6.3,14.7,250,3.154,2.215,0.110,0.135,0.064,4.4
평동천,0.488,14.9,7.5,10.3,3.2,7.0,18.4,278,4.554,3.194,0.468,0.191,0.110,5.2
풍영정천2,1.339,15.6,7.9,11.6,3.6,6.5,15.1,248,2.181,1.270,0.245,0.117,0.042,4.7
함평천3,3.410,15.7,7.3,9.0,4.7,8.8,41.3,399,5.847,2.907,1.726,0.180,0.057,6.3
황룡강5,5.120,15.9,7.9,10.7,3.1,6.1,12.0,232,1.723,1.008,0.142,0.165,0.086,4.3
