spot,Flow,Temperature,pH,DO,BOD,COD,SS,EC,TN,NO3N,NH3N,TP,PO4P,TOC
광주천2,1.770,15.6,7.7,10.0,4.6,9.3,12.5,319,3.348,1.731,0.733,0.160,0.063,7.1
고막원천4,3.336,16.3,7.7,9.9,3.1,8.4,41.8,242,2.806,1.932,0.108,0.122,0.039,6.3
만봉천,1.424,16.4,7.4,11.4,2.3,7.5,12.3,273,2.551,1.674,0.182,0.196,0.123,6.0
무안천,0.323,16.0,7.0,7.8,5.0,11.0,25.7,615,6.735,0,0,0.248,0,8.3
문평천,0.526,15.3,7.3,10.5,1.5,5.2,7.0,211,2.918,2.151,0.050,0.051,0.021,4.0
삼포천2,0,16.9,7.3,9.3,4.3,11.6,62.3,439,3.377,2.059,0.312,0.174,0.031,8.6
영산천,0.876,16.9,7.3,10.5,3.9,9.5,24.3,318,6.332,4.065,1.317,0.294,0.190,7.5
영암천2,0,17.2,7.4,10.5,3.3,8.9,25.8,530,2.590,1.553,0.229,0.098,0.023,6.7
장성천2,1.096,16.0,7.3,10.7,3.9,8.9,19.9,273,3.552,2.054,0.551,0.254,0.153,6.8
지석천4,4.930,15.2,7.5,10.7,2.2,6.9,11.2,288,3.591,2.782,0.069,0.151,0.091,5.5
평동천,0.699,15.5,7.5,10.4,3.1,8.4,30.4,280,4.122,2.882,0.366,0.233,0.122,6.6
풍영정천2,0,15.3,7.5,10.6,3.0,7.6,20.7,260,2.294,1.460,0.147,0.134,0.047,5.9
함평천3,3.663,16.4,7.5,8.9,3.2,9.0,35.9,376,3.883,2.738,0.258,0.152,0.056,6.8
황룡강5,5.529,16.0,7.6,10.8,2.8,6.9,22.7,277,1.739,1.045,0.079,0.091,0.024,5.4
