spot,Flow,Temperature,pH,DO,BOD,COD,SS,EC,TN,NO3N,NH3N,TP,PO4P,TOC
광주천2,2.145,16.1,7.4,10.3,4.3,8,10.4,319,6.203,3.229,1.548,0.332,0.237,4.2
고막원천4,4.84,15,7.4,10.9,3,7.3,23.3,232,3.15,2.36,0.167,0.085,0.026,4.7
만봉천,2.637,18.1,7.2,10.2,2.3,7.3,20.5,205,2.435,1.956,0.067,0.092,0.032,4.6
무안천,0.275,15.1,7.3,9.8,7.7,12.5,26.4,569,7.835,0,0,0.294,0,8.9
문평천,0.895,18,7.1,10,1.9,5.4,16,195,3.046,2.529,0.085,0.06,0.023,2.9
삼포천2,0.945,19.6,7.2,8.8,4.4,11.7,81.5,336,2.338,1.873,0.187,0.145,0.032,6.3
영산천,0.587,19,7.4,10.3,4.8,11.3,52.6,264,4.742,4.792,0.304,0.174,0.09,6.1
영암천2,0.85,19.5,7.3,9,3,9,53.1,330,2.293,1.799,0.126,0.117,0.028,4.6
장성천2,1.266,18.6,7.3,9.2,4.3,9,25.1,223,3.475,2.63,0.663,0.164,0.097,5.6
지석천4,7.976,15.7,7.9,12,2.3,6.1,17.2,246,4.142,2.549,0.987,0.136,0.094,3.6
평동천,0.704,18.4,7.2,9.8,3.2,8.6,25,217,3.05,2.887,0.179,0.109,0.066,4.8
풍영정천2,1.298,15.7,7.4,10.9,3.7,6.7,10.3,269,2.558,1.161,0.471,0.113,0.029,4.2
함평천3,6.661,18.6,7,8.8,4.2,9.2,41.5,296,3.635,2.554,0.43,0.114,0.044,5.8
황룡강5,9.944,15.5,7.9,11.4,2.9,6.5,12.3,223,2.277,1.291,0.422,0.073,0.03,3.7
