"number","site","month","pH","DO","Temp","EC","BOD","COD","SS","T_N","T_P","TOC","NH3_N","PO4_P","Chl_a","Flow","Rain","logTC","logFC"
1,"영산포-1","Jan-15",-0.414278377467374,1.50831647988616,-1.46567005385761,0.836091871966343,-0.36818999360547,-1.31618140700694,-0.10491980682282,0.702511956464161,-0.609019644159702,-1.38870659939717,0.386832789049206,-0.771357778440978,0.0206270841390051,-0.247473160508367,-0.787665067312524,-1.04344334981248,0.190370195601289
2,"영산포-1","Feb-15",-0.610000445562198,1.37648983925518,-1.4777216097342,0.521172357298713,0.254102953333351,-0.882010386980219,-0.431942581335504,1.11390454699613,-0.708677404113108,-1.08505355288175,0.791945522957038,-1.2159443942571,0.691261346786466,-0.577586980720276,-1.01221923787091,-0.140200328273126,-1.22692483470586
3,"영산포-1","Mar-15",0.172887826817095,1.14579321815096,-0.911298483534602,0.766109757595759,1.29125786489805,-0.0619095713741807,0.835270669901149,1.33733328150918,-0.476142630888494,-0.47774745985092,1.25805534464076,-1.26040305583872,1.12107694239234,-0.697872577054272,-0.885360712945067,-1.18372838256086,-0.571062451440513
4,"영산포-1","Apr-15",-0.218556309372552,-0.271343168632106,-0.18820513093937,0.0896159853467762,1.18754237374158,-0.447839366953493,0.03815265702648,0.428723094489437,-0.243607857663881,-0.599208678457086,0.864451495218951,-0.193395177880015,-0.262868308707421,-0.0545585440554164,0.940235530815286,0.512925044744326,0.341032153774747
5,"영산포-1","May-15",-0.805722513657021,-0.534996449894073,0.450527330519752,-0.913460987298267,-0.783051958231351,-0.930251611427633,0.978343133750448,-0.639479045753918,-0.276827110981683,-0.963592334275584,-0.307152945457676,-0.193395177880015,-0.787182368595436,0.0835029220428532,-0.252526232280536,-0.283096142730942,-0.0513038098859183
6,"영산포-1","Jun-15",-1.19716664984667,-0.996389692102513,0.896434897953478,-0.388595129518884,1.18754237374158,-0.110150795821595,1.87765576366033,-0.296888319500571,-0.476142630888494,0.0688280238768274,0.161258653123255,-0.815816440022591,-0.18665986977021,0.197288386895883,0.330731353585392,-1.10320103772649,-0.243131259807837
7,"영산포-1","Jul-15",-0.414278377467374,-0.930476371787021,1.10131134785546,-1.28669893060805,-0.47190548476194,-0.447839366953493,1.12141559759975,-0.862198482697087,0.719750488552376,-0.720669897063252,-0.718020121608516,0.429026084262561,-0.589040427358687,0.400052692378665,0.940235530815286,0.458883601288048,-0.379235001518594
8,"영산포-1","Aug-15",-0.610000445562198,-1.45778293431095,1.33029090951062,-0.306949329419869,-0.160759011292529,-0.110150795821595,1.06009882737862,-0.505421805046086,2.41393240776027,-0.47774745985092,-0.4510140015329,1.49603396222126,-0.677442216525852,0.251345602783507,-0.125667707354696,0.763160783361318,1.53077675588679
9,"영산포-1","Sep-15",-0.610000445562198,-0.86456305147153,1.00489890084276,-1.13507101613845,-0.886767449387822,-0.833769162532805,0.0585915804335224,-1.15584767662853,0.586873475281168,-1.02432294357867,-0.890653388898786,-0.0155605315535642,-0.774989018365483,0.056374822290659,-0.227737784881234,0.35642441132423,0.474980517252185
10,"영산포-1","Oct-15",-0.610000445562198,-0.403169809263089,0.366166439383641,-1.10007995895316,-0.36818999360547,-0.930251611427633,0.242541891096908,-0.923907371276882,-0.011073084439267,-0.902861724972501,-0.819298305085474,-0.148936516298402,-0.360415110547052,-0.608694752807756,-0.159205018541987,0.285394259226513,0.455127057262145
11,"영산포-1","Nov-15",-1.19716664984667,-0.304299828789852,-0.152050463309608,0.416199185742837,-0.0570435201360593,-0.930251611427633,-0.677209662220018,-0.140842854126376,-0.642238897477504,-0.842131115669418,-0.5154637546546,-0.815816440022591,-0.561605389341291,-0.503996206453627,0.170335517472262,-0.69150701601265,-1.22692483470586
12,"영산포-1","Dec-15",-1.58861078603631,-0.073603207685632,-0.851040704151666,0.0196338709761918,-1.50906039632664,-1.41266385590177,-1.41301090487356,0.156352827654478,0.387557955374356,-2.29966573894341,-0.299096726317463,1.22928199273159,-0.994469322504651,-0.249197685186991,-0.376468469277045,0.259728289008132,0.455127057262145
13,"영산포-1","Jan-16",1.54294230348086,1.57422980020166,-1.5741340567469,0.672800271768313,0.357818444489822,-0.158392020269009,-0.10491980682282,0.76776733289337,-0.442923377570692,0.554672898301491,-0.94474514598307,-1.2159443942571,2.50807053104959,-0.598977719522434,-0.232112216775228,-0.968632249435853,-0.898993643073189
14,"영산포-1","Feb-16",-0.610000445562198,1.47535981972842,-1.36925760684492,0.544499728755575,-0.264474502449,-0.930251611427633,-0.288870117486205,0.65498901928202,0.719750488552376,-0.599208678457086,-0.0677681481485024,0.295650099517724,0.0267237592539821,0.00762383618341514,-0.796413931100513,0.690706641758841,0.623871651010414
15,"영산포-1","Mar-16",-0.218556309372552,1.17874987830871,-0.766679813015556,-0.446913558161037,0.668964917959233,-0.351356918058665,0.651320359237764,-0.0720409898477535,0.0221461688785345,-0.47774745985092,-0.509709312411592,-0.682440455277753,0.072448822616309,-0.117934825994834,-0.586441200188779,1.80855834447016,1.4217149286324
16,"영산포-1","Apr-16",-0.805722513657021,-0.073603207685632,-0.0315349045437365,-0.201976157863992,0.150387462176882,-1.02673406032246,-0.738526432441146,-0.206807528125468,-0.708677404113108,-0.720669897063252,-0.444108670841289,-0.46014714736969,-0.698780579428271,0.0416168707139763,1.41267417536669,-1.2131517435951,-1.55485602633854
