log TC
3.1004
3.4158
2.9025
3.8997
3.0682
3.3842
3.5746
3.6532
3.382
3.9506
4.0086
3.8376
3.3979
3.9071
3.8414
3.541
3.6508
3.6721
4.0531
3.3122
4.0364
4.301
4.0406
4.2007
3.4472
3.0934
3.0607
3.9132
2.7853
3.0637
3.8482
4.1931
3.7243
3.3979
2.9518
3.317
3.8451
3.0286
4.0588
3.6665
3.8146
3.4232
3.7024
3.8528
3.9482
3.9455
3.7054
3.6435
2.7185
3.0881
3.4065
3.4636
3.8963
3.4624
4.2529
4.0783
3.9948
3.9204
3.8366
3.6628
4.5988
4.0569
4.0334
4.8096
4.2553
4.0881
5.1492
4.9138
4.243
4.1614
4.4609
4.7324
4.1688
4.273
4.0467
3.5185
3.6812
3.2788
3.6835
3.9675
4.1561
4.1351
4.1348
4.6128
3.9754
3.9365
4.238
4.525
4.2234
4.4878
4.8497
5.4257
4.4074
3.9031
4.5641
4.7976
4.8528
4.2162
4.8146
4.6075
4.9542
4.1584
4.1414
3.8451
3.8921
4.0689
4.3594
4.5208
3.8921
3.8921
4.48
4.9229
3.9432
4.1302
4.3715
5.0289
4.1139
4.0986
5.2309
4.2335
4.8722
4.7076
4.5159
5.3838
4.4553
4.7118
5.2788
5.3512
4.3979
5.277
4.638
4.2553
3.8162
4.4983
4.7279
4.7384
4.357
4.3952
4.143
4.419
4.4983
4.9098
4.4533
4.8588
4.6042
5.0406
4.4878
4.9151
4.5883
4.6266
4.8921
5.4208
5.1584
4.4962
3.688
4.7526
4.9811
4.842
5.4635
5.3627
4.8112
4.0719
5.3856
5.1652
4.7324
4.4301
4.9141
5.3953
4.1973
4.368
4.7818
4.9965
4.663
4.3962
5.0284
5.3111
4.6613
4.1123
5.3928
5.0443
4.7284
5.0022
4.9284
5.3274
4.2492
5.0934
5.4385
4.6435
4.5855
4.2368
4.5038
4.8893
3.7959
4.5593
4.662
4.3274
4.4586
4.3147
4.716
3.9191
4.9178
5.3185
5.1853
4.937
4.0253
5.2117
5.3664
5.372
3.8808
5.0755
5.0043
5.5938
4.6167
3.9868
4.3683
5.526
5.0043
5.0917
5.4237
5.2648
5.0294
4.248
4.7263
5.0086
4.3921
4.4562
4.7966
5.1503
3.769
4.1399
5.3022
5.2693
4.7271
4.7969
5.1892
4.9148
5.3064
4.2636
4.4955
5.303
3.8376
3.5653
3.1796
4.2495
3.7241
3.8022
3.9357
3.6051
4.0315
3.2925
4.2946
4.2148
2.942
3.7452
3.5653
3.7616
3.9395
4.0512
4.4358
4.0083
4.0881
4.5563
3.8325
3.7694
3.1976
3.4871
3.7222
3.4472
2.3424
2
3.9901
4.3711
4.0202
3.317
3.1176
4.0837
3.5821
3.0473
4.1287
4.7752
4.8949
3.8722
4.831
4.5159
5.0032
4.4716
4.6146
4.2298
2.8633
3.9151
4.3541
4.8971
4.7995
4.2793
4.7394
4.7396
4.715
3.5119
3.3334
4.1531
3.2672
3.1477
3.2686
3.3086
3.3118
3.8648
3.942
3.8146
3.0107
3.0354
3.4461
3.9112
2.8603
3.4548
3.073
3.6735
3.256
2.9201
4.0221
2.0682
3.4213
4.2833
3.1335
3.0245
2.9031
3.29
2.8543
2.3522
2.1644
1.8865
4.0336
4.3609
3.932
3.0043
2.2175
4.238
3.3345
2.9085
3.9138
3.9027
4.5075
2.4928
3.4071
4.2437
3.9731
4.3272
4.3761
3.9614
2.5798
3.7101
3.4735
4.2723
4.4111
3.6599
4.2685
4.5237
4.2962
3.7324
3.1351
3.5119
3.2844
3.1688
2.8169
3.7597
3.8129
3.4771
3.716
3.937
3.5072
2.716
3.3139
3.3522
3
3.3118
3.2524
2.5119
2.989
1.9345
2.2695
2.3284
2.5105
3.4928
2.9768
3.2492
3.2368
2.6107
2.6415
2.7634
3.0473
3.1931
3.5403
4.1004
3.0273
3.073
2.9581
3.1383
3.0531
2.9217
3.7672
4.3531
3.8096
3.1
3.7637
3.5927
3.7684
3.7559
3.4717
3.7364
2.2967
3.1461
3.0881
2.5775
2.4346
2.2945
3.7455
2.5366
3.167
3.2274
2.8965
3.601
2.0043
2.617
2.0374
3.2882
2.2718
2.2041
3.2676
1.7634
1.6532
1.9395
2.7033
3.1772
2.1987
2.721
2.9294
2.5798
2.7419
2.4829
3.5064
2.2148
3.1335
4.0978
2.6021
2.7284
2.1004
2.5441
2.3617
1.6812
1.9685
0.7782
2.5866
4.3618
3.9244
2.4983
2.1903
2.0334
2.4654
1.6128
3.699
2.9685
2.9566
0.9542
3.7642
4.1775
3.5079
3.3002
3.7222
3.5428
2.3385
3.0022
3.2055
2.29
2.4346
2.2742
3.812
3.8879
3.9053
3.5712
2.5024
3.2082
1.7243
2.3747
1.6232
2.8451
2.2718
1.6812
2.8062
3.0253
2.7324
2.6812
1.9777
2.6628
1.7782
2.9731
3.7782
1.6021
3.5911
2.301
4.1761
2
2.7324
3.9542
2.8451
2.301
1.8129
1.7782
1.6021
2.0792
2.0414
2.4771
2.7782
3
2
2.4771
2
1.5563
2.0414
1.3979
2.9031
2.1139
2.9542
2.4771
3.6021
2.6021
3.2788
2.1139
2.9243
3.301
2.1461
2.4771
2.699
1.6021
0.301
1.8129
3.5315
2.7324
2.2041
3.2553
2.4624
3.5682
1.8261
1.9031
2.1239
3.1206
2.2856
1.8129
2.4771
3.6812
3.0334
2.7482
2.6021
2.2553
1.6532
2.6721
3.1139
1.7782
4.2625
2
4.2041
2.4771
3.1761
3.9031
2.6021
2
1.8451
1.9542
1.301
1.9031
1.9031
2.4771
2.6021
2
2.6021
2.301
1.699
1.0792
1.6435
0.699
2.9031
1.4771
2.4771
2
4.301
2
2.6021
2.4771
2.6021
3.6021
1.6021
2.3424
2
1.9031
0.9031
1.7404
3.4624
1.9912
2.5185
3.3222
2.6532
3.301
