,1 ,2,3,4,5,6,7,8,9,10,11,12
2016,60 ,462,258,1314,1864,1360,7305,2456,2175,8050,1416,545
2017,54 ,81,70,163,81,52,2865,11600,3185,630,172,1225
2018,176 ,144,3100,13833,20125,1975,14806,10315,57875,9980,22395,3690
2019,34 ,1183,1783,14434,19518,2370,25288,23030,16658,883,300,3168
