Date,Chla,y_t+1,Chla_t-12,Chla_t-11,Chla_t-10,Chla_t-9,Chla_t-8,Chla_t-7,Chla_t-6,Chla_t-5,Chla_t-4,Chla_t-3,Chla_t-2,Chla_t-1,Chla_t-0
2016.12.19,41.4,10.3,89.4,18.1,4.5,7.8,14.4,34.7,40.1,51.1,21.4,11.9,22.8,35.5,41.4
2016.12.26,10.3,11,18.1,4.5,7.8,14.4,34.7,40.1,51.1,21.4,11.9,22.8,35.5,41.4,10.3
2017.01.02,11,63.9,4.5,7.8,14.4,34.7,40.1,51.1,21.4,11.9,22.8,35.5,41.4,10.3,11
2017.01.09,63.9,59,7.8,14.4,34.7,40.1,51.1,21.4,11.9,22.8,35.5,41.4,10.3,11,63.9
2017.01.16,59,94.3,14.4,34.7,40.1,51.1,21.4,11.9,22.8,35.5,41.4,10.3,11,63.9,59
2017.01.24,94.3,124.7,34.7,40.1,51.1,21.4,11.9,22.8,35.5,41.4,10.3,11,63.9,59,94.3
2017.01.31,124.7,115.1,40.1,51.1,21.4,11.9,22.8,35.5,41.4,10.3,11,63.9,59,94.3,124.7
2017.02.06,115.1,142.4,51.1,21.4,11.9,22.8,35.5,41.4,10.3,11,63.9,59,94.3,124.7,115.1
2017.02.13,142.4,61.8,21.4,11.9,22.8,35.5,41.4,10.3,11,63.9,59,94.3,124.7,115.1,142.4
2017.02.20,61.8,73.6,11.9,22.8,35.5,41.4,10.3,11,63.9,59,94.3,124.7,115.1,142.4,61.8
2017.02.27,73.6,49.4,22.8,35.5,41.4,10.3,11,63.9,59,94.3,124.7,115.1,142.4,61.8,73.6
2017.03.06,49.4,22.9,35.5,41.4,10.3,11,63.9,59,94.3,124.7,115.1,142.4,61.8,73.6,49.4
2017.03.13,22.9,8.8,41.4,10.3,11,63.9,59,94.3,124.7,115.1,142.4,61.8,73.6,49.4,22.9
2017.03.20,8.8,42.9,10.3,11,63.9,59,94.3,124.7,115.1,142.4,61.8,73.6,49.4,22.9,8.8
2017.03.27,42.9,36.3,11,63.9,59,94.3,124.7,115.1,142.4,61.8,73.6,49.4,22.9,8.8,42.9
2017.04.03,36.3,40.8,63.9,59,94.3,124.7,115.1,142.4,61.8,73.6,49.4,22.9,8.8,42.9,36.3
2017.04.10,40.8,112.2,59,94.3,124.7,115.1,142.4,61.8,73.6,49.4,22.9,8.8,42.9,36.3,40.8
2017.04.17,112.2,55,94.3,124.7,115.1,142.4,61.8,73.6,49.4,22.9,8.8,42.9,36.3,40.8,112.2
2017.04.24,55,10.7,124.7,115.1,142.4,61.8,73.6,49.4,22.9,8.8,42.9,36.3,40.8,112.2,55
2017.05.08,10.7,30.2,115.1,142.4,61.8,73.6,49.4,22.9,8.8,42.9,36.3,40.8,112.2,55,10.7
2017.05.15,30.2,14.2,142.4,61.8,73.6,49.4,22.9,8.8,42.9,36.3,40.8,112.2,55,10.7,30.2
2017.05.22,14.2,25.7,61.8,73.6,49.4,22.9,8.8,42.9,36.3,40.8,112.2,55,10.7,30.2,14.2
2017.05.29,25.7,49.7,73.6,49.4,22.9,8.8,42.9,36.3,40.8,112.2,55,10.7,30.2,14.2,25.7
2017.06.05,49.7,44.8,49.4,22.9,8.8,42.9,36.3,40.8,112.2,55,10.7,30.2,14.2,25.7,49.7
2017.06.12,44.8,25.5,22.9,8.8,42.9,36.3,40.8,112.2,55,10.7,30.2,14.2,25.7,49.7,44.8
2017.06.19,25.5,15.8,8.8,42.9,36.3,40.8,112.2,55,10.7,30.2,14.2,25.7,49.7,44.8,25.5
2017.06.26,15.8,10.8,42.9,36.3,40.8,112.2,55,10.7,30.2,14.2,25.7,49.7,44.8,25.5,15.8
2017.07.03,10.8,11.6,36.3,40.8,112.2,55,10.7,30.2,14.2,25.7,49.7,44.8,25.5,15.8,10.8
2017.07.10,11.6,8.3,40.8,112.2,55,10.7,30.2,14.2,25.7,49.7,44.8,25.5,15.8,10.8,11.6
2017.07.17,8.3,27,112.2,55,10.7,30.2,14.2,25.7,49.7,44.8,25.5,15.8,10.8,11.6,8.3
2017.07.24,27,33.5,55,10.7,30.2,14.2,25.7,49.7,44.8,25.5,15.8,10.8,11.6,8.3,27
2017.08.07,33.5,31,10.7,30.2,14.2,25.7,49.7,44.8,25.5,15.8,10.8,11.6,8.3,27,33.5
2017.08.14,31,12.3,30.2,14.2,25.7,49.7,44.8,25.5,15.8,10.8,11.6,8.3,27,33.5,31
2017.08.21,12.3,7.1,14.2,25.7,49.7,44.8,25.5,15.8,10.8,11.6,8.3,27,33.5,31,12.3
