Rain
47.2
23.9
36.5
145.5
48.6
96.1
164.3
148.9
66.6
90.9
121.9
59.2
49.9
45.2
55.2
185
104.5
116.1
301.4
81
251.3
216.7
31.5
44.9
11.7
41.9
7.8
8.9
28.1
42.1
211.7
273.8
108.8
85.4
2.1
28.5
38.8
22
115.8
127.4
85.4
222.4
84.5
397.1
129.7
125.2
47.2
32.4
16.4
37
33.9
84.7
78.8
158
242.2
64.8
165.8
149.9
22.8
31.6
47.2
23.9
36.5
145.5
48.6
96.1
164.3
148.9
66.6
90.9
121.9
59.2
49.9
45.2
55.2
185
104.5
116.1
301.4
81
251.3
216.7
31.5
44.9
11.7
41.9
7.8
8.9
28.1
42.1
211.7
273.8
108.8
85.4
2.1
28.5
38.8
22
115.8
127.4
85.4
222.4
84.5
397.1
129.7
125.2
47.2
32.4
16.4
37
33.9
84.7
78.8
158
242.2
64.8
165.8
149.9
22.8
31.6
47.2
23.9
36.5
145.5
48.6
96.1
164.3
148.9
66.6
90.9
121.9
59.2
49.9
45.2
55.2
185
104.5
116.1
301.4
81
251.3
216.7
31.5
44.9
11.7
41.9
7.8
8.9
28.1
42.1
211.7
273.8
108.8
85.4
2.1
28.5
38.8
22
115.8
127.4
85.4
222.4
84.5
397.1
129.7
125.2
47.2
32.4
16.4
37
33.9
84.7
78.8
158
242.2
64.8
165.8
149.9
22.8
31.6
47.2
23.9
36.5
145.5
48.6
96.1
164.3
148.9
66.6
90.9
121.9
59.2
49.9
45.2
55.2
185
104.5
116.1
301.4
81
251.3
216.7
31.5
44.9
11.7
41.9
7.8
8.9
28.1
42.1
211.7
273.8
108.8
85.4
2.1
28.5
38.8
22
115.8
127.4
85.4
222.4
84.5
397.1
129.7
125.2
47.2
32.4
16.4
37
33.9
84.7
78.8
158
242.2
64.8
165.8
149.9
22.8
31.6
47.2
23.9
36.5
145.5
48.6
96.1
164.3
148.9
66.6
90.9
121.9
59.2
49.9
45.2
55.2
185
104.5
116.1
301.4
81
251.3
216.7
31.5
44.9
11.7
41.9
7.8
8.9
28.1
42.1
211.7
273.8
108.8
85.4
2.1
28.5
38.8
22
115.8
127.4
85.4
222.4
84.5
397.1
129.7
125.2
47.2
32.4
16.4
37
33.9
84.7
78.8
158
242.2
64.8
165.8
149.9
22.8
31.6
47.2
23.9
36.5
145.5
48.6
96.1
164.3
148.9
66.6
90.9
121.9
59.2
49.9
45.2
55.2
185
104.5
116.1
301.4
81
251.3
216.7
31.5
44.9
11.7
41.9
7.8
8.9
28.1
42.1
211.7
273.8
108.8
85.4
2.1
28.5
38.8
22
115.8
127.4
85.4
222.4
84.5
397.1
129.7
125.2
47.2
32.4
16.4
37
33.9
84.7
78.8
158
242.2
64.8
165.8
149.9
22.8
31.6
41.1
25.7
34.4
159.6
77.8
117.8
159.6
86.5
79.5
84.2
106.8
69.3
79.2
40.5
54.9
192
119.9
133.6
249.2
20.4
197.8
203.1
61.5
45.9
13.9
32.3
3.1
6.2
13.3
28.5
138.2
200.8
109.4
62.7
1.4
45.3
58
39.3
152.7
169
89.3
162
67.6
246.2
151.4
138.4
51.1
38.3
13.3
29.6
38.5
86.3
122.9
172.3
167
144.9
259.3
159
14.6
40.7
41.1
25.7
34.4
159.6
77.8
117.8
159.6
86.5
79.5
84.2
106.8
69.3
79.2
40.5
54.9
192
119.9
133.6
249.2
20.4
197.8
203.1
61.5
45.9
13.9
32.3
3.1
6.2
13.3
28.5
138.2
200.8
109.4
62.7
1.4
45.3
58
39.3
152.7
169
89.3
162
67.6
246.2
151.4
138.4
51.1
38.3
13.3
29.6
38.5
86.3
122.9
172.3
167
144.9
259.3
159
14.6
40.7
41.1
25.7
34.4
159.6
77.8
117.8
159.6
86.5
79.5
84.2
106.8
69.3
79.2
40.5
54.9
192
119.9
133.6
249.2
20.4
197.8
203.1
61.5
45.9
13.9
32.3
3.1
6.2
13.3
28.5
138.2
200.8
109.4
62.7
1.4
45.3
58
39.3
152.7
169
89.3
162
67.6
246.2
151.4
138.4
51.1
38.3
13.3
29.6
38.5
86.3
122.9
172.3
167
144.9
259.3
159
14.6
40.7
41.1
25.7
34.4
159.6
77.8
117.8
159.6
86.5
79.5
84.2
106.8
69.3
79.2
40.5
54.9
192
119.9
133.6
249.2
20.4
197.8
203.1
61.5
45.9
13.9
32.3
3.1
6.2
13.3
28.5
138.2
200.8
109.4
62.7
1.4
45.3
58
39.3
152.7
169
89.3
162
67.6
246.2
151.4
138.4
51.1
38.3
13.3
29.6
38.5
86.3
122.9
172.3
167
144.9
259.3
159
14.6
40.7
