Chl_a
4.9
6.5
47
54.3
22.6
10
17.6
7.9
4.9
5.4
10.1
3.1
5.1
6.7
14.9
31.6
13.1
7.7
20.7
19.4
7.9
3.8
9.6
8.6
7.3
8.5
42.5
110.6
71.4
32
14.1
20.4
10.7
17.9
77.5
49.1
34.1
46.8
34.2
35.7
15.9
13.9
29.7
17.8
18.5
13.8
18.1
18.5
16.6
41.1
77
52.8
40.6
17
9.2
20.6
6.5
10.1
50.2
28
7.3
13.2
62.1
51.9
38.8
25.7
17.2
24.6
16.7
34.4
19.8
4.8
7.5
10.5
27.6
54.7
25.7
25.1
17.5
35.1
14.6
5.7
45.3
26.8
9.2
22.8
120.6
117.7
32.8
53.7
14.2
24.1
37.4
46.3
58.2
43.1
53.8
40.2
49.9
55.6
51
66
55.9
47.4
35.9
42.7
47.5
29.1
28
57.7
95.3
52.9
32
31.3
23.7
26.3
12
18.9
17.3
100.1
4.3
12.3
46.4
43.6
32.9
26.1
16.4
27
15.4
15.3
15.6
3.1
8.3
7.8
19.9
35.3
22.3
14.3
20.2
60.7
10.9
2.1
20.8
29.5
10.8
18
71.4
71.2
22.3
67.4
15.1
21.8
23.4
33.9
53.9
68.1
64
50.6
50.3
45.3
66.6
47.1
31.3
38.7
28.1
35.2
33.4
37.7
40.5
60.3
60.5
26.5
12.6
17.8
19.4
26.4
11.2
19.3
30.2
112.1
4.7
7.3
63.3
46.2
59.5
50.2
26.9
66.7
98
59.8
25
2.9
6.7
8.2
33.1
80
41.8
120.1
35.5
88.6
16.4
3
35.5
25.5
13.4
30.5
70.6
117.1
116.5
105.3
19
45.9
70.3
70.4
68.4
57.5
66.1
41
41.1
47.5
61.8
52.7
41.7
59.4
41.4
36.2
59.2
45
59.1
81.4
60
16.7
12.6
22.6
17.6
32.6
14
20.4
31
86.5
7.1
27.9
99.8
56
56.3
44.6
57
60
38.1
38.8
23
7.5
28.5
20.3
46.4
64.3
65.8
42.4
36.7
61
49.5
8.4
48.2
46.5
42.9
69.3
101.4
34.2
35.2
55.3
20.5
13.9
38.9
48.9
48.1
40.7
56.5
70
41.9
41.4
47.7
50
70.5
80.1
28.5
33.8
56.9
62.2
42
115.2
66.7
44.2
49.6
63.8
29.9
52.4
28.4
46.8
52
70.3
11.6
39
96.9
38.5
66.7
45.1
24.4
79.4
67.6
59.9
27.5
11.1
44.9
18.6
45.3
41.5
88.7
42.9
55.2
84.2
62
7
57.7
57.1
68.6
97
99.1
92.7
57.5
67.3
21.8
40.5
65.3
49.6
84.2
71.8
115.6
132.4
59.4
71.6
78.2
124.8
94.2
61.4
56.1
50.9
56.3
65.6
61.7
106.7
76.2
46.9
56.3
70.8
24.7
63.6
42.4
49.4
41.4
70.7
21.6
77.5
116.3
63.8
29.9
31.6
30.8
149.6
41.6
28.5
24
18.5
85.2
27.3
41.2
17.8
77.5
55.4
86.9
152.3
31.6
13.9
42.3
25.9
64
128.3
65.2
62
38.9
60.7
64.2
77.1
43.8
45.3
51.9
103
129.5
64.8
60.9
52.1
97.8
68.5
134.5
63.7
88.1
98.4
56.1
78.9
63.6
157.7
93.2
36.9
24.3
40.7
27.4
27.9
49.2
24.4
36.9
21.3
37.2
84
83.8
47.2
28.7
45
32.5
37.5
42.2
28.1
30.9
22.9
107.8
51.2
44.5
31.1
45.9
35.1
16.6
14.9
31.9
11.2
31.8
27.5
70.6
98.2
31
61.1
20.2
34
14.4
21
50
35.1
16.5
27.6
102.7
48.3
24.7
53.3
59.7
26.2
41.9
30.3
51.7
53.9
82.9
92
93.6
134.2
90.4
46.4
36
59
25.5
53.7
30.2
34.1
58.3
20.6
51.4
73.4
87.5
42.1
24.9
44.6
31.4
28.5
25.3
38.9
32.3
18.1
133
51.6
53.1
27.8
41.9
49.2
28.7
46.5
20.7
15.8
23.9
38
42.5
132.1
35.6
80.9
24
56.1
20.8
32.5
40.4
32
26.1
17.7
155.4
68.2
24.3
56.5
61.8
44.2
41.3
48.2
35.8
54.6
112.2
111.1
117.5
136.5
58.1
66.4
31.2
51.7
30.8
45.8
23.3
28.8
49.3
21.1
55
80.5
76.4
54.6
22.2
35.9
31.1
36
24.9
18
26
15.6
118.9
58.6
45.7
23.7
39.7
41.4
26.4
29.1
24.7
15.8
20.1
37.2
45.8
128.5
18.4
54.7
16.1
32.3
15.7
20.8
28.4
23.8
33.1
17.5
105.6
57.6
17.5
32.8
31.4
32.5
37.8
40.4
27.6
22.1
30.5
67.6
100.7
104.4
35.8
59.4
32.2
40.9
27.7
36.1
14.1
12
34.8
23.8
