log FC
2.143
2.8949
2.1987
2.6128
2.2122
2.7259
2.7243
2.786
2.5977
3.1608
3.1316
2.4014
2.0792
2.6702
2.5159
2.8722
2.574
2.4713
3.1116
2.3838
3.2923
3.1614
2.1461
2.3222
2.2553
2.301
2.238
2.1761
1.7482
2.4548
3.1392
3.346
3.1578
2.4393
1.8633
2.7466
2.7589
2.5575
3.0774
2.5798
2.6365
2.444
3
3.0561
3.1959
3.0554
2.4914
3.0406
2.2504
2.2788
2.5391
2.871
2.8585
2.9736
3.5046
3.2584
3.5087
3.4669
3.3483
3.0035
3.5185
2.8293
2.9243
3.4354
3.2304
3.0107
3.9031
4.0682
3.1139
3.4065
3.6767
3.0314
2.699
3.0414
3.444
2.942
2.5911
2.7024
3.4683
3.5977
3.6857
3.6767
3.4713
4.0414
3.4023
3.3902
3.0792
3.935
2.8739
3.7597
4.4693
5.3186
3.9261
3.5711
4.2906
4.0943
3.9345
2.9948
3.7163
3.9956
3.2783
3.1183
3.4958
3.7871
3.3833
3.5289
3.48
3.5488
3.1717
2.7404
3.382
3.5523
3.4735
3.3551
3.5315
4.8836
3.4942
3.4778
4.3781
3.483
4.2253
3.6628
3.2833
4.2122
3.7243
3.7202
4.4586
4.5826
4.0107
4.6474
3.8794
3.3918
3.301
4.1106
4.8352
4.0054
3.3636
3.7042
3.9191
4.1232
3.8543
4.5809
4.0821
4.2014
3.7959
4.367
3.6623
3.899
3.5826
3.9269
4.6048
5.3459
4.905
4.338
3.3874
4.4249
4.6527
4.4407
5.0197
4.7899
3.5085
3.5185
4.9204
4.7255
4.2617
4.0899
4.4706
5.1957
3.4393
3.301
4.1327
4.2529
3.8603
3.7745
4.4683
4.7871
4.3988
3.5563
5.1547
4.4903
4.0512
3.7959
3.5658
4.3181
3.1973
4.1666
4.8277
4.1538
4
3.6902
4.0065
4.2788
3.3222
4.0663
3.9096
3.6232
3.5527
3.415
4.0065
3.8458
4.3222
4.9708
4.7604
4.5152
3.6835
4.7924
4.5058
4.7284
2.9652
4.2056
4.6803
5.4691
4.5481
3.618
3.8707
5.3171
4.3464
4.7388
4.7178
4.734
4.5913
3.6335
4.4233
4.7376
4.2077
4.0983
4.3885
4.3307
2.9165
3.1781
4.5514
4.824
4.2852
4.4676
4.6069
4.7646
4.9919
3.6021
4.0925
5.0082
2.1903
3.0261
1.7076
3.0641
2.8363
2.9206
3.2896
3.0441
3.4998
2.6532
3.6632
3.0326
1.7782
2.6646
2.4116
3.1186
3.2704
3.1335
3.8636
3.3902
3.3375
3.9058
3.1511
2.7364
1.7324
1.9085
1.8451
2.2122
1.9085
1.716
3.4571
4.0645
3.5031
2.7993
2.2355
3.0881
2.2455
2.1584
3.4914
4.1409
4.3037
3.2956
4.1704
4.0135
4.7625
3.9991
4.3502
3.567
1.5315
3.073
3.2512
4.1594
4.2904
3.3747
4.4029
4.3623
4.2216
2.946
2.4771
3.5008
1.8513
2.1239
2.2672
2.4843
1.9191
2.2695
2.7443
2.6304
2.3385
2.4771
2.9605
3.0792
1.7709
2.5185
2.1553
3.1723
2.3692
2.0899
3.2512
1.7853
2.959
3.5315
2.6253
1.9294
1.7404
1.8195
2.2788
1.4314
1.5315
1.1461
3.0726
3.8245
3.224
2.5315
1.699
3.6405
1.7243
1.0414
3.0253
3.1219
3.7597
2.2095
2.9542
3.6236
3.7396
3.7028
3.6663
3.0366
1.8751
2.4133
2.4393
3.489
3.7488
2.8062
3.6972
3.7634
3.8585
3.1945
2.7672
2.9269
1.9031
1.9345
1.7404
2.4082
1.7404
1.5563
2.301
2.1987
1.9138
2.4082
2.8663
2.8921
2.2175
2.3802
2.3838
2.0607
2.4698
1.5682
1.9685
2.1673
2.3483
3.2984
2.7404
2.5185
2.243
2.0828
1.8513
1.9294
1.7782
2.5798
3.0682
3.9758
2.7634
2.9628
2.8222
2.6866
2.0792
2.6232
3.0017
3.6537
3.0022
1.5798
3.2918
3.3508
3.576
3.48
2.7566
2.7193
1.5911
2.0334
2.3729
1.7559
2.4624
1.5051
3.3218
2.1239
2.9015
2.9395
2.6484
3.2718
1.301
1.3617
0.6021
1.5051
1.301
1.2304
2.4456
1.1139
1.1139
1.6021
1.9638
2.3222
0.7782
2.0043
2.0828
1.9638
1.5185
1.4771
2.1673
1.2788
2.6656
3.415
1.7324
1.5911
1.301
0.4771
0.699
0.301
0
0
2.1553
3.0781
2.3404
1.5441
1.2304
1.415
0.9542
0.7782
2.8021
2.2201
2.238
0.6021
3.1011
3.2973
2.5658
2.6937
2.8376
2.4771
1.3222
1.2788
2.1523
1.415
2.1703
1.3802
3.2711
3.3355
3.2945
2.7404
1.7634
2.683
1.6021
0.301
0.9031
1.7404
1.3802
1.2041
1.0792
2.8325
1.8633
1.8451
0.301
1.8451
0.6021
2
2.7324
0
2.8751
1.1461
3.3802
1.4771
1.9777
2.7782
1.9542
1.301
1.301
0
0
0.699
1.3424
2
2
1.699
1.699
1.4771
0
0.4771
0.8451
0
2
1
2.0414
0.301
3.2788
0.699
2.301
1
2.2041
2.5315
1.301
1
0.301
0.4771
0
1.0792
3.0792
0.301
1.6721
2.7076
1.2553
2.4472
1.301
0.301
1
2.29
1.9685
1.415
0.6021
3.1875
2.3118
1.716
1.2041
1.8195
1.6812
2.3222
2.301
0
3.5911
1.0792
3.3424
1.6021
1.4771
3
2.0792
1
0.301
0
0
0
0.6021
0.6021
2.301
1.699
1.699
1.699
0.301
0
0.301
0.301
2.301
1
1.4771
0
3.0414
1.4771
2.2788
1.5185
1.0792
2.1761
1.301
1
0
0.699
0
1.301
3.1139
0
1.9868
2.6128
1
2.716
