BIX,FI,site
0.68 ,1.33 ,JS-01
0.67 ,1.29 ,JS-02
0.69 ,1.27 ,JS-03
0.70 ,1.33 ,JS-04
0.67 ,1.24 ,JS-05
0.69 ,1.39 ,JS-06
0.71 ,1.34 ,JS-07
0.75 ,1.36 ,JS-08
0.73 ,1.32 ,JS-09
0.71 ,1.42 ,JS-10
0.74 ,1.33 ,JS-11
0.77 ,1.36 ,JS-12
0.78 ,1.33 ,JS-13
0.77 ,1.34 ,JS-14
0.80 ,1.33 ,JS-15
0.79 ,1.37 ,JS-16
0.75 ,1.33 ,JS-17
0.73 ,1.31 ,JS-18
0.76 ,1.31 ,JS-19
0.79 ,1.38 ,JS-20
0.88 ,1.41 ,JS-21
1.09 ,1.46 ,JS-22
0.87 ,1.35 ,JS-23
0.80 ,1.33 ,JS-24
0.87 ,1.37 ,JS-25
0.79 ,1.35 ,JS-26
0.88 ,1.36 ,JS-27
0.84 ,1.38 ,JS-28
0.83 ,1.33 ,JS-29
0.85 ,1.54 ,JS-30
0.85 ,1.35 ,JS-31
0.84 ,1.40 ,JS-32
1.01 ,1.49 ,JS-33
0.91 ,1.43 ,JS-34
0.85 ,1.37 ,JS-35
0.84 ,1.37 ,JS-36
