BIX,FI,site
0.65 ,1.23 ,JS-01
0.68 ,1.25 ,JS-02
0.67 ,1.27 ,JS-03
0.65 ,1.25 ,JS-04
0.67 ,1.30 ,JS-05
0.68 ,1.28 ,JS-06
0.69 ,1.33 ,JS-07
0.70 ,1.26 ,JS-08
0.73 ,1.36 ,JS-09
0.71 ,1.28 ,JS-10
0.71 ,1.34 ,JS-11
0.82 ,1.36 ,JS-12
0.73 ,1.35 ,JS-13
0.74 ,1.31 ,JS-14
0.73 ,1.31 ,JS-15
0.75 ,1.31 ,JS-16
0.75 ,1.31 ,JS-17
0.71 ,1.32 ,JS-18
0.75 ,1.35 ,JS-19
0.79 ,1.29 ,JS-20
0.81 ,1.33 ,JS-21
0.88 ,1.39 ,JS-22
0.84 ,1.35 ,JS-23
0.79 ,1.34 ,JS-24
0.82 ,1.38 ,JS-25
0.77 ,1.39 ,JS-26
0.77 ,1.39 ,JS-27
0.80 ,1.40 ,JS-28
0.86 ,1.34 ,JS-29
0.71 ,1.26 ,JS-30
0.83 ,1.35 ,JS-31
0.74 ,1.32 ,JS-32
0.79 ,1.34 ,JS-33
0.81 ,1.35 ,JS-34
0.76 ,1.32 ,JS-35
0.83 ,1.34 ,JS-36
