BIX,FI,site
0.69,1.25,JS-01
0.68,1.28,JS-02
0.72,1.28,JS-03
0.67,1.3,JS-04
0.66,1.3,JS-05
0.66,1.27,JS-06
0.69,1.29,JS-07
0.71,1.38,JS-08
0.74,1.34,JS-09
0.72,1.39,JS-10
0.76,1.32,JS-11
0.76,1.35,JS-12
0.73,1.3,JS-13
0.69,1.31,JS-14
0.72,1.35,JS-15
0.73,1.33,JS-16
0.75,1.31,JS-17
0.76,1.35,JS-18
0.73,1.34,JS-19
0.73,1.32,JS-20
0.81,1.38,JS-21
1.25,1.53,JS-22
0.79,1.35,JS-23
0.78,1.33,JS-24
0.79,1.34,JS-25
0.75,1.38,JS-26
0.77,1.33,JS-27
0.71,1.32,JS-28
0.81,1.32,JS-29
0.78,1.38,JS-30
0.8,1.36,JS-31
0.75,1.33,JS-32
0.76,1.36,JS-33
0.84,1.32,JS-34
0.78,1.35,JS-35
0.77,1.37,JS-36
