BIX,FI,site
0.69,1.32,JS-01
0.7,1.36,JS-02
0.7,1.31,JS-03
0.69,1.32,JS-04
0.7,1.4,JS-05
0.68,1.28,JS-06
0.67,1.34,JS-07
0.72,1.44,JS-08
0.71,1.34,JS-09
0.74,1.38,JS-10
0.82,1.28,JS-11
0.88,1.44,JS-12
0.73,1.36,JS-13
0.76,1.38,JS-14
0.75,1.44,JS-15
0.76,1.34,JS-16
0.76,1.31,JS-17
0.73,1.31,JS-18
0.75,1.32,JS-19
0.78,1.36,JS-20
0.82,1.32,JS-21
0.85,1.32,JS-22
0.83,1.36,JS-23
0.78,1.34,JS-24
0.82,1.37,JS-25
0.79,1.32,JS-26
0.81,1.33,JS-27
0.83,1.35,JS-28
0.79,1.35,JS-29
0.75,1.39,JS-30
0.77,1.35,JS-31
0.77,1.33,JS-32
0.95,1.41,JS-33
0.8,1.36,JS-34
0.81,1.36,JS-35
0.8,1.31,JS-36
0.69,1.3,JS-01
0.7,1.27,JS-02
0.7,1.24,JS-03
0.62,1.26,JS-04
0.69,1.33,JS-05
0.7,1.33,JS-06
0.67,1.29,JS-07
0.71,1.3,JS-08
0.72,1.35,JS-09
0.73,1.32,JS-10
0.72,1.37,JS-11
0.82,1.37,JS-12
0.74,1.36,JS-13
0.75,1.31,JS-14
1.07,1.37,JS-15
0.82,1.35,JS-16
0.76,1.38,JS-17
0.79,1.36,JS-18
0.75,1.33,JS-19
0.78,1.35,JS-20
0.87,1.34,JS-21
1.36,1.45,JS-22
0.85,1.41,JS-23
0.77,1.34,JS-24
0.86,1.37,JS-25
0.79,1.31,JS-26
0.75,1.28,JS-27
0.79,1.36,JS-28
0.83,1.34,JS-29
0.82,1.43,JS-30
0.83,1.37,JS-31
0.69,1.24,JS-32
0.95,1.41,JS-33
0.88,1.4,JS-34
0.8,1.4,JS-35
0.85,1.4,JS-36
0.71,1.29,JS-01
0.69,1.22,JS-02
0.68,1.26,JS-03
0.65,1.23,JS-04
0.69,1.27,JS-05
2.74,1.3,JS-06
0.65,1.33,JS-07
0.77,1.36,JS-08
0.73,1.34,JS-09
0.7,1.32,JS-10
0.7,1.34,JS-11
0.81,1.39,JS-12
0.71,1.27,JS-13
0.72,1.3,JS-14
0.72,1.3,JS-15
1.72,1.32,JS-16
1.2,1.28,JS-17
0.77,1.25,JS-18
0.61,1.34,JS-19
0.99,1.39,JS-20
0.75,1.32,JS-21
0.78,1.36,JS-22
0.73,1.35,JS-23
0.73,1.33,JS-24
0.74,1.32,JS-25
0.74,1.34,JS-26
0.73,1.3,JS-27
0.78,1.33,JS-28
0.72,1.29,JS-29
0.73,1.3,JS-30
0.71,1.33,JS-31
0.71,1.31,JS-32
0.82,1.38,JS-33
0.73,1.29,JS-34
0.73,1.33,JS-35
0.74,1.33,JS-36
0.72,1.31,JS-01
0.69,1.29,JS-02
0.7,1.24,JS-03
0.67,1.27,JS-04
0.69,1.31,JS-05
0.68,1.3,JS-06
0.69,1.3,JS-07
0.7,1.32,JS-08
0.7,1.29,JS-09
0.74,1.36,JS-10
0.74,1.32,JS-11
0.7,1.28,JS-12
0.74,1.32,JS-13
0.73,1.32,JS-14
0.72,1.32,JS-15
0.72,1.35,JS-16
0.72,1.36,JS-17
0.74,1.41,JS-18
0.74,1.36,JS-19
0.76,1.33,JS-20
0.81,1.35,JS-21
1.23,1.5,JS-22
0.8,1.38,JS-23
0.73,1.33,JS-24
0.82,1.36,JS-25
0.79,1.38,JS-26
0.81,1.32,JS-27
0.77,1.35,JS-28
0.85,1.37,JS-29
0.76,1.44,JS-30
0.82,1.33,JS-31
0.73,1.33,JS-32
0.78,1.36,JS-33
