BIX,FI,site
0.71,1.27,JS-01
0.71,1.28,JS-02
0.7,1.32,JS-03
0.66,1.28,JS-04
0.69,1.23,JS-05
0.64,1.3,JS-06
0.7,1.32,JS-07
0.73,1.31,JS-08
0.71,1.33,JS-09
0.69,1.31,JS-10
0.73,1.31,JS-11
0.76,1.3,JS-12
0.74,1.32,JS-13
0.69,1.37,JS-14
0.73,1.35,JS-15
0.74,1.33,JS-16
0.79,1.3,JS-17
0.72,1.34,JS-18
0.76,1.27,JS-19
0.77,1.34,JS-20
0.79,1.34,JS-21
1.15,1.44,JS-22
0.79,1.38,JS-23
0.79,1.37,JS-24
0.78,1.35,JS-25
0.73,1.28,JS-26
0.81,1.33,JS-27
0.77,1.36,JS-28
0.79,1.34,JS-29
0.79,1.38,JS-30
0.76,1.34,JS-31
0.79,1.36,JS-32
0.86,1.37,JS-33
0.77,1.3,JS-34
0.76,1.33,JS-35
0.78,1.31,JS-36
