BIX,FI,site
0.68,1.27,JS-01
0.67,1.23,JS-02
0.66,1.32,JS-03
0.65,1.26,JS-04
0.8,1.27,JS-05
0.69,1.28,JS-06
0.68,1.31,JS-07
0.68,1.38,JS-08
0.67,1.29,JS-09
0.62,1.27,JS-10
0.69,1.29,JS-11
0.74,1.34,JS-12
0.71,1.36,JS-13
0.67,1.35,JS-14
0.7,1.32,JS-15
0.67,1.34,JS-16
0.7,1.32,JS-17
0.73,1.4,JS-18
0.7,1.33,JS-19
0.73,1.32,JS-20
0.79,1.35,JS-21
0.94,1.39,JS-22
0.75,1.38,JS-23
0.77,1.37,JS-24
0.76,1.35,JS-25
0.72,1.34,JS-26
0.74,1.32,JS-27
0.75,1.31,JS-28
0.73,1.34,JS-29
0.78,1.4,JS-30
0.74,1.3,JS-31
0.72,1.33,JS-32
0.74,1.34,JS-33
0.75,1.32,JS-34
0.78,1.37,JS-35
0.74,1.37,JS-36
