연도, 월, 조사회차, 채수 일자, 중권역 명, 측정소 명,BOD,Chl_a,COD,NH3_N,NO3_N,T_N,T_P
2020,7,1회차,2020.07.01,영산강상류,광주천1,2.4,5.7,5.6,0.113,2.008,2.566,0.073
2020,7,1회차,2020.07.01,죽산보(영산강중류),광산,6,20.1,9.9,1.025,1.413,3.282,0.198
2020,7,1회차,2020.07.01,황룡강,황룡강1,1.9,6.4,4.5,0.085,0.778,1.083,0.046
2020,7,1회차,2020.07.01,황룡강,황룡강5,2.4,14.4,8.6,0.276,1.004,1.941,0.109
2020,7,1회차,2020.07.01,황룡강,황룡강2,1.4,9,5.4,0.08,1.081,1.451,0.071
2020,7,1회차,2020.07.02,영산강상류,우치,1.3,10.4,8.6,0.152,1.48,2.268,0.127
2020,7,1회차,2020.07.02,황룡강,황룡강4,1.8,16.7,8,0.042,1.209,1.857,0.096
2020,7,1회차,2020.07.06,영산강상류,광주천2,4,7.7,6.2,0.39,1.662,2.625,0.176
2020,7,1회차,2020.07.06,영산강상류,광주1,1.4,10.7,6.9,0.209,1.061,1.979,0.08
2020,7,1회차,2020.07.06,영산강상류,광주2,4.9,6.4,8,2.063,1.597,4.787,0.119
2020,7,1회차,2020.07.06,영산강상류,광주3,5.9,11.6,8.5,3.258,1.717,6.031,0.138
2020,7,1회차,2020.07.15,영산강상류,산동,1.4,9,6.9,0.126,1.461,1.987,0.084
2020,7,2회차,2020.07.06,영산강상류,우치,1.2,6.6,7.5,0.132,1.372,2.044,0.109
2020,7,2회차,2020.07.06,죽산보(영산강중류),광산,5.5,25.7,8.4,1.411,1.795,4.065,0.11
2020,7,2회차,2020.07.06,황룡강,황룡강5,0.9,9.4,7,0.1,1.122,1.714,0.069
2020,7,2회차,2020.07.15,영산강상류,광주1,1.4,12.5,6.5,0.134,1.457,1.995,0.091
2020,7,2회차,2020.07.15,영산강상류,광주2,5.7,6.8,8.2,1.268,1.573,3.692,0.244
2020,7,2회차,2020.07.15,영산강상류,광주3,3.6,6.1,7.1,0.763,1.578,3.067,0.191
2020,7,2회차,2020.07.16,영산강상류,광주천2,3.1,1.4,5.7,0.897,1.715,3.188,0.169
2020,7,3회차,2020.07.15,죽산보(영산강중류),광산,3.6,5.7,6.9,0.52,1.871,2.998,0.17
2020,7,3회차,2020.07.16,영산강상류,우치,1.4,3.9,6,0.164,1.607,2.142,0.109
2020,7,3회차,2020.07.16,황룡강,황룡강5,1.2,5.3,5.6,0.092,2.13,2.666,0.069
2020,7,3회차,2020.07.20,영산강상류,광주1,0.8,4.9,5.6,0.094,1.873,2.353,0.088
2020,7,3회차,2020.07.20,영산강상류,광주2,10.4,4.3,8.5,2.408,1.636,4.762,0.227
2020,7,3회차,2020.07.20,영산강상류,광주3,2.4,5.7,5.8,2.299,1.833,4.792,0.125
2020,7,3회차,2020.07.21,영산강상류,광주천2,5.1,5.2,7.9,1.714,2.254,4.772,0.213
2020,7,4회차,2020.07.21,영산강상류,우치,1.4,6.1,4.7,0.128,2.077,2.593,0.098
2020,7,4회차,2020.07.21,죽산보(영산강중류),광산,3.5,18.6,6.3,1.132,1.796,3.496,0.126
