연도, 월, 조사회차, 채수 일자, 중권역 명, 측정소 명,BOD,Chl_a,COD,NH3_N,NO3_N,T_N,T_P
2022,2,4회차,2022.02.21,영산강상류,우치,5.3,69.7,9.6,0.029,1.572,2.416,0.108
2022,2,4회차,2022.02.21,죽산보(영산강중류),광산,6.3,71.3,10.5,6.57,2.634,10.735,0.147
2022,2,4회차,2022.02.21,황룡강,황룡강5,4.5,26.2,8.5,0.368,0.795,2.029,0.104
2022,2,4회차,2022.02.22,영산강상류,광주1,6.9,168,11.9,0.016,1.393,2.384,0.208
2022,2,4회차,2022.02.22,영산강상류,광주2,6.2,69.2,9.5,9.62,1.905,13.74,0.346
2022,2,4회차,2022.02.22,영산강상류,광주3,8.5,100,9.5,8.043,2.102,12.543,0.319
2022,2,4회차,2022.02.28,영산강상류,광주천2,8.8,101.8,13.6,1.907,3.7,7.316,0.187
2022,2,5회차,2022.02.28,영산강상류,우치,5.5,87.7,10.5,0.016,1.568,2.467,0.133
2022,2,5회차,2022.02.28,죽산보(영산강중류),광산,9.2,84.1,12.5,5.735,2.67,9.996,0.135
2022,2,5회차,2022.02.28,황룡강,황룡강5,5.5,36.9,8.8,0.378,0.855,2.093,0.106
2022,3,1회차,2022.03.03,영산강상류,광주1,17.9,165.3,18.5,0.017,0.877,2.038,0.114
2022,3,1회차,2022.03.03,영산강상류,광주2,8,78.5,13.1,9.352,1.567,13.811,0.349
2022,3,1회차,2022.03.03,영산강상류,광주3,8.9,106.4,14.8,8.473,1.764,13.035,0.23
2022,3,1회차,2022.03.03,황룡강,황룡강1,1.4,1.6,3.2,0.041,0.155,0.426,0.049
2022,3,1회차,2022.03.03,황룡강,황룡강2,2,0.6,4.1,0.033,0.784,1.012,0.047
2022,3,1회차,2022.03.07,영산강상류,우치,5.2,85.5,10.7,0.023,1.31,2.348,0.149
2022,3,1회차,2022.03.07,영산강상류,광주천2,6.4,83.9,12.2,1.184,3.324,5.939,0.164
2022,3,1회차,2022.03.07,죽산보(영산강중류),광산,8.4,115,12.8,5.85,2.283,10.095,0.163
2022,3,1회차,2022.03.07,황룡강,황룡강4,3.2,25.7,8.4,0.09,1.072,1.425,0.065
2022,3,1회차,2022.03.07,황룡강,황룡강5,6,26.5,9.1,0.363,0.717,1.915,0.105
2022,3,1회차,2022.03.08,영산강상류,산동,8.3,124.6,16.1,0.031,0.742,2.342,0.263
2022,3,1회차,2022.03.08,영산강상류,광주천1,5.6,11.6,9,4.785,3.375,16.104,0.209
2022,3,2회차,2022.03.08,영산강상류,광주1,8.4,52.2,16.7,0.017,1.436,2.571,0.249
2022,3,2회차,2022.03.08,영산강상류,광주2,8.4,55.4,13.1,10.199,1.788,14.332,0.31
2022,3,2회차,2022.03.08,영산강상류,광주3,7,17.8,12.6,10.5,1.818,14.145,0.249
2022,3,2회차,2022.03.14,영산강상류,우치,4.6,39.6,8.7,0.341,1.401,2.733,0.156
2022,3,2회차,2022.03.14,영산강상류,광주천2,9.3,23.9,13.5,2.37,1.216,5.492,0.305
2022,3,2회차,2022.03.14,죽산보(영산강중류),광산,7.7,15.4,10.8,9.229,1.885,12.947,0.252
2022,3,2회차,2022.03.14,황룡강,황룡강5,8.4,45.6,9.1,1.395,0.653,3.117,0.21
2022,3,3회차,2022.03.16,영산강상류,광주1,5.6,12,10.1,1.188,0.613,2.599,0.189
2022,3,3회차,2022.03.16,영산강상류,광주2,14.2,11.3,15.8,8.46,0.838,10.62,0.583
2022,3,3회차,2022.03.16,영산강상류,광주3,8.3,6.6,10.6,8.798,0.803,11.531,0.442
2022,3,3회차,2022.03.21,영산강상류,우치,4.6,29.9,7.2,0.562,1.532,2.907,0.113
2022,3,3회차,2022.03.21,영산강상류,광주천2,4,3.6,8.5,2.576,2.56,6.003,0.15
2022,3,3회차,2022.03.21,죽산보(영산강중류),광산,6.1,5.7,9.3,6.001,1.286,8.093,0.265
2022,3,3회차,2022.03.21,황룡강,황룡강5,6.5,25.5,8.8,0.545,0.791,2.146,0.109
2022,3,4회차,2022.03.22,영산강상류,광주1,6,13.3,8.9,1.111,0.975,2.886,0.25
2022,3,4회차,2022.03.22,영산강상류,광주2,6.2,11.4,12,6.505,1.84,10.09,0.498
2022,3,4회차,2022.03.22,영산강상류,광주3,7.8,5.4,9.4,5.741,2.23,9.9,0.264
2022,3,4회차,2022.03.28,영산강상류,우치,5.8,12.7,7.2,0.249,1.974,2.928,0.141
2022,3,4회차,2022.03.28,영산강상류,광주천2,5.4,5.2,5.5,0.729,2.836,4.251,0.12
2022,3,4회차,2022.03.28,죽산보(영산강중류),광산,7,25.3,8.8,0.744,2.434,4.187,0.133
2022,3,4회차,2022.03.28,황룡강,황룡강5,6.6,8.8,7.9,0.331,3.028,4.109,0.153
2022,3,5회차,2022.03.30,영산강상류,광주1,3.4,51.7,9.1,0.172,1.946,2.605,0.169
2022,3,5회차,2022.03.30,영산강상류,광주2,5.5,36.6,8.4,1.411,2.189,4.365,0.189
2022,3,5회차,2022.03.30,영산강상류,광주3,6.7,45.6,9.6,2.224,2.359,5.488,0.181
