연도, 월, 조사회차, 채수 일자, 중권역 명, 측정소 명,Q,BOD,Chl_a,COD,NH3_N,NO3_N,T_N,T_P
2016,1,1회차,2016.01.04,영산강상류,우치,3.536,1.6,3.8,3.6,0.278,2.525,3.239,0.062
2016,1,1회차,2016.01.04,영산강상류,광주천2,0.672,1.8,5.4,4.9,0.251,5.095,5.51,0.057
2016,1,1회차,2016.01.04,죽산보(영산강중류),광산,15.07,2.3,16.9,4.9,1.432,3.889,5.535,0.081
2016,1,1회차,2016.01.04,황룡강,황룡강5,4.395,1.5,12.2,3.6,0.028,1.833,2.167,0.089
2016,1,1회차,2016.01.05,영산강상류,광주천1,,1.2,5.9,5.2,0.045,5.113,5.505,0.033
2016,1,1회차,2016.01.05,영산강상류,광주1,,1.5,7,4,0.106,2.009,2.45,0.041
2016,1,1회차,2016.01.05,영산강상류,광주2,,2,6.7,5.5,2.25,4.78,7.921,0.052
2016,1,1회차,2016.01.05,영산강상류,광주3,,1.9,5.3,6.1,2.986,4.93,8.733,0.087
2016,1,1회차,2016.01.06,황룡강,황룡강4,,1.3,24.4,5.8,0.057,1.664,1.896,0.038
2016,1,1회차,2016.01.07,황룡강,황룡강1,,2.5,1.9,2.4,0.018,1.469,1.542,0.014
2016,1,1회차,2016.01.07,황룡강,황룡강2,,2.6,2.2,2.4,0.014,1.514,1.851,0.025
2016,1,1회차,2016.01.21,황룡강,황룡강3,2.873,1.4,,3.3,,,2.464,0.06
2016,1,2회차,2016.01.11,죽산보(영산강중류),광산,15.157,2.9,36.9,5.5,1.356,4.347,6.618,0.161
2016,1,2회차,2016.01.12,영산강상류,우치,3.138,1.1,3.9,3.3,0.127,2.353,2.846,0.054
2016,1,2회차,2016.01.12,영산강상류,광주천2,1.168,1.8,15.3,4.8,0.081,5.578,6.346,0.063
2016,1,2회차,2016.01.12,영산강상류,광주1,,2,4.3,4,0.095,1.885,2.419,0.042
2016,1,2회차,2016.01.12,영산강상류,광주2,,3,6.9,6,2.417,5.023,8.397,0.058
2016,1,2회차,2016.01.12,영산강상류,광주3,,2.2,6.6,6.4,2.726,5.083,8.586,0.08
2016,1,2회차,2016.01.12,황룡강,황룡강5,3.127,2.2,26.3,3.6,0.03,1.363,1.849,0.103
2016,1,2회차,2016.01.29,황룡강,황룡강3,4.331,1.7,,3.9,,,2.656,0.077
2016,1,3회차,2016.01.18,영산강상류,우치,3.858,1.6,9.3,3.7,0.137,2.267,2.656,0.049
2016,1,3회차,2016.01.18,영산강상류,광주천2,1.121,3.2,15,6.2,0.22,4.956,6.873,0.089
2016,1,3회차,2016.01.18,영산강상류,광주1,,2.3,15.1,5.4,0.281,2.246,2.785,0.077
2016,1,3회차,2016.01.18,영산강상류,광주2,,3.9,14.7,6.8,1.637,5.113,7.071,0.073
2016,1,3회차,2016.01.18,영산강상류,광주3,,3.5,11.6,6.4,3.606,4.857,8.967,0.105
2016,1,3회차,2016.01.18,죽산보(영산강중류),광산,15.212,2.9,38.9,6,1.884,4.714,7.88,0.14
2016,1,3회차,2016.01.18,황룡강,황룡강5,3.636,3.2,45.6,4.9,0.029,1.578,1.978,0.05
2016,1,4회차,2016.01.26,영산강상류,광주1,,1.8,3.5,4.7,0.311,2.206,2.915,0.063
2016,1,4회차,2016.01.26,영산강상류,광주2,,2.7,4.7,6.4,3.308,4.361,8.554,0.129
2016,1,4회차,2016.01.26,영산강상류,광주3,,1.5,3.1,6.4,4.336,5.046,10.261,0.119
2016,1,4회차,2016.01.28,영산강상류,우치,3.382,1.8,3.2,3.4,0.4,2.643,3.358,0.071
2016,1,4회차,2016.01.28,영산강상류,광주천2,0.695,2.4,16.6,5.8,0.577,6.314,7.267,0.083
2016,1,4회차,2016.01.28,죽산보(영산강중류),광산,17.269,2.4,21.2,5,2.014,4.432,7.099,0.114
2016,1,4회차,2016.01.28,황룡강,황룡강5,3.936,2.4,24.4,4.7,0.067,1.795,2.337,0.057
2016,2,1회차,2016.02.02,영산강상류,우치,5.861,1.6,4.5,4.6,0.37,2.155,3.259,0.092
2016,2,1회차,2016.02.02,영산강상류,광주천2,2.123,2,2.4,4.2,0.168,3.619,4.496,0.082
2016,2,1회차,2016.02.02,죽산보(영산강중류),광산,23.687,4.2,13.3,6.5,1.387,2.729,4.747,0.232
2016,2,1회차,2016.02.02,황룡강,황룡강3,5.79,1.3,,3.5,,,2.567,0.059
2016,2,1회차,2016.02.02,황룡강,황룡강5,9.522,1.8,13.2,4.7,0.115,2.187,2.551,0.082
2016,2,1회차,2016.02.03,영산강상류,광주1,,1.8,6.6,5.1,0.272,2.257,3.353,0.078
2016,2,1회차,2016.02.03,영산강상류,광주2,,3.3,3.9,7.6,3.218,3.209,7.623,0.178
2016,2,1회차,2016.02.03,영산강상류,광주3,,2.3,3.8,7,2.43,3.178,6.901,0.162
2016,2,1회차,2016.02.04,황룡강,황룡강1,,2.4,1.2,2.1,0.024,2.428,3.182,0.03
2016,2,1회차,2016.02.04,황룡강,황룡강2,,2.2,1.9,2,0.016,2.165,3.396,0.027
2016,2,2회차,2016.02.02,영산강상류,광주천1,,1.5,2.7,4.6,0.056,2.77,3.268,0.017
2016,2,2회차,2016.02.03,황룡강,황룡강4,,2.3,31.4,6.6,0.152,2.002,2.478,0.04
2016,2,2회차,2016.02.11,영산강상류,우치,3.865,1.8,6.3,3.6,0.187,2.453,2.916,0.049
2016,2,2회차,2016.02.11,영산강상류,광주천2,0.744,2.7,10.8,5.2,0.544,5.217,6.204,0.08
2016,2,2회차,2016.02.11,영산강상류,광주1,,3.9,10.5,6.9,0.204,2.034,2.919,0.062
2016,2,2회차,2016.02.11,영산강상류,광주2,,3,7.8,6.6,4.966,3.536,9.876,0.105
2016,2,2회차,2016.02.11,영산강상류,광주3,,2.6,5.9,6.5,2.983,4.064,8.49,0.071
2016,2,2회차,2016.02.11,죽산보(영산강중류),광산,19.949,2.6,14.7,5.1,2.569,3.807,6.908,0.101
2016,2,2회차,2016.02.11,황룡강,황룡강5,3.97,2,14.3,3.9,0.019,2.172,2.404,0.049
2016,2,2회차,2016.02.15,황룡강,황룡강3,9.992,1.5,,4.1,,,2.832,0.06
2016,2,3회차,2016.02.15,영산강상류,우치,11.957,3.1,9.4,6.2,0.365,1.896,3.041,0.112
2016,2,3회차,2016.02.15,영산강상류,광주천2,2.028,2.6,3.7,4.8,0.526,2.909,4.545,0.068
2016,2,3회차,2016.02.15,영산강상류,광주1,,3,19.1,7.3,0.343,1.867,2.93,0.086
2016,2,3회차,2016.02.15,영산강상류,광주2,,2.7,11.9,8,1.442,2.693,4.888,0.094
2016,2,3회차,2016.02.15,영산강상류,광주3,,5.8,13,9.9,2.307,2.46,6.186,0.207
2016,2,3회차,2016.02.15,죽산보(영산강중류),광산,33.585,3.8,16,6,1.383,2.087,4.372,0.167
2016,2,3회차,2016.02.15,황룡강,황룡강5,15.648,2.2,13.7,5.6,0.211,1.905,2.944,0.092
2016,2,3회차,2016.02.22,황룡강,황룡강3,4.294,1.4,,2.9,,,2.414,0.04
2016,2,4회차,2016.02.22,영산강상류,우치,8.273,1.8,6.4,3.7,0.069,1.319,1.76,0.038
2016,2,4회차,2016.02.22,영산강상류,광주천2,0.897,2.6,7.7,5.1,0.59,4.113,5.45,0.07
2016,2,4회차,2016.02.22,영산강상류,광주1,,1.7,5.9,5,0.166,1.688,2.525,0.067
2016,2,4회차,2016.02.22,영산강상류,광주2,,1.9,7.7,6.1,2.726,3.055,7.073,0.078
2016,2,4회차,2016.02.22,영산강상류,광주3,,1.7,10.2,6,2.219,2.759,5.78,0.086
2016,2,4회차,2016.02.22,죽산보(영산강중류),광산,21.427,2.2,13.1,5.6,1.895,3.114,5.504,0.119
2016,2,4회차,2016.02.22,황룡강,황룡강5,7.426,1.5,11.2,3.7,0.046,2.043,2.337,0.058
2016,2,5회차,2016.02.29,죽산보(영산강중류),광산,18.047,4.5,44.5,5.9,1.575,3.216,5.608,0.149
2016,3,1회차,2016.03.02,영산강상류,우치,3.857,2.1,5.4,3.6,0.242,2.087,2.685,0.054
2016,3,1회차,2016.03.02,영산강상류,광주천2,0.681,4.5,19.5,5.5,0.21,1.678,2.821,0.095
2016,3,1회차,2016.03.02,영산강상류,광주1,,3.4,16.1,5.9,0.234,1.876,2.708,0.066
2016,3,1회차,2016.03.02,영산강상류,광주2,,3.2,10.7,6.8,2.841,3.957,8.214,0.101
2016,3,1회차,2016.03.02,영산강상류,광주3,,5.4,20.7,8.2,3.842,3.267,8.782,0.199
2016,3,1회차,2016.03.02,황룡강,황룡강3,3.421,2,,3.1,,,2.649,0.053
2016,3,1회차,2016.03.02,황룡강,황룡강5,3.85,2.4,23.5,3.1,0.01,1.76,2.191,0.05
2016,3,1회차,2016.03.03,황룡강,황룡강1,,1.7,2.8,3.8,0.021,1.256,1.639,0.014
2016,3,1회차,2016.03.03,황룡강,황룡강2,,1.7,7,3.8,0.019,1.814,2.131,0.049
2016,3,1회차,2016.03.07,죽산보(영산강중류),광산,59.313,5.9,5.7,7.5,0.636,1.779,3.295,0.204
2016,3,2회차,2016.03.07,영산강상류,우치,15.634,4.8,14.3,8.6,0.332,1.926,2.813,0.191
2016,3,2회차,2016.03.07,영산강상류,광주천2,0.957,4.9,3.2,5.5,0.573,2.895,3.996,0.111
2016,3,2회차,2016.03.07,영산강상류,광주1,,4.9,25.6,11.2,0.582,1.595,3.215,0.22
2016,3,2회차,2016.03.07,영산강상류,광주2,,4.3,22.1,9.6,0.947,2.235,4.177,0.193
2016,3,2회차,2016.03.07,영산강상류,광주3,,4.9,13.7,10.3,1.771,2.038,4.829,0.264
2016,3,2회차,2016.03.07,황룡강,황룡강3,12.148,3.5,,6.6,,,2.878,0.148
2016,3,2회차,2016.03.07,황룡강,황룡강5,,4.8,10.3,7.3,0.386,1.994,3.131,0.212
2016,3,2회차,2016.03.14,죽산보(영산강중류),광산,19.616,2.6,15.6,6.1,1.393,2.63,4.76,0.18
2016,3,3회차,2016.03.10,영산강상류,광주천1,,1.7,2.6,3.8,0.038,2.065,3.038,0.025
2016,3,3회차,2016.03.11,황룡강,황룡강4,,1.8,10.9,7.4,0.142,1.955,3.473,0.069
2016,3,3회차,2016.03.14,영산강상류,우치,5.196,1.6,4.7,4.1,0.184,2.346,2.706,0.078
2016,3,3회차,2016.03.14,영산강상류,광주천2,0.885,1.8,5.6,4.9,0.415,4.325,5.263,0.049
2016,3,3회차,2016.03.14,영산강상류,광주1,,1.7,13.7,5.2,0.179,1.888,2.595,0.056
2016,3,3회차,2016.03.14,영산강상류,광주2,,4.3,8,8.6,4.218,3.734,9.628,0.198
2016,3,3회차,2016.03.14,영산강상류,광주3,,2.3,12.1,7.4,3.338,3.357,8.081,0.169
2016,3,3회차,2016.03.14,황룡강,황룡강3,4.797,1.4,,2.9,,,2.706,0.049
2016,3,3회차,2016.03.14,황룡강,황룡강5,7.001,1.7,10.2,3.9,0.073,2.292,2.554,0.044
2016,3,3회차,2016.03.21,죽산보(영산강중류),광산,14.17,4.5,59.8,7.3,1.462,3.238,5.455,0.156
2016,3,4회차,2016.03.21,영산강상류,우치,3.571,1.8,12,4.4,0.111,1.97,2.449,0.07
2016,3,4회차,2016.03.21,영산강상류,광주천2,0.859,4,30.1,6.6,0.131,3.64,4.338,0.111
2016,3,4회차,2016.03.21,영산강상류,광주1,,3.5,47.8,7.4,0.053,1.377,2.142,0.07
2016,3,4회차,2016.03.21,영산강상류,광주2,,4.1,20.2,9,4.199,3.388,9.442,0.389
2016,3,4회차,2016.03.21,영산강상류,광주3,,4.8,42.9,9.4,4.148,2.481,8.301,0.264
2016,3,4회차,2016.03.21,황룡강,황룡강3,2.893,2.2,,4.1,,,2.441,0.059
2016,3,4회차,2016.03.21,황룡강,황룡강5,5.806,2.7,33.9,4.8,0.011,1.883,2.187,0.05
2016,3,4회차,2016.03.28,죽산보(영산강중류),광산,14.129,6.3,104.5,8.7,1.753,3.113,5.908,0.164
2016,3,5회차,2016.03.28,영산강상류,우치,2.515,3.2,38,7.5,0.037,1.25,1.877,0.088
2016,3,5회차,2016.03.28,영산강상류,광주천2,0.897,5.1,59,8,0.038,4.237,5.207,0.122
2016,3,5회차,2016.03.28,황룡강,황룡강3,2.721,4.5,,6.5,,,1.984,0.068
2016,3,5회차,2016.03.28,황룡강,황룡강5,3.79,4.2,53.3,5.2,0.024,1.228,1.726,0.071
2016,3,5회차,2016.03.29,영산강상류,광주1,,4.4,34.9,8.1,0.067,0.911,1.694,0.077
2016,3,5회차,2016.03.29,영산강상류,광주2,,6.6,38.3,9.7,4.492,3.748,10.018,0.104
2016,3,5회차,2016.03.29,영산강상류,광주3,,6.3,76,10.9,3.661,3.767,9.351,0.084
2016,4,1회차,2016.04.04,영산강상류,우치,2.576,4.7,81.3,7.8,0.07,0.955,1.527,0.066
2016,4,1회차,2016.04.04,영산강상류,광주천2,0.823,7.7,114,11,0.215,3.818,4.712,0.092
2016,4,1회차,2016.04.04,영산강상류,광주1,,7.1,123.6,11.4,0.012,0.259,1.414,0.118
2016,4,1회차,2016.04.04,영산강상류,광주2,,5.8,88.4,10.1,3.563,3.134,9.445,0.164
2016,4,1회차,2016.04.04,영산강상류,광주3,,6.9,143.4,11.4,3.916,3.097,10.009,0.152
2016,4,1회차,2016.04.04,죽산보(영산강중류),광산,10.836,7.1,82.1,9.1,1.592,3.396,5.853,0.08
2016,4,1회차,2016.04.04,황룡강,황룡강3,2.294,4.7,,5.9,,,1.819,0.044
2016,4,1회차,2016.04.04,황룡강,황룡강5,2.835,5,40.2,6.6,0.141,0.814,1.473,0.038
2016,4,1회차,2016.04.06,황룡강,황룡강1,,2.2,4.8,4.1,0.058,0.535,0.916,0.021
2016,4,1회차,2016.04.06,황룡강,황룡강2,,2,11.9,5,0.051,0.972,1.351,0.119
2016,4,2회차,2016.04.11,영산강상류,우치,4.904,2.4,19,7,0.067,1.617,2.078,0.1
2016,4,2회차,2016.04.11,영산강상류,광주천2,1.132,5.4,66.4,9.1,0.084,2.597,3.379,0.155
2016,4,2회차,2016.04.11,영산강상류,광주1,,5.7,72.3,9.5,0.114,0.999,2.51,0.1
2016,4,2회차,2016.04.11,영산강상류,광주2,,9.9,38.1,12,1.526,2.915,6.65,0.11
2016,4,2회차,2016.04.11,영산강상류,광주3,,13.2,142.1,15,0.638,2.813,6.37,0.14
2016,4,2회차,2016.04.11,죽산보(영산강중류),광산,18.359,6.6,107,9.2,0.693,1.842,3.405,0.162
2016,4,2회차,2016.04.11,황룡강,황룡강3,5.099,2.1,,4.9,,,2.338,0.075
2016,4,2회차,2016.04.11,황룡강,황룡강5,8.196,4.9,64,7.6,0.033,1.651,2.319,0.095
2016,4,3회차,2016.04.18,영산강상류,우치,18.619,3.6,17.8,7.2,0.322,1.455,2.278,0.195
2016,4,3회차,2016.04.18,영산강상류,광주천2,2.848,4.1,9.5,5.7,0.27,2.158,2.743,0.121
2016,4,3회차,2016.04.18,영산강상류,광주1,,3.6,14.7,13.6,0.178,1.518,2.66,0.15
2016,4,3회차,2016.04.18,영산강상류,광주2,,8.6,9.9,11,2.724,1.823,5.57,0.4
2016,4,3회차,2016.04.18,영산강상류,광주3,,6.9,27.8,11.1,1.824,1.711,4.72,0.29
2016,4,3회차,2016.04.18,죽산보(영산강중류),광산,60.43,5,36.7,7.5,0.568,1.626,2.704,0.19
2016,4,3회차,2016.04.18,황룡강,황룡강3,17.206,1.9,,5.9,,,2.336,0.127
2016,4,3회차,2016.04.18,황룡강,황룡강5,,2.6,16.2,6.6,0.206,1.613,2.217,0.151
2016,4,4회차,2016.04.11,영산강상류,광주천1,,1.1,7.9,4,0.044,1.655,2.083,0.041
2016,4,4회차,2016.04.12,황룡강,황룡강4,,3,60.7,8.4,0.013,1.481,2.173,0.019
2016,4,4회차,2016.04.25,영산강상류,우치,10.573,1.4,8.2,4.3,0.1,1.3,1.745,0.07
2016,4,4회차,2016.04.25,영산강상류,광주천2,1.246,2.3,8.9,4.8,0.18,2.084,2.681,0.108
2016,4,4회차,2016.04.25,죽산보(영산강중류),광산,27.434,2.7,31.2,5.6,0.701,2.303,3.369,0.116
2016,4,4회차,2016.04.25,황룡강,황룡강3,6.327,1,,3.2,,,1.95,0.054
2016,4,4회차,2016.04.25,황룡강,황룡강5,11.749,1.2,8.2,4.3,0.05,1.685,2.096,0.057
2016,4,4회차,2016.04.26,영산강상류,광주1,,1.9,8.2,6.3,0.105,1.134,1.832,0.057
2016,4,4회차,2016.04.26,영산강상류,광주2,,2.8,4.9,7.1,0.947,2.723,4.317,0.106
2016,4,4회차,2016.04.26,영산강상류,광주3,,2.7,6.5,7.7,1.171,3.162,6.623,0.119
2016,5,1회차,2016.05.02,영산강상류,우치,8.255,1.3,4.3,4.5,0.063,1.223,1.658,0.058
2016,5,1회차,2016.05.02,영산강상류,광주천2,1.534,1.6,7.3,5,0.094,2.129,2.665,0.072
2016,5,1회차,2016.05.02,영산강상류,광주1,,2,11.9,6.8,0.068,1.097,1.885,0.062
2016,5,1회차,2016.05.02,영산강상류,광주2,,2.5,7.1,7,0.471,2.586,3.834,0.081
2016,5,1회차,2016.05.02,영산강상류,광주3,,4.5,6.8,7.9,1.958,2.546,5.933,0.196
2016,5,1회차,2016.05.02,죽산보(영산강중류),광산,30.885,3.6,39,7,0.787,1.95,3.454,0.127
2016,5,1회차,2016.05.02,황룡강,황룡강3,6.338,1.4,,4.2,,,1.909,0.043
2016,5,1회차,2016.05.02,황룡강,황룡강5,11.397,1.2,7.8,4.5,0.02,1.447,1.867,0.038
2016,5,1회차,2016.05.11,황룡강,황룡강1,,1.3,2.9,4.5,0.024,1.332,1.548,0.032
2016,5,1회차,2016.05.11,황룡강,황룡강2,,0.9,4.2,4.3,0.032,1.217,1.399,0.022
2016,5,2회차,2016.05.09,영산강상류,우치,5.402,1.3,8,4.4,0.061,1.203,1.692,0.054
2016,5,2회차,2016.05.09,영산강상류,광주천2,1.577,2.3,10.2,4.9,0.095,2.221,2.74,0.085
2016,5,2회차,2016.05.09,영산강상류,광주1,,2,12,6.9,0.098,1.081,1.933,0.07
2016,5,2회차,2016.05.09,영산강상류,광주2,,2.4,11,6.2,1.317,2.649,4.842,0.123
2016,5,2회차,2016.05.09,영산강상류,광주3,,2.2,18.3,6.6,0.751,3.028,4.675,0.1
2016,5,2회차,2016.05.09,죽산보(영산강중류),광산,23.409,3.4,49,6.3,1.181,2.131,4.222,0.134
2016,5,2회차,2016.05.09,황룡강,황룡강3,5.768,1.4,,3.6,,,1.816,0.041
2016,5,2회차,2016.05.09,황룡강,황룡강5,7.929,1.2,9.4,4.2,0.02,1.353,1.773,0.036
2016,5,3회차,2016.05.16,영산강상류,우치,13.159,2.6,21.5,6.1,0.12,1.184,1.947,0.102
2016,5,3회차,2016.05.16,영산강상류,광주천2,0.742,8.4,4.5,10.5,2.171,1.297,4.108,0.194
2016,5,3회차,2016.05.16,죽산보(영산강중류),광산,29.049,5.9,139.2,8.6,1.17,2.027,4.405,0.165
2016,5,3회차,2016.05.16,황룡강,황룡강3,8.365,1.8,,4.2,,,1.963,0.074
2016,5,3회차,2016.05.16,황룡강,황룡강5,10.227,3.1,34.5,5.6,0.038,0.933,1.365,0.048
2016,5,3회차,2016.05.17,영산강상류,광주1,,3.5,45.1,8.3,0,0.547,1.666,0.085
2016,5,3회차,2016.05.17,영산강상류,광주2,,6.2,46,10.7,2.767,0.458,5.827,0.324
2016,5,3회차,2016.05.17,영산강상류,광주3,,3.1,16.8,8,1.513,0.434,4.524,0.111
2016,5,4회차,2016.05.23,영산강상류,우치,3.931,2.5,18.7,7.2,0.238,0.725,1.796,0.155
2016,5,4회차,2016.05.23,영산강상류,광주천2,0.543,4.2,35.9,7,0.422,3.62,4.425,0.132
2016,5,4회차,2016.05.23,영산강상류,광주1,,4.6,33.7,8,0.079,0.25,1.116,0.055
2016,5,4회차,2016.05.23,영산강상류,광주2,,5.8,24.9,7.9,2.524,1.499,4.833,0.061
2016,5,4회차,2016.05.23,영산강상류,광주3,,11.2,125.1,9.8,4.113,1.444,7.492,0.187
2016,5,4회차,2016.05.23,죽산보(영산강중류),광산,20.929,4.6,51.5,7.7,1.479,2.113,4.273,0.149
2016,5,4회차,2016.05.23,황룡강,황룡강3,3.726,3.1,,5.9,,,1.315,0.075
2016,5,4회차,2016.05.23,황룡강,황룡강5,5.65,2.8,34.7,5.9,0.067,0.411,1.062,0.079
2016,5,5회차,2016.05.02,영산강상류,광주천1,,1,6.8,4.4,0.041,1.268,1.56,0.043
2016,5,5회차,2016.05.02,황룡강,황룡강4,,1.3,13.2,5.9,0.001,1.443,1.824,0.022
2016,5,5회차,2016.05.30,죽산보(영산강중류),광산,25.95,4.9,50.3,8.2,1.927,1.361,4.081,0.124
2016,6,1회차,2016.06.01,영산강상류,우치,7.231,3.2,8.6,8.3,0.323,0.916,2.503,0.132
2016,6,1회차,2016.06.01,영산강상류,광주천2,1.107,2.3,15.2,5.6,0.211,3.638,4.378,0.099
2016,6,1회차,2016.06.01,영산강상류,광주1,,5,18.8,9.7,0.233,0.969,2.44,0.102
2016,6,1회차,2016.06.01,영산강상류,광주2,,6.2,13.2,8.4,2.122,1.814,6.424,0.133
2016,6,1회차,2016.06.01,영산강상류,광주3,,11.5,93.1,10.9,3.199,1.979,7.726,0.275
2016,6,1회차,2016.06.01,황룡강,황룡강1,,1.1,3.1,4.8,0.028,0.729,1.165,0.024
2016,6,1회차,2016.06.01,황룡강,황룡강3,5.91,2.8,,6.3,,,1.644,0.095
2016,6,1회차,2016.06.01,황룡강,황룡강5,8.71,1.9,11.5,6.3,0.146,0.731,1.402,0.067
2016,6,1회차,2016.06.01,황룡강,황룡강2,,2.4,17,5.7,0.057,0.675,1.298,0.045
2016,6,1회차,2016.06.07,죽산보(영산강중류),광산,29.292,3.8,22.7,7.3,1.409,1.561,4.041,0.133
2016,6,2회차,2016.06.07,영산강상류,우치,10.646,2.9,7.2,8.2,0.282,1.271,2.479,0.136
2016,6,2회차,2016.06.07,영산강상류,광주천2,1.028,3.5,13.3,6.7,0.403,1.959,3.524,0.16
2016,6,2회차,2016.06.07,영산강상류,광주1,,2.9,11.5,8.8,0.265,1.157,2.491,0.065
2016,6,2회차,2016.06.07,영산강상류,광주2,,5.8,9.5,8.7,3.272,1.877,6.429,0.259
2016,6,2회차,2016.06.07,영산강상류,광주3,,5.2,37.3,9.8,2.569,2.03,6.462,0.135
2016,6,2회차,2016.06.07,황룡강,황룡강3,4.924,1.8,,5.3,,,2.273,0.097
2016,6,2회차,2016.06.07,황룡강,황룡강5,9.448,1.8,5.5,6.5,0.208,1.011,2.263,0.084
2016,6,2회차,2016.06.13,죽산보(영산강중류),광산,20.213,5.4,73.7,7.3,1.644,1.947,4.522,0.147
2016,6,3회차,2016.06.13,영산강상류,우치,7.598,2.8,7.5,7,0.328,1.316,2.444,0.111
2016,6,3회차,2016.06.13,영산강상류,광주천2,1.231,2.9,11.1,6.8,0.253,2.14,3.146,0.087
2016,6,3회차,2016.06.13,황룡강,황룡강3,3.994,1.6,,5.5,,,1.693,0.067
2016,6,3회차,2016.06.13,황룡강,황룡강5,5.99,2.1,23.3,5.8,0.078,0.793,1.451,0.059
2016,6,3회차,2016.06.14,영산강상류,광주1,,1.8,25.2,8,0.068,0.968,1.954,0.056
2016,6,3회차,2016.06.14,영산강상류,광주2,,3.5,19.2,7.9,2.521,1.75,5.802,0.088
2016,6,3회차,2016.06.14,영산강상류,광주3,,10.9,151.6,11.3,2.112,1.949,5.485,0.123
2016,6,3회차,2016.06.20,죽산보(영산강중류),광산,30.302,3.4,57.5,8.7,1.453,1.774,4.097,0.126
2016,6,4회차,2016.06.20,영산강상류,우치,5.833,2.2,10.1,8.2,0.163,0.977,2.175,0.097
2016,6,4회차,2016.06.20,영산강상류,광주천2,3.754,1.9,15.6,5.4,0.141,1.434,1.844,0.091
2016,6,4회차,2016.06.20,영산강상류,광주1,,2.3,45.2,9.8,0.1,0.823,1.854,0.084
2016,6,4회차,2016.06.20,영산강상류,광주2,,9.5,22,9.9,2.697,1.397,4.948,0.151
2016,6,4회차,2016.06.20,영산강상류,광주3,,6.5,123.1,9.6,1.953,1.704,5.505,0.133
2016,6,4회차,2016.06.20,황룡강,황룡강3,3.971,1.9,,6.6,,,1.796,0.082
2016,6,4회차,2016.06.20,황룡강,황룡강5,11.351,7.5,26,8.6,0.458,1.058,2.359,0.78
2016,6,4회차,2016.06.27,죽산보(영산강중류),광산,17.873,3.3,15.5,7.7,0.952,1.555,3.431,0.179
2016,6,5회차,2016.06.27,영산강상류,우치,4.338,2.1,4.9,8.3,0.151,1.301,2.284,0.118
2016,6,5회차,2016.06.27,영산강상류,광주천2,1.085,2.4,5.4,5.1,0.153,2.438,2.983,0.108
2016,6,5회차,2016.06.27,영산강상류,광주1,,2.2,24.6,9.8,0.273,1.19,2.429,0.078
2016,6,5회차,2016.06.27,영산강상류,광주2,,4.4,7.6,9,3.937,2.195,7.731,0.15
2016,6,5회차,2016.06.27,영산강상류,광주3,,13.5,195.6,15,1.895,1.767,5.949,0.338
2016,6,5회차,2016.06.27,황룡강,황룡강3,2.105,2.5,,6.6,,,2.008,0.079
2016,6,5회차,2016.06.27,황룡강,황룡강5,6.95,2.6,7.6,7.2,0.184,1.264,2.185,0.093
2016,6,6회차,2016.06.01,영산강상류,광주천1,,0.9,3.3,5.1,0.007,2.212,1.349,0.02
2016,6,6회차,2016.06.02,황룡강,황룡강4,,1.8,19.9,7.7,0.046,0.801,1.119,0.028
2016,7,1회차,2016.07.05,영산강상류,우치,,2.6,4.1,5.8,0.164,1.388,2.167,0.111
2016,7,1회차,2016.07.05,영산강상류,광주천2,5.439,2.8,0.7,4.3,0.129,1.816,2.576,0.085
2016,7,1회차,2016.07.05,영산강상류,광주1,,1.8,8.1,7.7,0.173,1.53,2.447,0.101
2016,7,1회차,2016.07.05,영산강상류,광주2,,6,3.3,7.8,1.771,1.703,4.332,0.318
2016,7,1회차,2016.07.05,영산강상류,광주3,,1.9,3.9,6.8,0.397,1.73,2.851,0.127
2016,7,1회차,2016.07.05,죽산보(영산강중류),광산,149.717,3.4,2.3,6.6,0.498,1.701,2.79,0.176
2016,7,1회차,2016.07.05,황룡강,황룡강3,43.415,3.3,,7.4,,,2.442,0.258
2016,7,1회차,2016.07.05,황룡강,황룡강5,,2.8,5.2,5.5,0.077,1.706,2.424,0.133
2016,7,1회차,2016.07.08,황룡강,황룡강1,,0.6,0.8,5.1,0.062,2.063,2.41,0.053
2016,7,1회차,2016.07.08,황룡강,황룡강2,,0.8,2.6,6.1,0.034,1.832,2.218,0.066
2016,7,2회차,2016.07.11,영산강상류,우치,11.149,2.1,5.1,5.1,0.081,1.924,2.243,0.167
2016,7,2회차,2016.07.11,영산강상류,광주천2,2.763,2.1,5,4.4,0.235,2.205,2.874,0.109
2016,7,2회차,2016.07.11,영산강상류,광주1,,1.4,13,6.8,0.117,1.434,2.589,0.086
2016,7,2회차,2016.07.11,영산강상류,광주2,,2.1,9,6.9,0.699,1.675,3.608,0.103
2016,7,2회차,2016.07.11,영산강상류,광주3,,5.1,33.3,8.7,2.686,1.481,5.761,0.246
2016,7,2회차,2016.07.11,죽산보(영산강중류),광산,45.49,3.9,59.5,7.7,0.881,1.483,3.116,0.195
2016,7,2회차,2016.07.11,황룡강,황룡강3,7.149,1.4,,4.1,,,1.897,0.1
2016,7,2회차,2016.07.11,황룡강,황룡강5,13.154,3.1,31.1,5.9,0.014,1.1,1.63,0.09
2016,7,3회차,2016.07.18,영산강상류,우치,9.893,2.2,5.9,4.7,0.048,1.127,1.619,0.075
2016,7,3회차,2016.07.18,영산강상류,광주천2,1.717,2.3,4.8,5.6,0.281,1.846,2.48,0.11
