yyyymm,pH,DO,BOD,COD,SS,TN,TP,WT,EC,TC,NH3N,NO3N,FC
2000/01,7.4,12,4.6,6.5,9.2,6.734,0.368,6,305,16,1.564,1.504,4
2000/02,7.4,12.5,4.8,7.2,4.4,6.656,0.363,6,240,36,1.426,4.388,2
2000/03,7.8,11.7,7.2,10.4,14,12.736,0.631,7,180,30,6.284,4.815,2
2000/04,8,10.1,10,11,26,12.432,0.667,13,360,14,2.817,4.272,6
2000/05,8.6,10.3,9.2,16.6,24.4,14.496,1.162,19,440,14,5.799,0.369,11
2000/06,7.4,9.8,8.8,11,44,6.581,0.48,24,272,56,1.214,2.873,40
2000/07,8.3,8.5,7.5,7.7,16.8,6,0.288,28,260,3100,0.107,4.907,2500
2000/08,8.1,8.4,6.8,8.4,22.4,5.534,0.274,27,200,5600,0.333,5.059,2200
2000/09,6.8,6.8,3,5.2,23.6,2.574,0.168,20,80,11000,0.423,1.782,2200
2000/10,7.3,10,5,8.7,14.8,8.873,0.466,22,290,2900,0.995,2.852,1400
2000/11,7.6,12,8.1,9.6,22,8.51,0.562,17,400,3200,2.623,4.515,1800
2000/12,7.2,13.5,6.2,7.6,11.6,8.41,0.427,8,330,1700,3.118,4.526,1000
2001/01,7.4,12.7,9.3,8.9,12.4,10.464,0.662,5,220,5600,5.994,3.421,4600
2001/02,7.3,13.1,9.3,7.1,6,7.718,0.547,4,240,8500,4.453,2.274,3200
2001/03,6.8,12.6,2.4,4.2,4,2.957,0.053,6,210,16000,0.166,2.774,4000
2001/04,7.4,12.4,9.1,10.2,6,8.957,0.688,13,330,3900,3.78,4.949,700
2001/05,7.4,8.5,13.1,13.8,22.4,13.057,1.044,22,500,160,0.114,12.003,25
2001/06,7.9,10.2,12.5,12.5,33.6,8.147,0.743,25,180,200,0.343,6.83,55
2001/07,6.7,6.4,3.6,5.4,32.8,5.817,0.204,29,157,5000,0.03,2.486,1900
2001/08,7.6,11,7.3,9.4,11.2,5.503,0.36,29,296,2000,0.012,4.685,180
2001/09,8.1,13.5,12.5,8.9,19.6,7.327,0.631,29,300,1100,0.012,4.572,240
2001/10,7.4,10.3,4.1,4.6,8.4,3.87,0.233,19,300,4100,1.897,0.236,800
2001/11,7.2,11.9,4.7,6.4,6.4,8.906,0.577,16,450,380,1.321,7.449,140
2001/12,7.4,11,7.7,4.3,23.2,7.264,0.295,9,315,4500,1.954,5.115,180
2002/01,7.6,11.3,3.6,6.3,5.6,11.446,0.412,6,390,5000,2.2,3.55,980
2002/02,7.5,12.4,3.1,6.2,6,13.014,0.521,5,280,4500,7.682,2.007,180
2002/03,8.3,10.2,10.3,7,25.6,13.148,0.735,13,390,2100,8.236,3.415,80
2002/04,7.8,8.5,7,5,19.6,6.982,0.271,15,210,3000,2.511,3.767,440
2002/05,7.2,6.6,5.2,3.9,18,6.258,0.323,21,220,1700,0.841,4.133,800
2002/06,9.4,13.2,11.8,5.2,26.4,6.65,0.142,24,340,7200,0.715,5.438,650
2002/07,8.1,7.4,4.3,4.1,13.2,5.75,0.203,27,250,3900,0.423,3.176,600
2002/08,7.5,6.8,2.7,3.4,4,4.251,0.106,26,200,3600,0.154,1.916,1600
2002/09,7.8,7.3,4.5,5.5,14.8,5.526,0.397,26,254,3600,0.139,4.361,2300
2002/10,7.4,8.2,4.3,6.5,8.4,6.504,0.602,20,250,6200,1.416,3.633,1600
2002/11,7.7,10.4,5.3,5.7,9.2,7.176,0.277,13,272,5600,0.573,3.311,1200
2002/12,7.5,11.9,7.2,8.1,22,6.894,0.573,6,432,2500,2.068,3.617,580
2003/01,8.1,11.9,3.7,7.4,3.6,9.732,0.843,4,388,1800,1.788,3.476,320
2003/02,7.5,10.5,5.8,7.2,10,11.328,0.621,4,375,660,2.396,3.748,90
2003/03,7.3,10.1,6.7,6.2,19.6,4.698,0.332,9,250,520,1.696,2.743,180
2003/04,7.9,9.5,9.1,12.7,26.4,6.786,0.364,14,340,2500,1.984,3.685,280
2003/05,6.9,7.9,6.3,7.6,30,4.524,0.284,20,206,2300,1.12,2.966,300
2003/06,7.2,8.3,7.1,9.8,22.4,9.432,0.266,24,249,2400,1.166,4.338,400
2003/07,7,6.8,2.8,5.3,24.4,4.98,0.414,23,150,3300,0.89,2.215,860
2003/08,7,6,2.8,6.4,21.2,3.204,0.188,25,165,3400,0.482,2.241,1200
2003/09,6.9,7.4,1.9,5.7,2,3.192,0.139,23,108,1400,0.201,1.103,340
2003/10,7.5,7.1,3.4,4.8,28,8.202,0.395,20,373,2000,1.298,3.917,300
2003/11,7.5,8.4,4.3,5.1,23.2,7.614,0.599,17,426,4400,1.258,6.114,400
2003/12,7.5,11.7,3.9,4.8,7.6,11.904,0.492,11,464,1900,0.501,5.709,650
2004/01,8.9,16.8,2.2,2.4,3.2,2.112,0.245,7,182,900,0.431,1.181,200
