yyyymm,pH,DO,BOD,COD,SS,TN,TP,WT,EC,TC,NH3N,NO3N,FC
2000/01,7.4,13.9,3.9,8.5,39.6,9.343,0.548,6,410,6,1.765,3.292,2
2000/02,7.5,13.8,3.6,7.9,10,6.623,0.378,6,240,4,1.414,4.706,2
2000/03,7.6,11.6,6.1,9.5,58.5,10.456,0.515,6,230,17,0.827,6.514,10
2000/04,8,10,7.4,8.8,12.8,9.8,0.667,13,350,7,6.021,3.887,3
2000/05,8.1,9.3,7.7,11.5,28.8,11.424,0.485,19,490,5,5.25,3.56,1
2000/06,7.2,6.5,8.3,10.9,56.5,6.331,0.278,24,273,67,1.292,0.927,1
2000/07,8.2,7.5,6.3,8.6,57.2,5.174,0.298,30,230,2000,0.13,4.672,900
2000/08,7.8,7.8,6.2,7.5,47.2,3.432,0.336,27,170,800,0.53,2.148,100
2000/09,6.8,6.8,3.1,4.2,27.6,2.04,0.163,20,90,12000,0.572,0.533,1600
2000/10,8.2,12.3,4.7,8.2,22,5.89,0.264,22,260,500,0.519,3.216,100
2000/11,7.6,11.8,6.6,7.6,18,6.984,0.355,16,360,700,1.853,3.923,200
2000/12,7.3,14.5,5.2,8.4,26.8,7.891,0.398,9,310,800,2.778,4.208,100
2001/01,7.4,12,5.8,7.7,14,12.077,0.595,4,190,800,5.592,4.526,100
2001/02,7.5,14.3,5.8,7.2,13.6,8.918,0.475,4,260,1600,4.644,0.821,400
2001/03,7.1,11.6,2.8,6.4,15.2,5.318,0.274,6,240,4500,1.671,2.944,700
2001/04,7.7,14.6,7.2,9.3,14.4,7.656,0.354,12,310,4800,3.35,4.126,400
2001/05,7.4,7.3,9.8,7,13.2,6.09,0.38,21,720,60,0.085,5.828,1
2001/06,7.9,7.2,11.5,12.6,23.6,7.409,0.321,24,180,160,0.502,5.721,6
2001/07,6.6,6.2,1.7,5.2,14.8,6.329,0.131,27,184,1200,1.359,2.217,370
2001/08,8.2,10.3,5.4,7.9,14.8,3.381,0.113,29,200,560,0.063,2.561,80
2001/09,8.2,10.3,4.2,7.4,10.8,6.36,0.291,27,240,300,0.086,3.51,20
2001/10,7.6,9.4,6.7,8.1,12.4,8.084,0.444,19,400,760,1.624,5.947,320
2001/11,7.1,11.4,5,6.6,12.8,5.638,0.258,16,400,160,0.512,4.323,65
2001/12,7.5,11.1,6.7,5,20,10.833,0.514,10,409,920,4.382,6.64,80
