yyyymm,pH,DO,BOD,COD,SS,TN,TP,WT,EC,TC,NH3N,NO3N,FC
2007/05,8.4,8.7,5.4,6.1,13.4,1.128,0.083,19.5,465,11000,0.128,0.232,2875
2007/06,10.4,8.5,4.6,8.7,13.5,1.805,0.108,21.8,347,57500,0.069,0.628,2800
2007/07,8.3,7.4,3,5.8,9.5,2.454,0.1,24.4,178,47400,0.118,1.49,2992
2007/08,8.7,6.8,1.2,4.8,6.1,1.52,0.084,27.5,181,34000,0.075,0.926,770
2007/09,9,7.8,1.6,3,3,1.768,0.066,26,127,19400,0.029,1.368,1040
2007/10,7.8,8.8,1.4,3,5.2,2.164,0.083,20.3,126,12895,0.03,1.7,541
2007/11,8.5,9.8,1.3,3,2.6,1.765,0.05,14,126,343,0.049,1.542,16
2007/12,8.3,11.4,2.3,3.8,2.7,2.483,0.111,7.2,164,82,0.014,1.836,1
2008/01,8.4,12.6,1.3,3.8,5.5,2.65,0.094,4.2,152,1640,0.045,2.107,35
2008/02,7.9,13.8,1.9,4.5,6,3.36,0.099,4.5,320,1643,0.177,2.118,105
2008/03,8.2,11.4,3.4,9.5,12.8,2.4,0.132,10.5,335,2894,0.119,1.179,131
2008/04,8.4,10.3,4.2,10.9,16.8,1.843,0.131,15.6,337,5980,0.044,0.47,130
2008/05,7.4,8.3,3.1,12.8,25,1.86,0.184,19.3,286,2988,0.294,0.565,144
2008/06,7.2,7.5,2.6,7.1,20,3.732,0.174,21.8,184,3263,0.411,1.506,75
2008/07,7.4,7.2,1.5,5.4,14.7,2.784,0.16,25.8,169,4440,0.146,1.298,630
2008/08,7.4,6.7,3.8,6.8,8.6,2.088,0.106,26.3,210,4775,0.032,0.705,175
2008/09,7.6,7.3,1.7,6.3,5.9,2.285,0.087,23.4,236,3950,0.107,0.577,250
2008/10,7.7,8.9,1.6,6,5,1.359,0.092,18.3,326,3468,0.053,0.581,450
2008/11,7.7,12.6,3.8,5.9,10.8,1.85,0.08,10.5,353,3300,0.116,1.093,300
2008/12,7.4,12.7,2.6,5.4,6,2.881,0.066,5.8,375,2930,0.101,2.008,390
2009/01,7.5,13.2,2.1,3.7,3.4,2.757,0.058,3.5,355,3038,0.092,2.234,75
2009/02,7.7,12.6,2.9,4.8,8.2,2.877,0.087,6.8,347,2875,0.173,2.071,25
2009/03,7.9,11.6,3.4,5.9,10,2.006,0.087,11,327,3200,0.095,1.241,38
2009/04,8.2,11.4,6.5,11.2,18.2,1.373,0.142,15.2,475,4230,0.119,0.185,232
2009/05,7.7,8.3,6.5,15.9,14.7,1.801,0.138,22.5,651,13738,0.224,0.21,50
2009/06,7.1,8.1,4.4,12.3,11.9,2.54,0.145,22.8,285,8344,0.328,1.029,26
2009/07,7.1,7.4,3.5,6.9,5.9,2.587,0.143,24,190,14717,0.171,1.71,168
