yyyymm,pH,DO,BOD,COD,SS,TN,TP,WT,EC,TC,NH3N,NO3N,FC
2000/01,7,12.9,3.3,4.9,9.6,3.737,0.125,5,182,6,0.328,2.846,2
2000/02,7.2,12.4,2.7,4,4.7,3.464,0.116,4,149,8,0.292,2.234,2
2000/03,7.9,13.7,5,8.1,15.2,4.178,0.113,7,188,11,0.413,1.911,4
2000/04,8.2,13.3,9.1,12,40.2,3.002,0.202,14,230,9,0.465,1.76,4
2000/05,8.6,11.9,8.9,16.6,25.1,4.402,0.374,20,318,5,2.204,1.635,1
2000/06,7.3,9,6.8,15.4,17.2,4.893,0.352,24,240,10,1.122,1.791,3
2000/07,7.4,8.1,3.9,9,15.2,3.908,0.155,25,160,3300,0.155,3.171,1000
2000/08,7.4,9.1,3.3,6,11.1,1.8,0.107,28,163,13000,0.127,1.413,4900
2000/09,7,8.1,1.5,5.7,16.3,2.107,0.132,23,151,7300,0.164,1.357,4000
2000/10,7.3,9.6,2.5,5.1,3.6,2.022,0.058,21,165,5200,0.114,1.209,1000
2000/11,7.9,13,4,7.3,15.6,2.382,0.074,16,230,2300,0.178,1.563,300
2000/12,7.5,13.2,4,7.4,11.2,3.026,0.094,7,254,5200,0.279,2.06,680
2001/01,7.7,14.5,4.5,8.4,11.8,3.386,0.103,4,223,3200,0.437,2.056,350
2001/02,7.4,13.4,3,5.1,6,3.278,0.08,5,165,830,0.46,2.337,330
2001/03,7.2,13,2.7,5.6,8.5,3.344,0.121,7,183,4100,0.34,2.418,600
2001/04,7.9,12.7,6,7.7,17.7,3.041,0.106,14,280,5100,0.335,1.543,700
2001/05,8,9.3,9.5,9.7,21.1,2.978,0.247,20,303,700,0.091,2.155,78
2001/06,7.9,10.1,6.3,10.5,18.4,3.852,0.185,25,250,600,0.086,2.002,81
2001/07,7.4,7.7,2.5,6.5,17.2,5.262,0.119,26,150,1500,0.114,2.378,270
2001/08,7.4,8.5,3.4,5.7,8.5,2.398,0.082,28,205,730,0.016,1.425,110
2001/09,7.7,9.8,4.4,5.9,9.1,1.558,0.062,28,282,2700,0.041,1.107,63
2001/10,7.5,9.5,3.1,7.2,8.8,3.079,0.048,23,208,2000,0.186,1.151,420
2001/11,7.3,11.5,2.6,5.4,8.5,3.713,0.036,18,205,2400,0.281,1.56,540
2001/12,7.8,13.7,3.3,7,18.6,4.192,0.035,9,274,1800,0.233,2.006,58
2002/01,7.7,13.1,2.5,3.5,2.5,5.36,0.029,7,315,3300,0.282,2.594,330
2002/02,7.8,12,1.6,3.5,3.4,4.59,0.036,6,286,950,0.106,2.512,110
2002/03,8.4,14,4.8,5.2,13.5,4.151,0.018,9,210,840,0.115,2.105,180
2002/04,9,12.1,7.5,4.7,23,2.884,0.035,13,243,1800,0.075,1.588,130
2002/05,7.9,9.4,5.6,4.5,21.1,2.92,0.045,19,198,2500,0.053,1.422,840
2002/06,8.5,9.6,5.5,4.9,17.1,3.367,0.046,23,248,1700,0.149,1.977,610
2002/07,8,8.7,4,5.1,9.5,3.367,0.049,29,215,5600,0.127,1.863,2600
