BOD,COD,SS,T-N,T-P,TOC,NH3-N,PO4-P,Chl-a,Rain
2.4,5.2,5,5.869,0.071,2.9,1.901,0.039,21.6,41.9
4.6,7.5,8.2,6.715,0.076,3.7,2.553,0.015,77.5,25.3
6.5,10.6,13.9,6.56,0.084,4.8,2.783,0.011,116.3,37
5.3,9.6,9.6,4.981,0.099,4.8,2.15,0.038,63.8,153.8
4.3,9.2,8.7,3.524,0.067,4.3,1.013,0.027,29.9,67.5
4.5,11.1,12,3.908,0.059,5.5,1.412,0.015,31.6,98.9
4.3,10.1,10.2,3.17,0.093,5.1,0.764,0.047,30.8,179.5
8.5,16.4,23.6,2.623,0.123,4.3,0.536,0.055,149.6,145.9
3,8.3,10,2.418,0.083,4.1,0.491,0.047,41.6,66.7
2.9,7.8,10.4,2.828,0.073,3.8,0.509,0.033,28.5,87.6
3.2,7.6,10,4.368,0.114,3.7,1.233,0.081,24,112.5
2.4,6.3,6.5,4.31,0.109,3.2,0.869,0.075,18.5,58
4.3,7.7,11.1,5.387,0.061,3.6,0.672,0.009,85.2,52.3
3,7,8,4.871,0.112,3.4,1.315,0.073,27.3,46.2
3.6,7.9,12.1,4.154,0.092,3.8,0.899,0.04,41.2,63.3
3.6,8.7,6.3,4.586,0.114,4.1,1.091,0.051,17.8,194.1
6,8.5,12.3,2.929,0.087,4,0.326,0.024,77.5,111.9
6.2,12.3,17.2,3.651,0.133,5.1,0.913,0.048,55.4,122.8
5.5,10.5,17.9,2.492,0.098,4.1,0.185,0.05,86.9,277.4
10.9,19,38.1,2.581,0.112,6.7,0.451,0.056,152.3,71
3.8,10.4,9.5,2.955,0.15,4.9,0.555,0.092,31.6,244.7
2.3,6.2,7.7,2.941,0.169,3.6,0.562,0.12,13.9,211.6
3.1,5.8,7.8,4.892,0.088,3.6,0.778,0.036,42.3,43.6
2.7,5.8,5.1,6.227,0.088,3.5,1.172,0.034,25.9,47
4.5,7.4,12.9,5.143,0.077,4.2,0.819,0.018,64,11.8
4.9,8.6,15.7,7.245,0.087,5.3,1.707,0.005,128.3,39.5
5,8.5,11.4,6.284,0.157,5.2,2.112,0.027,65.2,10.1
5.5,8.4,8.4,5.551,0.102,5.8,2.079,0.029,62,22.8
4.1,11.5,10.5,5.377,0.081,7.1,1.613,0.018,38.9,80.3
5.8,15.8,31.9,4.768,0.125,7,1.293,0.025,60.7,48.2
4.1,10.6,12.6,3.857,0.186,5.7,1.285,0.106,64.2,229.7
5.2,9.8,23.5,3.293,0.172,4.9,1.142,0.083,77.1,231.1
2.1,7.3,19,2.645,0.101,4.3,0.312,0.051,43.8,83.8
3.4,6.8,12.2,3.789,0.083,3.7,0.582,0.024,45.3,66
3,7.7,10.7,5.276,0.066,4.2,1.108,0.007,51.9,7.7
5.4,9.3,16.8,7.247,0.09,5.2,2.014,0.003,103,29.9
5.8,11,18.8,7.636,0.122,5.6,2.905,0.021,129.5,49
4.6,9.7,13.7,9.432,0.089,5.1,5.143,0.008,64.8,44.5
5.4,10.4,24.8,6.634,0.15,5.2,3.393,0.044,60.9,120.4
5.1,8.9,28.1,5.022,0.121,4.5,1.958,0.032,52.1,108.2
5.2,9.1,20.1,3.941,0.127,5.3,1.492,0.039,97.8,135.8
5.7,11.9,21,4.233,0.153,5,1.245,0.042,68.5,168.6
6.4,11.6,38.7,3.507,0.231,5.7,0.677,0.071,134.5,150.2
3.3,10.6,30.9,3.16,0.191,5.1,1.167,0.106,63.7,358.6
3,8.1,13.9,2.85,0.157,3.5,0.412,0.062,88.1,106.4
3.7,7.2,18.8,3.803,0.103,4.5,0.413,0.051,98.4,107.4
3.6,7,15.8,3.104,0.097,4.3,0.726,0.019,56.1,37.8
4,6.9,18,4.143,0.089,3.9,0.972,0.01,78.9,25.2
4.9,8.1,18.2,6.652,0.102,4.7,1.972,0.015,63.6,12.5
5.9,11.1,20.9,6.452,0.141,6.1,1.705,0.005,157.7,28.1
6.1,9.5,34.7,6.849,0.135,5.6,2.693,0.014,93.2,26.3
4.9,9.7,9.8,5.548,0.117,5.3,1.977,0.021,36.9,65.2
5.8,10.6,11.1,4.361,0.142,5.6,1.961,0.057,24.3,62.7
5.2,13.2,15,3.695,0.122,6.7,1.014,0.029,40.7,122.2
4.7,11.5,21,3.051,0.226,7.1,0.541,0.091,27.4,182.7
4.6,9.7,19.3,3.027,0.15,6.4,0.53,0.075,27.9,53.7
3.2,8.1,13.6,2.776,0.152,4,0.363,0.076,49.2,132
1.7,6.3,9.2,3.313,0.063,3.3,0.39,0.027,24.4,115.7
3.5,8.5,11.5,5.21,0.068,4.1,1.118,0.011,36.9,17.1
2.8,7.1,7.3,6.414,0.102,4.1,2.181,0.051,21.3,24.7
