,a_Jan,b_Feb,c_Mar,d_Apr,e_May,f_Jun,g_Jul,h_Aug,i_Sep,j_Oct,k_Nov,l_Dec
2016,3.479,7.489,6.155,9.168,7.687,7.129,8.753,6.257,16.274,14.034,3.671,3.439
2017,3.23,3.538,2.81,2.707,2.093,3.473,10.418,31.665,12.089,3.39,2.222,2.623
2018,2.826,2.31,11.389,6.176,7.879,5.507,26.962,32.126,11.455,6.158,2.32,3.693
2019,2.649,2.677,2.001,2.843,5.198,5.329,13.018,6.699,10.594,6.811,3.572,3.811
