BIX,FI,month
0.69,1.3,April
0.7,1.27,April
0.7,1.24,April
0.62,1.26,April
0.69,1.33,April
0.7,1.33,April
0.67,1.29,April
0.71,1.3,April
0.72,1.35,April
0.73,1.32,April
0.72,1.37,April
0.82,1.37,April
0.74,1.36,April
0.75,1.31,April
1.07,1.37,April
0.82,1.35,April
0.76,1.38,April
0.79,1.36,April
0.75,1.33,April
0.78,1.35,April
0.87,1.34,April
1.36,1.45,April
0.85,1.41,April
0.77,1.34,April
0.86,1.37,April
0.79,1.31,April
0.75,1.28,April
0.79,1.36,April
0.83,1.34,April
0.82,1.43,April
0.83,1.37,April
0.69,1.24,April
0.95,1.41,April
0.88,1.4,April
0.8,1.4,April
0.85,1.4,April
0.72,1.31,May
0.69,1.29,May
0.7,1.24,May
0.67,1.27,May
0.69,1.31,May
0.68,1.3,May
0.69,1.3,May
0.7,1.32,May
0.7,1.29,May
0.74,1.36,May
0.74,1.32,May
0.7,1.28,May
0.74,1.32,May
0.73,1.32,May
0.72,1.32,May
0.72,1.35,May
0.72,1.36,May
0.74,1.41,May
0.74,1.36,May
0.76,1.33,May
0.81,1.35,May
1.23,1.5,May
0.8,1.38,May
0.73,1.33,May
0.82,1.36,May
0.79,1.38,May
0.81,1.32,May
0.77,1.35,May
0.85,1.37,May
0.76,1.44,May
0.82,1.33,May
0.73,1.33,May
0.78,1.36,May
0.81,1.33,May
0.74,1.35,May
0.78,1.35,May
0.69,1.25,June
0.68,1.28,June
0.72,1.28,June
0.67,1.3,June
0.66,1.3,June
0.66,1.27,June
0.69,1.29,June
0.71,1.38,June
0.74,1.34,June
0.72,1.39,June
0.76,1.32,June
0.76,1.35,June
0.73,1.3,June
0.69,1.31,June
0.72,1.35,June
0.73,1.33,June
0.75,1.31,June
0.76,1.35,June
0.73,1.34,June
0.73,1.32,June
0.81,1.38,June
1.25,1.53,June
0.79,1.35,June
0.78,1.33,June
0.79,1.34,June
0.75,1.38,June
0.77,1.33,June
0.71,1.32,June
0.81,1.32,June
0.78,1.38,June
0.8,1.36,June
0.75,1.33,June
0.76,1.36,June
0.84,1.32,June
0.78,1.35,June
0.77,1.37,June
0.65,1.26,June
0.7,1.31,June
0.68,1.3,June
0.67,1.27,June
0.82,1.3,June
0.65,1.27,June
0.67,1.27,June
0.73,1.36,June
0.76,1.29,June
0.71,1.35,June
0.76,1.3,June
0.74,1.38,June
0.73,1.28,June
0.67,1.34,June
0.72,1.3,June
0.7,1.35,June
0.71,1.33,June
0.76,1.32,June
0.74,1.29,June
0.72,1.33,June
0.78,1.32,June
1.12,1.47,June
0.76,1.3,June
0.81,1.37,June
0.88,1.35,June
0.72,1.37,June
0.74,1.32,June
0.75,1.33,June
0.75,1.29,June
0.76,1.4,June
0.74,1.31,June
0.74,1.3,June
0.72,1.31,June
0.74,1.3,June
0.72,1.32,June
0.77,1.32,June
0.68,1.27,July
0.67,1.23,July
0.66,1.32,July
0.65,1.26,July
0.8,1.27,July
0.69,1.28,July
0.68,1.31,July
0.68,1.38,July
0.67,1.29,July
0.62,1.27,July
0.69,1.29,July
0.74,1.34,July
0.71,1.36,July
0.67,1.35,July
0.7,1.32,July
0.67,1.34,July
0.7,1.32,July
0.73,1.4,July
0.7,1.33,July
0.73,1.32,July
0.79,1.35,July
0.94,1.39,July
0.75,1.38,July
0.77,1.37,July
0.76,1.35,July
0.72,1.34,July
0.74,1.32,July
0.75,1.31,July
0.73,1.34,July
0.78,1.4,July
0.74,1.3,July
0.72,1.33,July
0.74,1.34,July
0.75,1.32,July
0.78,1.37,July
0.74,1.37,July
0.68,1.31,July
0.67,1.23,July
0.65,1.25,July
0.62,1.23,July
0.64,1.28,July
0.66,1.28,July
0.66,1.3,July
0.69,1.3,July
0.71,1.23,July
0.67,1.2,July
0.67,1.31,July
0.75,1.34,July
0.72,1.34,July
0.69,1.31,July
0.7,1.31,July
0.7,1.31,July
0.72,1.31,July
0.71,1.24,July
0.71,1.25,July
0.76,1.33,July
0.7,1.33,July
0.75,1.37,July
0.72,1.29,July
0.75,1.29,July
0.72,1.31,July
0.72,1.31,July
0.7,1.29,July
0.77,1.36,July
0.69,1.29,July
0.75,1.34,July
0.71,1.29,July
0.75,1.31,July
0.8,1.35,July
0.7,1.31,July
0.7,1.3,July
