point,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
a_위천,0.080 ,0.085 ,0.063 ,0.190 ,0.084 ,0.057 ,0.067 ,0.082 ,0.113 ,0.122 ,0.146 ,0.136 ,0.096 ,0.073 ,0.061 
b_감천,0.086 ,0.125 ,0.140 ,0.144 ,0.120 ,0.181 ,0.248 ,0.132 ,0.089 ,0.120 ,0.104 ,0.084 ,0.079 ,0.113 ,0.085 
c_금호강,0.501 ,0.508 ,0.279 ,0.200 ,0.190 ,0.184 ,0.238 ,0.212 ,0.327 ,0.231 ,0.266 ,0.289 ,0.239 ,0.217 ,0.147 
d_회천,0.088 ,0.095 ,0.090 ,0.211 ,0.127 ,0.094 ,0.082 ,0.083 ,0.111 ,0.139 ,0.117 ,0.113 ,0.075 ,0.073 ,0.074 
e_황강,0.044 ,0.045 ,0.035 ,0.029 ,0.017 ,0.020 ,0.022 ,0.035 ,0.014 ,0.026 ,0.018 ,0.039 ,0.012 ,0.007 ,0.002 
f_남강,0.141 ,0.394 ,0.253 ,0.284 ,0.722 ,0.229 ,0.265 ,0.320 ,0.254 ,0.142 ,0.123 ,0.175 ,0.198 ,0.178 ,0.038 
