BOD,COD,SS,T-N,T-P,TOC,NH3-N,PO4-P,Chl-a,Rain
1.6,3.8,4.6,2.619,0.044,3,0.151,0.019,4.9,47.5
2,3.6,4.6,2.589,0.051,3,0.145,0.02,6.5,22.3
4.4,7.8,12.2,2.085,0.075,5.8,0.077,0.009,47,36.4
4.3,7.5,20.2,1.819,0.119,4.9,0.158,0.02,54.3,141
3.4,7,12.1,1.724,0.119,5.5,0.306,0.046,22.6,46.8
3.6,9.1,13,2.624,0.134,6.8,0.323,0.067,10,101.7
2,6.4,8,2.241,0.125,5,0.074,0.04,17.6,167
2,5.4,7.6,1.403,0.11,4.3,0.063,0.045,7.9,139.8
1.3,5.1,4.2,1.276,0.086,4.3,0.062,0.034,4.9,59.8
1.7,5.7,5.7,1.596,0.09,5.8,0.126,0.046,5.4,95.2
2.3,6.2,5.2,2.306,0.113,5.1,0.304,0.064,10.1,120.2
1.5,4.2,2.3,2.745,0.066,2,0.183,0.029,3.1,61.4
1.5,3.5,4.1,3.025,0.059,3.8,0.236,0.018,5.1,51.2
2.1,4.5,8.6,2.744,0.073,4.3,0.248,0.031,6.7,43.5
2.7,5.6,15.1,2.506,0.096,4.8,0.181,0.024,14.9,58.4
3,6.6,16.9,1.907,0.108,5.1,0.14,0.022,31.6,185.6
1.9,5.6,11.3,1.773,0.092,4.6,0.121,0.039,13.1,105.5
2.6,8,12.6,2.377,0.119,7,0.249,0.063,7.7,106.7
2.4,5.7,11.8,1.852,0.119,5.4,0.089,0.058,20.7,287.8
2.4,7.1,8.2,1.152,0.109,5.7,0.071,0.035,19.4,86.3
1.8,6.4,8.7,1.725,0.098,4.8,0.162,0.048,7.9,243.1
1.2,5.2,8.6,2.114,0.097,3.9,0.076,0.057,3.8,207.3
1.4,4.4,3.9,2.209,0.094,3.9,0.06,0.048,9.6,32.4
1.3,3.9,3.3,2.573,0.056,3.5,0.077,0.02,8.6,45.3
1.5,4.3,4.2,2.898,0.079,3.3,0.224,0.029,7.3,13.6
1.8,4.5,5.6,2.929,0.086,3.5,0.222,0.041,8.5,43.8
4,6.6,13.4,2.255,0.091,5.8,0.062,0.014,42.5,9.6
5.9,11,18.1,1.422,0.109,7.8,0.024,0.006,110.6,21.2
5.8,13.4,21.2,1.626,0.138,9.1,0.124,0.01,71.4,30.6
3.9,12.7,12.9,2.142,0.121,9.5,0.286,0.026,32,69.9
2.3,8.4,10.3,1.971,0.118,6.2,0.162,0.047,14.1,210.8
2.5,7.1,21.5,1.404,0.112,5.3,0.091,0.064,20.4,252.6
1.7,5.8,6.7,1.412,0.08,4.5,0.038,0.041,10.7,94.2
1.6,5.5,3.7,1.813,0.071,4.2,0.092,0.03,17.9,75.3
4.1,7.3,9.9,1.917,0.07,6,0.192,0.006,77.5,7.8
3.3,5.9,7.5,2.72,0.067,5,0.269,0.005,49.1,30.4
2.9,5.6,6.7,2.627,0.072,4.5,0.246,0.012,34.1,44.4
3.2,5.8,7.7,2.659,0.095,4.5,0.075,0.012,46.8,35.2
3.5,7.4,15.6,2.59,0.108,5.5,0.202,0.028,34.2,114.1
2.5,6.6,9.2,2.231,0.094,5,0.064,0.023,35.7,115.7
2.7,7.2,11.6,2.233,0.131,5.9,0.252,0.058,15.9,117
2.9,10.8,8.7,1.858,0.115,8.5,0.12,0.05,13.9,190.1
3.6,9.6,13.8,1.626,0.125,6.8,0.039,0.074,29.7,127.6
2.5,8.4,9.4,1.399,0.112,6.4,0.028,0.05,17.8,360.8
2.1,5.3,7.4,1.922,0.082,4.5,0.031,0.036,18.5,118
2,5.8,5.6,1.969,0.078,5.3,0.032,0.03,13.8,111.9
1.8,5.8,5.5,2.035,0.088,5.8,0.013,0.038,18.1,41
1.8,4.3,4.5,2.509,0.071,4.9,0.078,0.034,18.5,27.6
1.7,4.3,4.6,2.71,0.073,4.3,0.092,0.014,16.6,13.9
2.8,6.6,8.5,2.502,0.1,5.6,0.13,0.028,41.1,31.5
4.4,9,17,1.753,0.17,7.3,0.036,0.014,77,28.8
4.3,9.5,13.5,1.404,0.161,7,0.165,0.02,52.8,72
3.7,8.9,16.3,1.501,0.156,6.9,0.272,0.041,40.6,67
3.5,9.8,10.5,1.82,0.144,7.9,0.177,0.053,17,134.4
2.6,7.5,10.5,1.856,0.102,6.5,0.103,0.064,9.2,206
2.6,7.9,6.7,1.13,0.089,7,0.039,0.04,20.6,55.1
1.6,5.7,4.2,1.729,0.077,4.4,0.037,0.057,6.5,141
1.3,4.6,4.1,1.968,0.048,3.3,0.031,0.024,10.1,127.5
3.4,7,11.4,1.974,0.077,6.5,0.05,0.026,50.2,19.4
2.9,5.1,6,2.557,0.055,4.9,0.077,0.025,28,26.9
