d15N,d18O,site
7.02,1.72,JS-01
10.19,4.17,JS-02
9.24,4.72,JS-03
6.89,0.98,JS-04
9.21,2.58,JS-05
8.05,1.92,JS-06
9.14,2.24,JS-07
8.84,11.7,JS-08
9.59,7.67,JS-09
9.7,-0.45,JS-10
8.35,8.55,JS-11
7.25,2.76,JS-12
7.76,6.5,JS-13
7.51,2.52,JS-14
7.41,4.71,JS-15
7.64,5.69,JS-16
7.67,5.16,JS-17
8.68,2.03,JS-18
8.79,4.2,JS-19
11.42,2.79,JS-20
9.89,2.56,JS-21
17.27,2.92,JS-22
10.08,3.24,JS-23
7.85,3.26,JS-24
9.86,2.83,JS-25
9.98,3.92,JS-26
9.65,3.86,JS-27
10.56,3.04,JS-28
9.46,5.88,JS-29
13.92,6.38,JS-30
10.47,4.58,JS-31
10.58,2.88,JS-32
10.77,0.17,JS-33
10.85,4.29,JS-34
10.58,2.82,JS-35
11.38,3.18,JS-36
