HIX,BIX,FI,month,stream
6.03,0.69,1.3,April,Main
4.76,0.7,1.27,April,Tributary
5.33,0.7,1.24,April,Main
5.87,0.62,1.26,April,Tributary
5.53,0.69,1.33,April,Main
5.62,0.7,1.33,April,Tributary
7.17,0.67,1.29,April,Main
4.07,0.71,1.3,April,Tributary
5.06,0.72,1.35,April,Main
5.11,0.73,1.32,April,Tributary
4.46,0.72,1.37,April,Main
3.52,0.82,1.37,April,Tributary
4.73,0.74,1.36,April,Main
5.3,0.75,1.31,April,Tributary
2.85,1.07,1.37,April,Main
2.48,0.82,1.35,April,Tributary
5.18,0.76,1.38,April,Main
5.46,0.79,1.36,April,Tributary
5.36,0.75,1.33,April,Main
4.71,0.78,1.35,April,Tributary
4.4,0.87,1.34,April,Main
2.78,1.36,1.45,April,Tributary
3.76,0.85,1.41,April,Main
4.61,0.77,1.34,April,Tributary
4.34,0.86,1.37,April,Main
4.93,0.79,1.31,April,Tributary
5.07,0.75,1.28,April,Main
4.81,0.79,1.36,April,Tributary
3.87,0.83,1.34,April,Main
6.54,0.82,1.43,April,Tributary
4.04,0.83,1.37,April,Main
6.39,0.69,1.24,April,Tributary
3.74,0.95,1.41,April,Tributary
4.11,0.88,1.4,April,Main
5.9,0.8,1.4,April,Tributary
4.25,0.85,1.4,April,Main
3.07,1.09,1.57,April,Tributary
3.79,0.87,1.35,April,Main
6.68,0.72,1.31,May,Main
5.75,0.69,1.29,May,Tributary
6.08,0.7,1.24,May,Main
6.54,0.67,1.27,May,Tributary
6.1,0.69,1.31,May,Main
7.11,0.68,1.3,May,Tributary
7.24,0.69,1.3,May,Main
6.69,0.7,1.32,May,Tributary
6.63,0.7,1.29,May,Main
7.34,0.74,1.36,May,Tributary
6.77,0.74,1.32,May,Main
5.76,0.7,1.28,May,Tributary
6.48,0.74,1.32,May,Main
5.85,0.73,1.32,May,Tributary
6.41,0.72,1.32,May,Main
4.5,0.72,1.35,May,Tributary
6.18,0.72,1.36,May,Main
5.4,0.74,1.41,May,Tributary
6.51,0.74,1.36,May,Main
5.36,0.76,1.33,May,Tributary
5.06,0.81,1.35,May,Main
2.95,1.23,1.5,May,Tributary
5.74,0.8,1.38,May,Main
6.11,0.73,1.33,May,Tributary
5.83,0.82,1.36,May,Main
6.22,0.79,1.38,May,Tributary
5.69,0.81,1.32,May,Main
6.52,0.77,1.35,May,Tributary
4.97,0.85,1.37,May,Main
5.97,0.76,1.44,May,Tributary
4.54,0.82,1.33,May,Main
6.21,0.73,1.33,May,Tributary
6.03,0.78,1.36,May,Tributary
4.4,0.81,1.33,May,Main
6.71,0.74,1.35,May,Tributary
5.67,0.78,1.35,May,Main
2.64,1.12,1.5,May,Tributary
3.24,1.05,1.66,June,Tributary
8.15,0.69,1.25,June,Main
6.26,0.68,1.28,June,Tributary
7.11,0.72,1.28,June,Main
6.68,0.67,1.3,June,Tributary
6.22,0.66,1.3,June,Main
8.39,0.66,1.27,June,Tributary
6.93,0.69,1.29,June,Main
7.29,0.71,1.38,June,Tributary
6.03,0.74,1.34,June,Main
8.51,0.72,1.39,June,Tributary
7.76,0.76,1.32,June,Main
5.75,0.76,1.35,June,Tributary
6.68,0.73,1.3,June,Main
10.03,0.69,1.31,June,Tributary
8.32,0.72,1.35,June,Main
8.32,0.73,1.33,June,Tributary
8.61,0.75,1.31,June,Main
5.73,0.76,1.35,June,Tributary
7.16,0.73,1.34,June,Main
6.76,0.73,1.32,June,Tributary
5.52,0.81,1.38,June,Main
2.98,1.25,1.53,June,Tributary
6.64,0.79,1.35,June,Main
7.83,0.78,1.33,June,Tributary
6.95,0.79,1.34,June,Main
8.4,0.75,1.38,June,Tributary
7.68,0.77,1.33,June,Main
7.23,0.71,1.32,June,Tributary
6.01,0.81,1.32,June,Main
6.11,0.78,1.38,June,Tributary
6.11,0.8,1.36,June,Main
6.8,0.75,1.33,June,Tributary
6.59,0.76,1.36,June,Tributary
6.14,0.84,1.32,June,Main
5.78,0.78,1.35,June,Tributary
6.27,0.77,1.37,June,Main
2.43,1.22,1.51,June,Tributary
2.54,1.41,1.61,June,Tributary
10.99,0.7,1.35,June,Tributary
6.97,0.65,1.26,June,Main
6.82,0.7,1.31,June,Tributary
6.91,0.68,1.3,June,Main
6.93,0.67,1.27,June,Tributary
5.26,0.82,1.3,June,Main
7.94,0.65,1.27,June,Tributary
8.41,0.67,1.27,June,Main
7.69,0.73,1.36,June,Tributary
6.62,0.76,1.29,June,Main
9.47,0.71,1.35,June,Tributary
7.9,0.76,1.3,June,Main
7.21,0.74,1.38,June,Tributary
7.71,0.73,1.28,June,Main
10.36,0.67,1.34,June,Tributary
8.86,0.72,1.3,June,Main
8.93,0.7,1.35,June,Tributary
8.92,0.71,1.33,June,Main
5.37,0.76,1.32,June,Tributary
8.29,0.74,1.29,June,Main
7.99,0.72,1.33,June,Tributary
6.49,0.78,1.32,June,Main
3.87,1.12,1.47,June,Tributary
7.09,0.76,1.3,June,Main
8.59,0.81,1.37,June,Tributary
5.54,0.88,1.35,June,Main
7.88,0.72,1.37,June,Tributary
7.8,0.74,1.32,June,Main
7.53,0.75,1.33,June,Tributary
7.47,0.75,1.29,June,Main
7.26,0.76,1.4,June,Tributary
7.57,0.74,1.31,June,Main
7.62,0.74,1.3,June,Tributary
7.54,0.72,1.31,June,Tributary
7.74,0.74,1.3,June,Main
8.33,0.72,1.32,June,Tributary
7.31,0.77,1.32,June,Main
3.07,1.11,1.57,June,Tributary
2.81,1.28,1.58,June,Main
7.8,0.68,1.27,July,Main
6.59,0.67,1.23,July,Tributary
6.97,0.66,1.32,July,Main
6.65,0.65,1.26,July,Tributary
4.87,0.8,1.27,July,Main
7.13,0.69,1.28,July,Tributary
7.5,0.68,1.31,July,Main
6.92,0.68,1.38,July,Tributary
6.06,0.67,1.29,July,Main
7.88,0.62,1.27,July,Tributary
6.81,0.69,1.29,July,Main
5.62,0.74,1.34,July,Tributary
7.45,0.71,1.36,July,Main
10.61,0.67,1.35,July,Tributary
7.48,0.7,1.32,July,Main
8.88,0.67,1.34,July,Tributary
8.18,0.7,1.32,July,Main
5.96,0.73,1.4,July,Tributary
8.08,0.7,1.33,July,Main
6.68,0.73,1.32,July,Tributary
7.06,0.79,1.35,July,Main
4.83,0.94,1.39,July,Tributary
7.21,0.75,1.38,July,Main
9.07,0.77,1.37,July,Tributary
7.04,0.76,1.35,July,Main
6.74,0.72,1.34,July,Tributary
6.4,0.74,1.32,July,Main
6.5,0.75,1.31,July,Tributary
6.78,0.73,1.34,July,Main
5.8,0.78,1.4,July,Tributary
7.38,0.74,1.3,July,Main
7.8,0.72,1.33,July,Tributary
5.56,0.74,1.34,July,Tributary
7.41,0.75,1.32,July,Main
7.21,0.78,1.37,July,Tributary
7.23,0.74,1.37,July,Main
3.61,1.02,1.55,July,Tributary
3,1.32,1.53,July,Main
5.61,0.68,1.31,July,Main
6.74,0.67,1.23,July,Tributary
4.83,0.65,1.25,July,Main
8.9,0.62,1.23,July,Tributary
7.66,0.64,1.28,July,Main
7.08,0.66,1.28,July,Tributary
6.65,0.66,1.3,July,Main
5.07,0.69,1.3,July,Tributary
5.32,0.71,1.23,July,Main
5.25,0.67,1.2,July,Tributary
6.58,0.67,1.31,July,Main
5.35,0.75,1.34,July,Tributary
5.42,0.72,1.34,July,Main
6.76,0.69,1.31,July,Tributary
4.89,0.7,1.31,July,Main
7.71,0.7,1.31,July,Tributary
6.13,0.72,1.31,July,Main
5.16,0.71,1.24,July,Tributary
4.71,0.71,1.25,July,Main
7.36,0.76,1.33,July,Tributary
5.38,0.7,1.33,July,Main
5.28,0.75,1.37,July,Tributary
7.18,0.72,1.29,July,Main
4.92,0.75,1.29,July,Tributary
6.3,0.72,1.31,July,Main
5.17,0.72,1.31,July,Tributary
5.24,0.7,1.29,July,Main
6.09,0.77,1.36,July,Tributary
5.72,0.69,1.29,July,Main
6.95,0.75,1.34,July,Tributary
5.74,0.71,1.29,July,Main
6.74,0.75,1.31,July,Tributary
6.23,0.8,1.35,July,Tributary
6.71,0.7,1.31,July,Main
6.66,0.7,1.3,July,Main
3.11,1.03,1.52,July,Tributary
