BIX,FI,stream
0.69,1.3,Main
0.7,1.27,Tributary
0.7,1.24,Main
0.62,1.26,Tributary
0.69,1.33,Main
0.7,1.33,Tributary
0.67,1.29,Main
0.71,1.3,Tributary
0.72,1.35,Main
0.73,1.32,Tributary
0.72,1.37,Main
0.82,1.37,Tributary
0.74,1.36,Main
0.75,1.31,Tributary
1.07,1.37,Main
0.82,1.35,Tributary
0.76,1.38,Main
0.79,1.36,Tributary
0.75,1.33,Main
0.78,1.35,Tributary
0.87,1.34,Main
1.36,1.45,Tributary
0.85,1.41,Main
0.77,1.34,Tributary
0.86,1.37,Main
0.79,1.31,Tributary
0.75,1.28,Main
0.79,1.36,Tributary
0.83,1.34,Main
0.82,1.43,Tributary
0.83,1.37,Main
0.69,1.24,Tributary
0.95,1.41,Tributary
0.88,1.4,Main
0.8,1.4,Tributary
0.85,1.4,Main
0.72,1.31,Main
0.69,1.29,Tributary
0.7,1.24,Main
0.67,1.27,Tributary
0.69,1.31,Main
0.68,1.3,Tributary
0.69,1.3,Main
0.7,1.32,Tributary
0.7,1.29,Main
0.74,1.36,Tributary
0.74,1.32,Main
0.7,1.28,Tributary
0.74,1.32,Main
0.73,1.32,Tributary
0.72,1.32,Main
0.72,1.35,Tributary
0.72,1.36,Main
0.74,1.41,Tributary
0.74,1.36,Main
0.76,1.33,Tributary
0.81,1.35,Main
1.23,1.5,Tributary
0.8,1.38,Main
0.73,1.33,Tributary
0.82,1.36,Main
0.79,1.38,Tributary
0.81,1.32,Main
0.77,1.35,Tributary
0.85,1.37,Main
0.76,1.44,Tributary
0.82,1.33,Main
0.73,1.33,Tributary
0.78,1.36,Tributary
0.81,1.33,Main
0.74,1.35,Tributary
0.78,1.35,Main
0.69,1.25,Main
0.68,1.28,Tributary
0.72,1.28,Main
0.67,1.3,Tributary
0.66,1.3,Main
0.66,1.27,Tributary
0.69,1.29,Main
0.71,1.38,Tributary
0.74,1.34,Main
0.72,1.39,Tributary
0.76,1.32,Main
0.76,1.35,Tributary
0.73,1.3,Main
0.69,1.31,Tributary
0.72,1.35,Main
0.73,1.33,Tributary
0.75,1.31,Main
0.76,1.35,Tributary
0.73,1.34,Main
0.73,1.32,Tributary
0.81,1.38,Main
1.25,1.53,Tributary
0.79,1.35,Main
0.78,1.33,Tributary
0.79,1.34,Main
0.75,1.38,Tributary
0.77,1.33,Main
0.71,1.32,Tributary
0.81,1.32,Main
0.78,1.38,Tributary
0.8,1.36,Main
0.75,1.33,Tributary
0.76,1.36,Tributary
0.84,1.32,Main
0.78,1.35,Tributary
0.77,1.37,Main
0.65,1.26,Main
0.7,1.31,Tributary
0.68,1.3,Main
0.67,1.27,Tributary
0.82,1.3,Main
0.65,1.27,Tributary
0.67,1.27,Main
0.73,1.36,Tributary
0.76,1.29,Main
0.71,1.35,Tributary
0.76,1.3,Main
0.74,1.38,Tributary
0.73,1.28,Main
0.67,1.34,Tributary
0.72,1.3,Main
0.7,1.35,Tributary
0.71,1.33,Main
0.76,1.32,Tributary
0.74,1.29,Main
0.72,1.33,Tributary
0.78,1.32,Main
1.12,1.47,Tributary
0.76,1.3,Main
0.81,1.37,Tributary
0.88,1.35,Main
0.72,1.37,Tributary
0.74,1.32,Main
0.75,1.33,Tributary
0.75,1.29,Main
0.76,1.4,Tributary
0.74,1.31,Main
0.74,1.3,Tributary
0.72,1.31,Tributary
0.74,1.3,Main
0.72,1.32,Tributary
0.77,1.32,Main
0.68,1.27,Main
0.67,1.23,Tributary
0.66,1.32,Main
0.65,1.26,Tributary
0.8,1.27,Main
0.69,1.28,Tributary
0.68,1.31,Main
0.68,1.38,Tributary
0.67,1.29,Main
0.62,1.27,Tributary
0.69,1.29,Main
0.74,1.34,Tributary
0.71,1.36,Main
0.67,1.35,Tributary
0.7,1.32,Main
0.67,1.34,Tributary
0.7,1.32,Main
0.73,1.4,Tributary
0.7,1.33,Main
0.73,1.32,Tributary
0.79,1.35,Main
0.94,1.39,Tributary
0.75,1.38,Main
0.77,1.37,Tributary
0.76,1.35,Main
0.72,1.34,Tributary
0.74,1.32,Main
0.75,1.31,Tributary
0.73,1.34,Main
0.78,1.4,Tributary
0.74,1.3,Main
0.72,1.33,Tributary
0.74,1.34,Tributary
0.75,1.32,Main
0.78,1.37,Tributary
0.74,1.37,Main
0.68,1.31,Main
0.67,1.23,Tributary
0.65,1.25,Main
0.62,1.23,Tributary
0.64,1.28,Main
0.66,1.28,Tributary
0.66,1.3,Main
0.69,1.3,Tributary
0.71,1.23,Main
0.67,1.2,Tributary
0.67,1.31,Main
0.75,1.34,Tributary
0.72,1.34,Main
0.69,1.31,Tributary
0.7,1.31,Main
0.7,1.31,Tributary
0.72,1.31,Main
0.71,1.24,Tributary
0.71,1.25,Main
0.76,1.33,Tributary
0.7,1.33,Main
0.75,1.37,Tributary
0.72,1.29,Main
0.75,1.29,Tributary
0.72,1.31,Main
0.72,1.31,Tributary
0.7,1.29,Main
0.77,1.36,Tributary
0.69,1.29,Main
0.75,1.34,Tributary
0.71,1.29,Main
0.75,1.31,Tributary
0.8,1.35,Tributary
0.7,1.31,Main
0.7,1.3,Main
