point,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
a_위천,8.4 ,9.5 ,5.4 ,7.8 ,5.0 ,5.9 ,4.6 ,6.7 ,6.5 ,4.8 ,8.6 ,5.6 ,8.0 ,8.5 ,6.6 
b_감천,5.5 ,9.2 ,9.4 ,10.0 ,8.0 ,5.3 ,4.5 ,2.5 ,3.3 ,4.8 ,9.1 ,7.0 ,6.0 ,5.6 ,5.4 
c_금호강,33.8 ,38.7 ,44.7 ,56.5 ,61.2 ,35.9 ,34.7 ,43.5 ,47.2 ,49.8 ,61.0 ,45.3 ,53.8 ,35.6 ,30.8 
d_회천,7.9 ,9.4 ,9.5 ,11.5 ,12.6 ,7.5 ,4.4 ,7.7 ,7.2 ,6.3 ,7.3 ,6.9 ,9.6 ,10.1 ,6.1 
e_황강,1.9 ,3.6 ,2.6 ,1.9 ,3.4 ,3.4 ,3.6 ,3.4 ,2.3 ,4.3 ,2.8 ,3.2 ,2.7 ,3.5 ,2.7 
f_남강,39.3 ,74.1 ,40.1 ,66.6 ,64.4 ,34.8 ,42.0 ,28.0 ,19.3 ,24.5 ,29.4 ,17.7 ,32.8 ,18.3 ,32.5 
