point,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
a_위천,3.9 ,4.0 ,3.6 ,4.5 ,3.7 ,5.2 ,5.5 ,5.1 ,4.7 ,4.5 ,5.4 ,6.2 ,5.5 ,7.1 ,5.7 
b_감천,2.9 ,3.8 ,3.0 ,3.4 ,3.8 ,4.7 ,4.4 ,4.0 ,3.5 ,3.4 ,4.5 ,5.5 ,5.0 ,5.1 ,4.4 
c_금호강,9.5 ,8.9 ,8.7 ,9.0 ,9.9 ,8.8 ,8.5 ,8.0 ,8.5 ,9.0 ,9.1 ,8.5 ,9.1 ,8.1 ,8.0 
d_회천,3.6 ,3.9 ,3.1 ,4.6 ,5.0 ,4.7 ,4.1 ,3.8 ,3.4 ,3.8 ,4.4 ,4.3 ,4.4 ,5.6 ,4.8 
e_황강,3.1 ,3.3 ,2.8 ,2.8 ,2.5 ,2.9 ,2.8 ,2.9 ,3.2 ,3.3 ,3.1 ,3.5 ,2.6 ,3.1 ,3.1 
f_남강,5.6 ,6.9 ,5.6 ,6.6 ,7.1 ,5.4 ,5.7 ,4.6 ,4.7 ,4.9 ,4.7 ,5.2 ,5.3 ,5.1 ,5.2 
