number,site,month,pH,DO,Temp,EC,BOD,COD,SS,T_N,T_P,TOC,TC,NH3_N,PO4_P,Chl_a,FC,Flow,Rain
1,담양,Jan-15,7.6,15.7,8.2,260,0.9,3,5.4,3.282,0.033,1.5,2550,0.056,0.021,2.5,246,4.897,47.2
2,담양,Feb-15,8,12.9,7.8,227,1.6,3.3,4.1,3.182,0.106,1.9,2558,0.174,0.094,8.7,154,4.571,23.9
3,담양,Mar-15,7.8,12.9,10.5,244,1.1,3.6,5.6,2.579,0.081,1.8,1732,0.112,0.055,10.6,143,2.509,36.5
4,담양,Apr-15,7.6,11.1,14.9,230,2.4,4.3,8.2,2.915,0.096,2.6,14450,0.229,0.054,9.6,370,5.934,145.5
5,담양,May-15,7.6,9.9,19.2,187,2.5,4.6,20.5,2.75,0.096,2.6,96000,0.205,0.06,4.9,870,5.461,48.6
6,담양,Jun-15,7.7,9.6,22.8,224,1.9,4.8,26.8,2.707,0.083,2.7,291500,0.124,0.043,4.3,3230,4.959,96.1
7,담양,Jul-15,7.7,8.7,23.5,194,1.7,4.9,19.4,2.306,0.089,3,112500,0.098,0.054,5.5,8600,9.366,164.3
8,담양,Aug-15,7.8,9,24.3,169,1.7,3.8,21.6,2.262,0.073,2,20500,0.142,0.037,6.1,2175,6.264,148.9
9,담양,Sep-15,7.7,9.6,21.8,215,1.1,3.2,6.9,1.951,0.045,2.1,19500,0.16,0.028,3.5,3500,4.607,66.6
10,담양,Oct-15,7.7,12.1,19.1,286,2.2,4.5,6.6,2.178,0.09,2.6,193000,0.153,0.069,5.8,3425,4.505,90.9
11,담양,Nov-15,7.6,11.3,15.2,257,1.1,3.7,4.4,2.095,0.067,2.1,28010,0.07,0.054,5.2,118,5.923,121.9
12,담양,Dec-15,7.5,11.8,9.6,279,1.1,3,2.9,2.711,0.048,1.8,5225,0.058,0.034,3.1,210,6.722,59.2
13,담양,Jan-16,7.5,13.9,5.5,325,1.3,3.2,8.4,2.753,0.053,1.5,3700,0.092,0.043,7.9,205,3.479,49.9
14,담양,Feb-16,7.6,13.4,5.9,237,1.4,3.4,2.9,2.561,0.043,1.6,4067,0.077,0.027,5.3,58,7.489,45.2
15,담양,Mar-16,7.7,12.6,11.4,209,1.4,3.9,5.2,2.549,0.052,2.1,1333,0.111,0.035,6.9,757,6.155,55.2
16,담양,Apr-16,7.8,12.4,16,209,1.8,4.6,9.5,2.5,0.065,2.4,1373,0.124,0.036,8.9,47,9.168,185
17,담양,May-16,7.5,10.2,19.1,224,1.7,4.9,12,3.099,0.076,2.7,4540,0.179,0.04,8.5,187,7.687,104.5
18,담양,Jun-16,7.4,8.9,21.5,230,1.7,4.5,6.6,2.907,0.072,2.6,6100,0.305,0.041,7,110,7.129,116.1
19,담양,Jul-16,7.7,10.3,26,213,1.3,3.8,6,2.837,0.055,2.3,1607,0.141,0.036,7,247,8.753,301.4
20,담양,Aug-16,7.6,9.1,26.8,191,1.6,4.4,4.3,2.278,0.088,2.7,1476,0.248,0.061,6.2,451,6.257,81
21,담양,Sep-16,7.6,10.8,23.1,208,1.5,4.1,4.1,2.073,0.088,2.5,5750,0.091,0.066,4.1,1795,16.274,251.3
22,담양,Oct-16,7.6,11.1,18.9,184,1.1,4,5.3,1.937,0.076,2.5,18500,0.054,0.053,3.9,3150,14.034,216.7
23,담양,Nov-16,8.1,12,12.8,224,1.3,3.2,8,2.476,0.097,2.1,3900,0.112,0.069,10,1280,3.671,31.5
24,담양,Dec-16,7.9,12.7,7.6,281,1.5,3.5,5.1,2.905,0.156,2,13780,0.187,0.122,8.9,2351,3.439,44.9
25,담양,Jan-17,8,13.4,6.3,359,2.2,3.6,11,4.469,0.285,2.2,956,0.416,0.257,10.6,221,3.23,11.7
26,담양,Feb-17,7.6,12.8,5.8,292,2.8,4.6,8.1,4.373,0.335,2.7,952,0.52,0.303,13.5,126,3.538,41.9
27,담양,Mar-17,8.1,12.9,13,278,2.7,5.1,9.1,3.661,0.319,3.1,1650,0.215,0.21,24.2,45,2.81,7.8
28,담양,Apr-17,7.8,11.8,16.8,259,3.6,7.4,14.9,3.761,0.302,4.5,27400,0.303,0.256,55.7,192,2.707,8.9
