site,yyyymm,MONTH,pH,DO,BOD,COD,SS,T.N,T.P,TOC,Temp,EC,TC,DTN,NH3.N,NO3.N,DTP,PO4.P,Chl.a,FC,Rain
公救1,Jan-15,1,8,18.6,3.4,6.6,15.6,4.894,0.055,2.9,4.8,378,150,4.736,0.877,3.11,0.015,0.005,51.9,18,13.99
公救1,Feb-15,2,8.1,14.5,4.9,8.2,21,4.658,0.063,4,5.1,361,88,4.493,0.957,2.651,0.018,0.007,101.3,6,17.87
公救1,Mar-15,3,8.3,11.8,5.1,8.3,21.1,5.189,0.06,3.8,9.2,373,124,4.913,1.377,2.701,0.029,0.007,67.7,9,89.84
公救1,Apr-15,4,8.3,11,5.3,8.4,13,4.755,0.065,4.8,15.7,334,128,4.593,1.521,2.137,0.032,0.012,57.6,17,70.82
公救1,May-15,5,7.8,8.5,3.9,8.1,10.8,3.741,0.061,4.4,20.7,290,3243,3.521,1.051,1.622,0.041,0.022,23.4,12,25.47
公救1,Jun-15,6,8.3,9.5,3.8,10.4,12.5,2.923,0.044,5.1,24.9,326,290,2.884,0.564,1.282,0.027,0.007,29.3,3,20.96
公救1,Jul-15,7,7.7,6.8,4.2,8.2,16.1,3.259,0.094,5.3,25.1,234,1245,3.097,0.786,1.521,0.06,0.053,22,42,40.39
公救1,Aug-15,8,7.8,6.5,4.3,8,20.6,2.157,0.092,4.1,28.4,232,280,2.083,0.176,1.098,0.059,0.043,34.2,30,109.92
公救1,Sep-15,9,7.7,7.2,3.1,7.6,15,2.087,0.054,3.9,25.3,229,32,2.031,0.091,1.38,0.027,0.019,21.7,13,39.51
公救1,Oct-15,10,7.9,8.5,3.9,8.1,22.2,2.753,0.053,3.8,20.1,245,125,2.642,0.322,1.737,0.029,0.014,35.1,24,30.02
公救1,Nov-15,11,7.6,9.6,4.2,7.8,22.7,3.07,0.064,3.6,14.8,299,128,2.957,0.433,2.217,0.031,0.02,30.2,47,91.45
公救1,Dec-15,12,7.3,11.6,3,6.7,12.8,4.263,0.091,3.5,7.9,353,308,4.198,0.761,3.399,0.068,0.062,17.6,93,78.69
公救1,Jan-16,1,8.7,15.7,4.9,8.1,17.6,3.671,0.041,3.2,5.1,336,9,3.584,0.087,2.931,0.012,0.005,85.6,2,37.9
公救1,Feb-16,2,8.4,14.9,5.2,9.8,29.7,4.546,0.065,3.7,5.1,380,239,4.44,0.527,3.186,0.024,0.014,98.2,75,25.83
公救1,Mar-16,3,8.1,11.6,3.8,8.2,18.1,4.231,0.065,3.5,10.5,297,162,4.098,0.769,2.571,0.024,0.011,59.8,46,34.55
公救1,Apr-16,4,8,10.9,3.7,7,8.1,3.912,0.067,3.9,16.5,261,51,3.752,0.569,2.256,0.037,0.017,20.2,21,163.67
公救1,May-16,5,8,9.7,2.9,7.4,12,2.829,0.069,3.9,20.7,214,50,2.602,0.183,1.876,0.037,0.02,44.9,18,86.18
公救1,Jun-16,6,7.9,8.6,4.6,9.6,18.2,2.945,0.073,4.9,24.9,275,75,2.798,0.481,1.352,0.035,0.017,49.4,37,120.74
公救1,Jul-16,7,8.1,10.9,3.6,8.6,22.8,2.44,0.105,4.1,27.7,215,133,2.162,0.144,1.272,0.073,0.064,39.2,85,176.39
公救1,Aug-16,8,8.4,7.7,3.8,11.1,19.8,1.701,0.098,4.6,30.4,265,154,1.625,0.053,0.725,0.066,0.055,45.6,120,102.56
公救1,Sep-16,9,8.1,9.5,4.2,9.3,16.8,2.334,0.126,4.9,25.9,207,179,2.186,0.139,1.407,0.088,0.067,21.8,131,76.16
公救1,Oct-16,10,7.3,9.6,2.6,6.3,16.3,3.037,0.167,3.8,19.4,172,795,2.909,0.393,1.864,0.127,0.111,11.7,406,81.14
公救1,Nov-16,11,7.9,11.2,2.9,5.6,25,3.406,0.074,3.8,13.3,208,340,3.354,0.215,2.223,0.051,0.033,27.3,108,100.58
公救1,Dec-16,12,8,14.1,3.1,5.9,9.5,4.436,0.063,4,8.2,308,158,4.207,0.297,3.04,0.022,0.004,47.7,27,65.12
公救1,Jan-17,1,7.9,13.8,3.8,6.6,11.7,5.529,0.059,3.8,5.4,411,64,5.027,0.698,3.256,0.034,0.021,33.1,24,73.24
公救1,Feb-17,2,8.4,14.2,4.4,7.9,19,4.777,0.064,4.8,5.2,346,35,4.495,0.223,3.008,0.018,0.001,65.7,7,40.2
公救1,Mar-17,3,7.9,12,4.6,7.2,23.3,6.496,0.086,4.8,9.1,523,104,5.854,1.462,2.77,0.055,0.038,31.3,24,63.93
公救1,Apr-17,4,7.9,11,4.4,8.2,18,5.017,0.072,5.2,15.9,442,89,4.736,1.222,2.252,0.03,0.013,47.1,21,194.64
公救1,May-17,5,8.3,11.1,3,8.5,10.1,3.631,0.061,5.8,23.2,409,138,3.295,0.551,1.578,0.037,0.011,27.8,19,120.89
公救1,Jun-17,6,8.2,10.6,3.8,12.8,13.3,3.371,0.078,6.7,25.9,410,217,3.095,0.579,1.286,0.039,0.01,50,12,131.64
公救1,Jul-17,7,7.6,6.9,3.9,10.2,20.8,3.882,0.149,5.6,28.4,272,193,3.658,1.205,1.283,0.103,0.081,41.3,54,238.92
公救1,Aug-17,8,8,7.9,4.2,9.5,25.1,2.504,0.13,4.6,29.6,163,1460,2.261,0.311,0.968,0.075,0.055,46.8,1090,25.13
公救1,Sep-17,9,7.9,8.2,2,7.2,20.7,2.316,0.117,4.3,24.8,172,1310,2.07,0.253,1.193,0.074,0.066,34.8,1140,202.5
公救1,Oct-17,10,8,10.7,4.1,8.6,22.8,2.655,0.083,4.3,19.8,251,185,2.449,0.394,1.372,0.032,0.017,68.4,105,204.98
公救1,Nov-17,11,7.9,11.4,1.7,6.7,14.7,3.134,0.053,4.2,12.5,314,112,3.001,0.235,1.866,0.025,0.009,36.3,41,66.12
公救1,Dec-17,12,7.8,13.1,2.5,6.8,9.5,4.709,0.056,4.1,5.5,439,93,4.557,0.541,3.186,0.029,0.007,29.4,33,48.23
