site,yyyymm,MONTH,pH,DO,BOD,COD,SS,T.N,T.P,TOC,Temp,EC,TC,DTN,NH3.N,NO3.N,DTP,PO4.P,Chl.a,FC,Rain
堡林2,Jan-15,1,7.5,14.9,2.9,6.7,4.9,8.417,0.088,3.4,7.9,413,74500,7.969,4.182,2.67,0.057,0.048,4.3,16800,12.22
堡林2,Feb-15,2,7.6,11.5,5.3,8.4,9.7,9.795,0.116,4.1,8.9,450,51000,9.6,5.869,2.268,0.08,0.065,12.3,4600,7.79
堡林2,Mar-15,3,7.5,10.4,5.2,9.4,10,10.757,0.103,4.9,11.9,468,32800,10.227,6.915,1.982,0.039,0.012,46.4,1920,99.32
堡林2,Apr-15,4,7.5,9.3,6.9,11.1,16.5,8.068,0.164,5.1,17.1,393,242000,7.481,4.006,1.856,0.075,0.053,43.6,16300,64.8
堡林2,May-15,5,7.6,9.2,5.6,10.5,14.5,6.933,0.081,4.7,22.1,378,28530,6.719,3.373,1.9,0.034,0.015,32.9,5300,5.98
堡林2,Jun-15,6,7.7,9.1,6,10.1,18.4,5.847,0.085,5.6,24.4,329,51500,5.704,2.969,1.596,0.057,0.02,26.1,5250,7.32
堡林2,Jul-15,7,7.7,7.5,6.1,9,13.3,3.482,0.142,4.8,25.7,240,190000,3.339,1.219,1.484,0.094,0.079,16.4,28750,37.24
堡林2,Aug-15,8,7.6,7.5,5.6,9.5,9.6,4.637,0.162,4.2,27.2,285,224500,4.499,2.118,1.648,0.111,0.096,27,38250,58.51
堡林2,Sep-15,9,7.7,8.5,2.5,7,4.7,4.47,0.081,3.8,24.6,304,25000,4.397,1.372,2.419,0.052,0.048,15.4,10250,13.06
堡林2,Oct-15,10,7.5,9.7,4.9,8.6,13.5,6.371,0.119,5.1,20.7,345,189250,6.217,1.86,3.528,0.089,0.071,15.3,44400,38.84
堡林2,Nov-15,11,7.5,9.4,3.7,8,6.8,5.647,0.1,4,16.2,380,43450,5.446,1.743,3.485,0.064,0.057,15.6,7575,93.1
堡林2,Dec-15,12,7.2,10.5,1.7,5.6,4.4,6.283,0.071,3.1,11.8,416,18000,6.201,1.505,4.89,0.049,0.044,3.1,2465,49.99
堡林2,Jan-16,1,7.4,13.1,2.9,6.2,4.2,7.986,0.078,3.3,7.5,481,6550,7.79,2.403,4.819,0.049,0.042,8.3,2000,47.5
堡林2,Feb-16,2,7.5,12.4,2.7,7.1,6.2,7.365,0.114,3.5,7.4,410,31500,7.304,3.088,3.123,0.078,0.064,7.8,12900,22.29
堡林2,Mar-16,3,7.2,10.5,4.5,8.7,17.4,8.296,0.197,4.6,12.5,408,53440,8.097,3.339,3.412,0.112,0.096,19.9,68420,36.39
堡林2,Apr-16,4,7.9,9.4,6.8,10.1,17.1,6.496,0.195,4.5,18.5,281,54750,6.187,2.19,2.649,0.11,0.09,35.3,10125,141.03
堡林2,May-16,5,7.5,9.1,4.2,8,7.9,4.834,0.147,4,21.3,299,22750,4.583,1.77,1.798,0.088,0.07,22.3,2310,46.8
堡林2,Jun-16,6,7.4,7.5,5.9,8.8,8.2,6.267,0.156,5,24.5,326,24840,5.932,2.91,1.807,0.105,0.088,14.3,5060,101.66
堡林2,Jul-16,7,7.6,9,4.2,7.2,10.6,4.403,0.153,3.8,27.1,265,13900,4.187,1.588,1.633,0.109,0.106,20.2,8300,167.04
堡林2,Aug-16,8,7.8,8.3,5.3,9.1,11.4,5.729,0.137,4.7,28.4,348,26240,5.426,2.185,2.074,0.085,0.072,60.7,13280,139.77
堡林2,Sep-16,9,7.5,8.5,3,7.2,7.3,4.198,0.121,3.9,24.9,304,31500,4.088,1.672,1.877,0.089,0.078,10.9,7150,59.78
堡林2,Oct-16,10,7.1,10,2.7,5.4,5.5,4.29,0.198,3.6,19.7,268,81250,4.169,1.158,2.279,0.154,0.139,2.1,38100,95.25
堡林2,Nov-16,11,7.5,10.9,4,6.1,5.4,7.694,0.082,4.1,14.6,336,28400,7.36,2.517,3.243,0.056,0.028,20.8,12080,120.23
堡林2,Dec-16,12,7.7,12.4,4.5,6.9,7.6,8.209,0.132,4.3,11.2,469,72250,7.683,2.823,3.189,0.05,0.029,29.5,15900,61.39
堡林2,Jan-17,1,7.6,12.4,4,7.1,5.1,9.673,0.14,4,8.1,468,40200,9.112,4.036,3.298,0.084,0.068,10.8,6250,51.16
堡林2,Feb-17,2,7.5,11.9,4.5,7.8,7.9,11.091,0.164,5.2,9,443,109800,10.433,6.001,2.5,0.079,0.06,18,23280,43.52
堡林2,Mar-17,3,7.6,11.5,6.9,10.9,14.4,9.863,0.197,6.3,12.6,458,30750,9.535,6.093,1.845,0.078,0.032,71.4,4595,58.43
