site,yyyymm,MONTH,pH,DO,BOD,COD,SS,T.N,T.P,TOC,Temp,EC,TC,DTN,NH3.N,NO3.N,DTP,PO4.P,Chl.a,FC,Rain
快摹,Jan-15,1,7.2,13.9,1.6,3.8,4.6,2.619,0.044,3,4.3,279,1260,2.557,0.151,2.083,0.026,0.019,4.9,139,12.22
快摹,Feb-15,2,7.1,12.7,2,3.6,4.6,2.589,0.051,3,4.8,315,2605,2.564,0.145,2.112,0.03,0.02,6.5,785,7.79
快摹,Mar-15,3,7.6,12.2,4.4,7.8,12.2,2.085,0.075,5.8,8.3,376,799,1.906,0.077,1.416,0.025,0.009,47,158,99.32
快摹,Apr-15,4,7.6,10,4.3,7.5,20.2,1.819,0.119,4.9,15.4,285,7938,1.557,0.158,0.982,0.034,0.02,54.3,410,64.8
快摹,May-15,5,7.2,7.8,3.4,7,12.1,1.724,0.119,5.5,19.7,255,1170,1.658,0.306,0.743,0.061,0.046,22.6,163,5.98
快摹,Jun-15,6,7,7.8,3.6,9.1,13,2.624,0.134,6.8,23.3,268,2422,2.498,0.323,1.222,0.083,0.067,10,532,7.32
快摹,Jul-15,7,7.2,7.7,2,6.4,8,2.241,0.125,5,26,237,3755,1.752,0.074,1.018,0.063,0.04,17.6,530,37.24
快摹,Aug-15,8,7,7.7,2,5.4,7.6,1.403,0.11,4.3,26.2,231,4500,1.344,0.063,0.574,0.068,0.045,7.9,611,58.51
快摹,Sep-15,9,7.2,8.4,1.3,5.1,4.2,1.276,0.086,4.3,21.8,290,2410,1.191,0.062,0.635,0.054,0.034,4.9,396,13.06
快摹,Oct-15,10,7.1,9,1.7,5.7,5.7,1.596,0.09,5.8,18.2,298,8925,1.508,0.126,0.888,0.065,0.046,5.4,1448,38.84
快摹,Nov-15,11,7,9.7,2.3,6.2,5.2,2.306,0.113,5.1,13.5,294,10200,2.2,0.304,0.983,0.081,0.064,10.1,1354,93.1
快摹,Dec-15,12,7,12.3,1.5,4.2,2.3,2.745,0.066,2,7.3,301,6880,2.726,0.183,1.9,0.047,0.029,3.1,252,49.99
快摹,Jan-16,1,7.5,12.3,1.5,3.5,4.1,3.025,0.059,3.8,4.7,317,2500,2.931,0.236,2.447,0.037,0.018,5.1,120,47.5
快摹,Feb-16,2,7.1,13.5,2.1,4.5,8.6,2.744,0.073,4.3,4.7,271,8075,2.687,0.248,1.956,0.046,0.031,6.7,468,22.29
快摹,Mar-16,3,7.2,12,2.7,5.6,15.1,2.506,0.096,4.8,9,287,6940,2.371,0.181,1.916,0.049,0.024,14.9,328,36.39
快摹,Apr-16,4,7.3,10.1,3,6.6,16.9,1.907,0.108,5.1,16,255,3475,1.809,0.14,1.332,0.049,0.022,31.6,745,141.03
快摹,May-16,5,7.1,11.2,1.9,5.6,11.3,1.773,0.092,4.6,19.8,264,4475,1.696,0.121,1.084,0.06,0.039,13.1,375,46.8
快摹,Jun-16,6,6.9,6.9,2.6,8,12.6,2.377,0.119,7,23.5,243,4700,2.283,0.249,1.156,0.079,0.063,7.7,296,101.66
