site,yyyymm,MONTH,pH,DO,BOD,COD,SS,T.N,T.P,TOC,Temp,EC,TC,DTN,NH3.N,NO3.N,DTP,PO4.P,Chl.a,FC,Rain
堡林2-1,Jan-18,1,7.3,12.3,4.5,10.5,14.7,10.623,0.113,5.7,8.5,489,101000,10.071,5.629,2.585,0.045,0.016,66.1,22200,11.7
堡林2-1,Feb-18,2,7.6,12.4,4.1,11.2,11.3,13.092,0.161,6,8.5,465,123500,12.628,9.924,1.76,0.084,0.057,41,54800,41.9
堡林2-1,Mar-18,3,7,9.5,7,11.5,26.9,8.196,0.257,6.1,13.3,329,265250,7.764,5.222,1.448,0.121,0.107,41.1,52210,7.8
堡林2-1,Apr-18,4,7.3,10.3,7.1,10.7,41.7,7.347,0.162,4.8,16.4,336,184000,7.112,4.216,1.451,0.077,0.051,47.5,54200,8.9
堡林2-1,May-18,5,7.4,11.6,6.2,9.2,33.8,5.893,0.132,4.8,21.4,334,107000,5.383,3.525,1.125,0.062,0.043,61.8,39025,28.1
堡林2-1,Jun-18,6,7.3,11.5,4.5,10,26.2,7.381,0.153,5.7,25.7,342,17700,7.129,4.754,0.989,0.074,0.053,52.7,4300,42.1
堡林2-1,Jul-18,7,7.1,9,5.6,9.3,24.9,7.084,0.172,5.2,26.5,320,53250,6.919,4.855,0.977,0.106,0.091,41.7,26506,211.7
堡林2-1,Aug-18,8,7.6,9.9,5.6,10.2,23.1,7.556,0.181,5.2,29.1,351,102000,7.201,5.148,1.004,0.133,0.094,59.4,54650,273.8
堡林2-1,Sep-18,9,7.2,8.6,2.1,5.9,13.1,3.956,0.148,3.4,24.8,253,24667,3.868,1.887,1.241,0.101,0.08,41.4,16133,108.8
堡林2-1,Oct-18,10,7.3,11.3,4.7,7.3,10.3,7.284,0.176,4.3,18.6,397,28586,7.207,3.738,1.873,0.123,0.097,36.2,12540,85.4
堡林2-1,Nov-18,11,7.5,10.4,7.1,8,11.4,8.897,0.233,5.6,14.1,433,62600,8.431,5.302,1.598,0.143,0.093,59.2,24463,2.1
堡林2-1,Dec-18,12,7.3,8.2,5.5,7.5,9.9,10.973,0.122,4.8,9.5,485,141350,10.121,5.465,2.56,0.058,0.03,45,21413,28.5
堡林2-1,Jan-19,1,7.3,12.7,5.5,7.2,9,9.617,0.102,5.3,8.5,496,5875,9.385,5.488,2.556,0.046,0.016,59.1,825,38.8
堡林2-1,Feb-19,2,7,11.8,6.3,10.1,15.1,11.121,0.127,5.2,8.8,473,13800,10.602,7.307,1.87,0.045,0.009,81.4,1507,22
堡林2-1,Mar-19,3,7.4,10,7.6,12,16.6,12.329,0.345,6.6,12.8,398,200550,10.789,7.752,1.453,0.194,0.164,60,35595,115.8
堡林2-1,Apr-19,4,7.3,9.1,7,11.5,15.1,11.365,0.301,6.1,15.4,434,185920,10.666,7.563,1.439,0.192,0.132,16.7,66676,127.4
堡林2-1,May-19,5,7.4,8.9,6.3,10.3,11.9,8.55,0.208,5.8,19.7,387,53350,8.113,5.852,1.049,0.137,0.115,12.6,19285,85.4
堡林2-1,Jun-19,6,7.5,8.4,7,11.7,11.7,9.042,0.243,6.4,23.6,377,62650,8.266,5.68,0.662,0.159,0.112,22.6,29350,222.4
堡林2-1,Jul-19,7,7.1,7,5.8,9.7,16.6,6.302,0.175,5.1,25.1,264,154600,5.895,3.53,0.976,0.13,0.111,17.6,40450,84.5
堡林2-1,Aug-19,8,7.2,7.4,5.3,8.7,13.7,6.871,0.137,5.5,27.4,321,82190,6.629,3.824,1.059,0.091,0.066,32.6,58160,397.1
堡林2-1,Sep-19,9,7.2,7.8,4.3,7.6,8.4,6.367,0.179,4.3,23.9,294,202500,6.274,3.518,1.276,0.138,0.106,14,98150,129.7
堡林2-1,Oct-19,10,7.3,10.7,2.8,6.7,7.2,6.96,0.072,3.9,19.2,318,18350,6.453,2.819,2.6,0.048,0.027,20.4,4000,125.2
堡林2-1,Nov-19,11,7.3,10.3,6.4,10.2,16.3,9.148,0.146,5,15,423,31300,8.142,4.589,2.161,0.097,0.083,31,12375,47.2
堡林2-1,Dec-19,12,7.3,12.7,7.6,11,18.6,9.071,0.321,5,10.3,452,200900,7.789,4.343,2.857,0.218,0.197,86.5,101915,32.4
