site,yyyymm,MONTH,pH,DO,BOD,COD,SS,T.N,T.P,TOC,Temp,EC,TC,DTN,NH3.N,NO3.N,DTP,PO4.P,Chl.a,FC,Rain
영산포,Mar-18,3,7.6,13.1,5.4,10.4,24.8,6.634,0.15,5.2,13.1,320,5850,6.483,3.393,2.069,0.072,0.044,60.9,1004,6.95
영산포,Apr-18,4,7.7,11.4,5.1,8.9,28.1,5.022,0.121,4.5,17.4,290,22550,4.76,1.958,1.719,0.054,0.032,52.1,4505,8.35
영산포,May-18,5,7.6,13.4,5.2,9.1,20.1,3.941,0.127,5.3,21.7,270,6450,3.718,1.492,1.286,0.063,0.039,97.8,1005,31.2
영산포,Jun-18,6,7.7,12.4,5.7,11.9,21,4.233,0.153,5,26.7,288,1259,3.935,1.245,1.28,0.071,0.042,68.5,38,91.8
영산포,Jul-18,7,7.8,10.2,6.4,11.6,38.7,3.507,0.231,5.7,28.5,237,5804,3.236,0.677,1.352,0.092,0.071,134.5,1958,181.31
영산포,Aug-18,8,7.6,7.6,3.3,10.6,30.9,3.16,0.191,5.1,29.2,238,3915,3.069,1.167,1.043,0.138,0.106,63.7,2243,269.74
영산포,Sep-18,9,7.5,9.9,3,8.1,13.9,2.85,0.157,3.5,25.1,186,5867,2.62,0.412,1.476,0.084,0.062,88.1,3767,114.74
영산포,Oct-18,10,7.9,13.8,3.7,7.2,18.8,3.803,0.103,4.5,18.6,296,5700,3.639,0.413,2.232,0.052,0.051,98.4,3020,66.5
영산포,Nov-18,11,7.8,12.7,3.6,7,15.8,3.104,0.097,4.3,14.5,319,2963,2.968,0.726,1.62,0.048,0.019,56.1,571,1.95
영산포,Dec-18,12,7.7,9.1,4,6.9,18,4.143,0.089,3.9,8.3,342,5450,3.659,0.972,1.932,0.038,0.01,78.9,524,28.24
영산포,Jan-19,1,7.6,14.3,4.9,8.1,18.2,6.652,0.102,4.7,6.6,439,198,6.468,1.972,3.596,0.04,0.015,63.6,39,39.56
영산포,Feb-19,2,7.9,13.4,5.9,11.1,20.9,6.452,0.141,6.1,6.6,374,1400,5.73,1.705,2.545,0.038,0.005,157.7,108,23.82
영산포,Mar-19,3,7.9,14,6.1,9.5,34.7,6.849,0.135,5.6,11,339,1225,6.286,2.693,2.302,0.041,0.014,93.2,236,121.73
영산포,Apr-19,4,8,12.2,4.9,9.7,9.8,5.548,0.117,5.3,15.7,345,378,5.23,1.977,1.802,0.062,0.021,36.9,57,125.89
영산포,May-19,5,8.2,10.3,5.8,10.6,11.1,4.361,0.142,5.6,21.4,316,272,4.035,1.961,1.097,0.085,0.057,24.3,290,84.73
영산포,Jun-19,6,8.6,12.1,5.2,13.2,15,3.695,0.122,6.7,25.5,233,197,3.375,1.014,1.09,0.063,0.029,40.7,32,218.99
영산포,Jul-19,7,7.7,9.2,4.7,11.5,21,3.051,0.226,7.1,25.7,190,5566,2.612,0.541,1.171,0.119,0.091,27.4,2098,84.34
영산포,Aug-19,8,8.1,9.7,4.6,9.7,19.3,3.027,0.15,6.4,29.3,198,344,2.913,0.53,1.233,0.103,0.075,27.9,133,368.08
영산포,Sep-19,9,7.7,10.6,3.2,8.1,13.6,2.776,0.152,4,24.4,188,1469,2.638,0.363,1.537,0.106,0.076,49.2,797,134.11
영산포,Oct-19,10,7.9,13.1,1.7,6.3,9.2,3.313,0.063,3.3,19.2,228,1688,3.175,0.39,2.351,0.041,0.027,24.4,870,141.61
영산포,Nov-19,11,8,12.9,3.5,8.5,11.5,5.21,0.068,4.1,14.9,365,788,4.717,1.118,2.881,0.029,0.011,36.9,445,44.62
영산포,Dec-19,12,7.5,13.5,2.8,7.1,7.3,6.414,0.102,4.1,7.8,433,3990,6.092,2.181,3.199,0.073,0.051,21.3,1870,33.4
