site,yyyymm,MONTH,pH,DO,BOD,COD,SS,T.N,T.P,TOC,Temp,EC,TC,DTN,NH3.N,NO3.N,DTP,PO4.P,Chl.a,FC,Rain
영산포-1,18-Feb,2,8.5,14.9,5.7,10.4,13.6,7.818,0.12,8.2,4.4,483,25,7.309,4.195,2.524,0.046,0.02,68.2,1,38.36
영산포-1,18-Mar,3,7.6,9.1,4,7.9,8.6,7.502,0.118,6.6,10.3,415,800,7.154,4.24,2.128,0.059,0.019,24.3,100,6.07
영산포-1,18-Apr,4,7.6,9,4.4,8.2,19.2,4.374,0.1,6.1,15.4,274,130,4.153,1.529,2.107,0.039,0.021,56.5,10,7.91
영산포-1,18-May,5,7.7,7.5,4.9,8.9,15.7,4.07,0.097,6.9,21.1,301,900,3.964,1.658,1.479,0.043,0.024,61.8,110,22.65
영산포-1,18-Jun,6,7.8,5,4.6,12.2,14.4,3.717,0.097,9.1,25.7,338,300,3.555,1.135,1.37,0.055,0.032,44.2,2,37.09
영산포-1,18-Jul,7,8,5.9,4.9,9.4,19,3.009,0.116,6.7,27.5,233,4000,2.907,0.459,1.796,0.076,0.043,41.3,1900,184.63
영산포-1,18-Aug,8,7.9,6.1,4.5,12.4,16.4,2.745,0.154,8.9,30.5,304,400,2.631,0.804,1.176,0.114,0.07,48.2,5,246.91
영산포-1,18-Sep,9,7.3,7.5,4.2,7.4,18.7,2.585,0.095,5.8,24.3,194,1900,2.539,0.251,1.525,0.07,0.049,35.8,200,109.02
영산포-1,18-Oct,10,8,9.9,3.7,7.6,16.7,2.898,0.128,6.9,18.4,253,130,2.778,0.219,2.122,0.044,0.03,54.6,10,77.04
영산포-1,18-Nov,11,8.2,12.3,5.1,9.7,18,4.147,0.136,8.1,12.5,351,840,3.99,0.95,2.465,0.04,0.033,112.2,160,1.84
영산포-1,18-Dec,12,8.8,14.8,5.1,10.6,23.1,4.971,0.159,9.1,7.2,404,2000,4.633,1.212,2.857,0.043,0.032,111.1,340,34.69
영산포-1,19-Jan,1,8.5,16.3,5.2,10.9,20.9,7.118,0.13,9.6,5,455,140,6.948,1.624,4.116,0.046,0.021,117.5,20,45.87
영산포-1,19-Feb,2,8.9,16.6,6.2,13.4,18.6,6.277,0.157,10.4,5.4,407,300,6.078,2.434,2.854,0.05,0.014,136.5,10,28.37
영산포-1,19-Mar,3,8.2,9.3,5.3,10.6,15.5,6.171,0.127,8.2,10.9,410,500,6.143,2.785,2.524,0.075,0.024,58.1,2,129.39
영산포-1,19-Apr,4,8.7,10.1,4.4,9.3,17.9,4.295,0.16,8.3,14.4,327,40,4.06,1.758,1.824,0.079,0.022,66.4,3,142.72
영산포-1,19-May,5,7.4,6,3.7,8.5,13.9,4.093,0.151,6.5,19.7,330,2,4,2.031,1.515,0.076,0.05,31.2,1,86.84
영산포-1,19-Jun,6,8.2,7.8,4.6,11.1,20.7,2.939,0.112,8.8,24.2,268,65,2.778,0.995,1.607,0.044,0.018,51.7,12,200.15
영산포-1,19-Jul,7,7.9,9.5,3.7,8.9,16.8,2.494,0.116,8.1,26,181,3400,2.354,0.38,1.354,0.061,0.05,30.8,1200,78.28
영산포-1,19-Aug,8,7.8,7.5,3.4,8.5,15.7,2.069,0.113,8.1,28.8,205,540,1.942,0.499,1.234,0.068,0.061,45.8,2,341.52
영산포-1,19-Sep,9,7.6,7.8,3.2,7.1,11.4,2.399,0.12,5,23.8,175,160,2.251,0.176,1.629,0.088,0.082,23.3,47,137.69
영산포-1,19-Oct,10,7.8,9.6,2.6,5.2,11.9,3.255,0.075,4,19.7,249,1800,3.106,0.206,2.276,0.042,0.023,28.8,510,130.06
영산포-1,19-Nov,11,8.2,10.7,4.7,7.9,16.5,4.056,0.051,7.1,14.4,354,290,3.891,0.362,2.907,0.031,0.017,49.3,18,48.64
영산포-1,19-Dec,12,7.8,10.9,3.6,7.3,5.7,5.492,0.091,5.8,8.7,414,3700,5.378,1.965,3.004,0.08,0.058,21.1,280,34.57
