site,yyyymm,MONTH,pH,DO,BOD,COD,SS,T.N,T.P,TOC,Temp,EC,TC,DTN,NH3.N,NO3.N,DTP,PO4.P,Chl.a,FC,Rain
唱林,Mar-18,3,7.4,12,5.9,10.7,25.5,5.919,0.193,7.7,11.2,342,8200,5.709,2.933,1.896,0.087,0.05,59.4,1060,7.8
唱林,Apr-18,4,7.1,11.5,4.8,8.3,19,5.105,0.128,6.3,17.3,346,7992,4.877,2.179,1.876,0.043,0.03,71.6,1324,8.9
唱林,May-18,5,7,8.7,4.8,9.9,19.6,3.761,0.147,6.6,20.6,277,32175,3.627,1.383,1.464,0.066,0.037,78.2,5750,28.1
唱林,Jun-18,6,8,10.9,8.1,15.3,16.8,4.245,0.125,10,26.6,357,311,3.871,1.3,1.556,0.046,0.024,124.8,162,42.1
唱林,Jul-18,7,7.7,8.8,7.3,12.4,16,4.454,0.156,8.2,29.9,341,2553,4.182,1.672,1.241,0.081,0.056,94.2,900,211.7
唱林,Aug-18,8,7.9,10.7,6.4,13.2,33.8,3.563,0.181,8.9,29.2,283,17527,3.432,1.264,1.175,0.103,0.063,61.4,4203,273.8
唱林,Sep-18,9,7.6,10.2,4.2,8,10.8,3.203,0.106,5.5,23.9,249,9400,3.189,0.576,1.239,0.064,0.052,56.1,5490,108.8
唱林,Oct-18,10,7.8,10,4,7.4,9.9,3.558,0.145,6.3,18.4,286,21240,3.484,0.755,2.363,0.068,0.056,50.9,5044,85.4
唱林,Nov-18,11,7.7,13,5.6,8.3,14.6,4.909,0.166,7.2,12.5,343,23775,4.746,1.756,2.389,0.051,0.04,56.3,4638,2.1
唱林,Dec-18,12,7.7,12.5,4.4,8.7,21.3,5.626,0.135,7.2,7,420,9150,5.369,1.513,3.289,0.05,0.04,65.6,1088,28.5
唱林,Jan-19,1,8,14.6,4.2,9.2,14.2,7.469,0.126,7.4,5,433,380,7.284,2.345,4.093,0.047,0.021,61.7,75,38.8
唱林,Feb-19,2,8.5,13.7,6.4,13.6,21.8,6.43,0.174,10.1,6.9,398,5130,6.007,2.569,2.918,0.055,0.033,106.7,259,22
