site,yyyymm,MONTH,pH,DO,BOD,COD,SS,T.N,T.P,TOC,Temp,EC,TC,DTN,NH3.N,NO3.N,DTP,PO4.P,Chl.a,FC,Rain
담양,Mar-18,3,7.5,12.9,2.1,6.1,10.7,3.182,0.139,3.7,12.4,186,5055,3.158,0.107,2.393,0.115,0.105,27,458,7.99
담양,Apr-18,4,7.6,11.9,1.9,5.4,15.8,3.055,0.134,3,16.5,217,17825,2.978,0.149,2.133,0.108,0.097,20.9,6523,9.05
담양,May-18,5,7.6,11.4,1.2,4.6,9.6,3.278,0.097,3,21.3,202,27050,3.164,0.183,2.254,0.081,0.073,11.3,655,37.53
담양,Jun-18,6,7.3,10.4,0.8,4,5.8,2.146,0.075,2.8,22.4,187,5075,2.113,0.113,1.4,0.063,0.057,10.7,101,38.62
담양,Jul-18,7,7.1,10.7,0.9,4.9,12.8,2.424,0.121,3,24.7,177,12073,2.36,0.137,1.632,0.1,0.095,11.7,1103,217.9
담양,Aug-18,8,7,8.1,0.6,4,3.6,1.473,0.08,2.3,26.1,182,6150,1.439,0.087,0.968,0.065,0.058,8.8,1558,261.09
담양,Sep-18,9,7.1,8.7,0.6,3.5,3.1,2.861,0.084,1.9,22.9,199,5767,2.782,0.118,2.238,0.069,0.061,8.2,2467,109.23
담양,Oct-18,10,7.6,11.3,1,3.6,3.2,2.319,0.125,2.2,17.6,240,25800,2.2,0.089,1.535,0.112,0.105,8.7,7100,79.99
담양,Nov-18,11,7.6,14,1.3,3.7,2.2,2.584,0.124,2.3,12.3,257,12225,2.469,0.098,1.795,0.102,0.091,6.7,3753,3.01
담양,Dec-18,12,7.5,9.5,1.4,4,3.1,2.711,0.156,2.3,8.7,282,47175,2.626,0.152,1.845,0.131,0.121,11.1,326,30.54
담양,Jan-19,1,7.8,13.9,2.3,4.8,4.3,2.709,0.226,2.8,6.1,318,33410,2.646,0.109,1.948,0.192,0.185,14.4,98,39.2
담양,Feb-19,2,7.3,12.5,2.3,6.2,7.1,2.626,0.19,2.6,8.5,284,4610,2.54,0.123,1.751,0.161,0.139,16.7,143,24.71
담양,Mar-19,3,7.5,11.6,3.2,6.2,7,4.057,0.403,3.3,12.1,265,204175,3.827,0.221,2.611,0.347,0.327,29,523,113.55
담양,Apr-19,4,7.9,11.7,1.4,4.6,7.1,1.682,0.102,2.4,12.7,139,188446,1.601,0.179,0.967,0.08,0.068,8.9,842,126.33
담양,May-19,5,7.8,12.2,2.6,6.9,9.7,2.665,0.196,4,18.2,196,212375,2.522,0.328,1.548,0.149,0.143,8.6,13550,85.52
담양,Jun-19,6,7.4,9.5,0.9,4.9,6.3,2.105,0.096,2.8,19.8,169,16525,2.047,0.184,1.286,0.079,0.067,3.4,1435,212.38
담양,Jul-19,7,7.3,10.1,1.1,4.9,5.1,2.526,0.111,3,22.1,214,219450,2.396,0.315,1.501,0.102,0.09,5.5,24515,93.1
담양,Aug-19,8,7.3,9.1,1.1,4.2,3.9,3.003,0.123,3.2,25.6,223,150500,2.842,0.224,1.933,0.111,0.097,8,37710,382.73
담양,Sep-19,9,7.5,9.3,0.9,4.5,3.4,1.939,0.133,2.6,22.7,205,28075,1.832,0.131,1.379,0.122,0.101,4.2,4071,125.67
담양,Oct-19,10,7.4,12.5,0.8,3.7,2.8,2.511,0.083,2.1,17.9,222,255000,2.342,0.097,2.124,0.065,0.064,3.1,31455,128.67
담양,Nov-19,11,7.5,11.9,2.3,6.9,12.2,1.741,0.102,3.3,12.9,304,492500,1.607,0.174,1.061,0.077,0.063,9.1,158550,46.06
담양,Dec-19,12,7.9,15.3,1.9,4.5,5.9,2.107,0.08,3.3,8.6,281,160075,1.9,0.053,1.443,0.059,0.045,13.6,966,32.72
우치,Jan-15,1,7.2,13.9,1.6,3.8,4.6,2.619,0.044,3,4.3,279,1260,2.557,0.151,2.083,0.026,0.019,4.9,139,12.22
우치,Feb-15,2,7.1,12.7,2,3.6,4.6,2.589,0.051,3,4.8,315,2605,2.564,0.145,2.112,0.03,0.02,6.5,785,7.79
우치,Mar-15,3,7.6,12.2,4.4,7.8,12.2,2.085,0.075,5.8,8.3,376,799,1.906,0.077,1.416,0.025,0.009,47,158,99.32
우치,Apr-15,4,7.6,10,4.3,7.5,20.2,1.819,0.119,4.9,15.4,285,7938,1.557,0.158,0.982,0.034,0.02,54.3,410,64.8
우치,May-15,5,7.2,7.8,3.4,7,12.1,1.724,0.119,5.5,19.7,255,1170,1.658,0.306,0.743,0.061,0.046,22.6,163,5.98
우치,Jun-15,6,7,7.8,3.6,9.1,13,2.624,0.134,6.8,23.3,268,2422,2.498,0.323,1.222,0.083,0.067,10,532,7.32
우치,Jul-15,7,7.2,7.7,2,6.4,8,2.241,0.125,5,26,237,3755,1.752,0.074,1.018,0.063,0.04,17.6,530,37.24
우치,Aug-15,8,7,7.7,2,5.4,7.6,1.403,0.11,4.3,26.2,231,4500,1.344,0.063,0.574,0.068,0.045,7.9,611,58.51
우치,Sep-15,9,7.2,8.4,1.3,5.1,4.2,1.276,0.086,4.3,21.8,290,2410,1.191,0.062,0.635,0.054,0.034,4.9,396,13.06
우치,Oct-15,10,7.1,9,1.7,5.7,5.7,1.596,0.09,5.8,18.2,298,8925,1.508,0.126,0.888,0.065,0.046,5.4,1448,38.84
