p H,DO,EC,WT,BOD,COD,TOC,Chla,SS,TN, T P,NH3N,PO4P,Flow,logTC,logFC
7.8 ,13.6 ,322 ,3.0 ,3.1 ,4.8 ,3.5 ,17.2 ,15.3 ,2.821 ,0.110 ,0.153 ,0.066 ,2.022 ,2.6021 ,1.4624 
7.9 ,12.5 ,364 ,7.0 ,3.5 ,6.7 ,5.7 ,17.3 ,13.3 ,2.711 ,0.089 ,0.160 ,0.063 ,1.935 ,2.1553 ,1.7853 
6.8 ,12.2 ,259 ,6.0 ,3.2 ,8.3 ,5.5 ,9.5 ,58.0 ,3.220 ,0.141 ,0.422 ,0.058 ,10.614 ,3.7482 ,2.6021 
7.6 ,12.7 ,338 ,6.0 ,2.9 ,5.0 ,3.9 ,5.1 ,10.8 ,2.925 ,0.088 ,0.178 ,0.037 ,2.817 ,2.5051 ,2.0170 
8.2 ,12.4 ,336 ,7.0 ,3.3 ,6.9 ,5.3 ,21.3 ,17.1 ,2.528 ,0.084 ,0.082 ,0.025 ,2.143 ,2.7559 ,1.5798 
8.1 ,12.4 ,385 ,10.0 ,3.7 ,7.2 ,5.8 ,19.8 ,17.8 ,2.409 ,0.095 ,0.112 ,0.031 ,1.439 ,2.2553 ,1.4314 
8.4 ,11.8 ,368 ,11.0 ,4.6 ,9.1 ,7.8 ,26.8 ,29.1 ,1.798 ,0.107 ,0.069 ,0.011 ,1.063 ,1.9031 ,1.2041 
7.6 ,10.3 ,300 ,14.0 ,6.1 ,8.8 ,7.1 ,65.4 ,58.1 ,2.762 ,0.126 ,0.249 ,0.029 ,6.225 ,3.3010 ,2.3010 
7.7 ,10.0 ,455 ,13.0 ,5.1 ,8.8 ,6.0 ,41.8 ,23.6 ,1.708 ,0.110 ,0.074 ,0.009 ,1.721 ,2.3010 ,1.3010 
8.1 ,10.2 ,325 ,15.0 ,7.4 ,8.7 ,7.3 ,39.4 ,18.6 ,1.588 ,0.119 ,0.125 ,0.020 ,1.280 ,2.5051 ,1.7482 
7.8 ,10.4 ,308 ,15.0 ,7.2 ,8.6 ,7.5 ,48.5 ,19.9 ,1.779 ,0.103 ,0.047 ,0.012 ,3.412 ,2.6628 ,1.6990 
8.2 ,9.7 ,261 ,19.0 ,7.0 ,9.9 ,7.5 ,97.1 ,41.7 ,2.263 ,0.186 ,0.154 ,0.012 ,5.975 ,2.8573 ,1.9138 
7.9 ,10.3 ,170 ,15.0 ,3.1 ,5.6 ,3.8 ,5.9 ,25.4 ,2.702 ,0.118 ,0.162 ,0.032 ,37.665 ,3.9345 ,3.3096 
8.1 ,11.7 ,188 ,22.0 ,3.4 ,5.9 ,4.0 ,31.2 ,16.7 ,2.191 ,0.096 ,0.155 ,0.027 ,6.730 ,4.5843 ,4.4048 
7.8 ,10.1 ,390 ,22.0 ,5.0 ,8.2 ,5.2 ,14.6 ,29.6 ,2.208 ,0.102 ,0.295 ,0.036 ,5.346 ,3.0334 ,2.2175 
7.6 ,10.2 ,219 ,22.0 ,5.3 ,7.4 ,5.6 ,24.6 ,22.7 ,2.885 ,0.167 ,0.437 ,0.065 ,7.656 ,2.4150 ,2.3502 
7.1 ,7.1 ,209 ,23.0 ,7.0 ,8.4 ,7.3 ,18.7 ,43.0 ,2.314 ,0.186 ,0.303 ,0.062 ,5.889 ,2.7076 ,2.3424 
6.4 ,6.9 ,297 ,24.0 ,6.0 ,9.3 ,7.9 ,12.1 ,21.4 ,2.666 ,0.189 ,0.328 ,0.098 ,6.436 ,3.6628 ,2.6053 
7.7 ,8.7 ,335 ,25.0 ,7.3 ,11.7 ,8.0 ,55.7 ,17.6 ,2.157 ,0.131 ,0.110 ,0.020 ,4.987 ,3.1173 ,2.2253 
7.5 ,7.6 ,212 ,23.0 ,4.7 ,9.0 ,8.0 ,5.3 ,26.8 ,3.108 ,0.212 ,0.471 ,0.094 ,13.383 ,3.7297 ,3.2304 
7.3 ,8.1 ,222 ,24.0 ,7.1 ,11.1 ,6.9 ,10.1 ,66.2 ,3.167 ,0.288 ,0.658 ,0.115 ,44.746 ,4.4914 ,3.7924 
7.0 ,8.9 ,116 ,22.0 ,4.1 ,8.6 ,4.3 ,7.1 ,60.1 ,2.332 ,0.227 ,0.183 ,0.085 ,123.384 ,4.2041 ,3.3820 
7.4 ,9.3 ,188 ,27.0 ,3.2 ,4.8 ,3.6 ,3.2 ,17.0 ,1.935 ,0.078 ,0.101 ,0.049 ,13.545 ,3.6021 ,2.6902 
7.6 ,8.9 ,127 ,28.0 ,2.4 ,4.8 ,3.3 ,11.6 ,11.4 ,1.710 ,0.066 ,0.075 ,0.028 ,10.705 ,3.4586 ,2.5051 
7.5 ,7.5 ,148 ,30.0 ,1.7 ,4.9 ,3.2 ,5.7 ,23.7 ,1.906 ,0.089 ,0.186 ,0.048 ,217.986 ,4.7853 ,4.0864 
7.2 ,8.5 ,138 ,24.0 ,2.9 ,5.2 ,3.6 ,6.5 ,24.6 ,2.305 ,0.122 ,0.087 ,0.068 ,49.015 ,4.0000 ,3.5441 
7.2 ,7.9 ,212 ,25.0 ,1.9 ,4.9 ,3.5 ,3.0 ,18.9 ,2.299 ,0.138 ,0.158 ,0.076 ,19.092 ,4.1761 ,3.3979 
7.2 ,8.3 ,165 ,23.0 ,1.3 ,4.7 ,3.5 ,4.5 ,9.6 ,1.929 ,0.099 ,0.054 ,0.054 ,13.898 ,4.1139 ,3.1584 
7.2 ,9.5 ,201 ,24.0 ,1.7 ,4.8 ,3.3 ,12.6 ,7.6 ,1.677 ,0.076 ,0.057 ,0.021 ,7.290 ,3.6410 ,2.5315 
7.5 ,9.4 ,267 ,25.0 ,2.9 ,6.5 ,4.8 ,19.2 ,9.4 ,1.617 ,0.100 ,0.169 ,0.052 ,8.560 ,3.4354 ,2.4983 
7.4 ,8.1 ,168 ,26.0 ,1.7 ,3.8 ,3.1 ,12.9 ,6.2 ,1.382 ,0.088 ,0.082 ,0.035 ,7.093 ,3.4036 ,2.6656 
6.9 ,8.0 ,190 ,24.0 ,2.1 ,5.6 ,3.7 ,19.6 ,9.1 ,1.399 ,0.079 ,0.115 ,0.053 ,10.773 ,3.5798 ,2.7135 
7.4 ,9.2 ,191 ,20.0 ,1.6 ,4.4 ,3.0 ,2.7 ,7.2 ,1.554 ,0.078 ,0.140 ,0.051 ,12.263 ,3.3424 ,2.6435 
7.1 ,8.0 ,201 ,17.5 ,1.0 ,4.5 ,3.0 ,4.6 ,10.9 ,1.439 ,0.077 ,0.102 ,0.036 ,4.698 ,3.5185 ,1.7853 
7.9 ,9.5 ,196 ,17.4 ,1.3 ,4.6 ,3.1 ,9.4 ,6.7 ,1.540 ,0.059 ,0.116 ,0.030 ,3.570 ,3.1855 ,2.1139 
7.8 ,10.8 ,439 ,17.3 ,3.6 ,12.0 ,7.3 ,71.7 ,15.3 ,1.467 ,0.176 ,0.060 ,0.093 ,2.653 ,3.7782 ,2.4771 
7.8 ,11.4 ,335 ,14.9 ,2.9 ,6.0 ,5.5 ,35.6 ,9.6 ,1.577 ,0.104 ,0.163 ,0.042 ,1.341 ,3.5315 ,2.7839 
7.6 ,12.6 ,438 ,15.6 ,3.9 ,9.4 ,7.9 ,64.3 ,15.4 ,1.877 ,0.141 ,0.075 ,0.052 ,1.620 ,2.7597 ,2.2304 
7.2 ,8.5 ,378 ,17.6 ,2.8 ,9.0 ,8.5 ,24.3 ,20.1 ,2.823 ,0.117 ,0.411 ,0.043 ,2.713 ,3.0414 ,2.6990 
7.3 ,9.4 ,406 ,13.6 ,2.0 ,5.7 ,4.2 ,21.2 ,16.3 ,2.312 ,0.070 ,0.505 ,0.017 ,4.038 ,3.5051 ,3.2967 
7.2 ,11.4 ,231 ,8.6 ,2.0 ,6.8 ,4.9 ,2.9 ,18.7 ,3.125 ,0.135 ,0.382 ,0.075 ,5.722 ,3.8451 ,3.1430 
7.4 ,10.3 ,378 ,11.1 ,1.1 ,5.4 ,4.2 ,3.4 ,8.8 ,2.495 ,0.049 ,0.133 ,0.031 ,3.848 ,2.5740 ,1.9031 
7.0 ,11.8 ,288 ,7.8 ,1.0 ,4.3 ,2.9 ,3.7 ,7.7 ,2.490 ,0.058 ,0.157 ,0.041 ,5.556 ,2.6484 ,2.2577 
7.7 ,12.2 ,304 ,5.5 ,1.2 ,3.1 ,2.5 ,2.2 ,7.6 ,2.653 ,0.042 ,0.047 ,0.013 ,4.176 ,2.6990 ,1.9912 
7.7 ,12.4 ,328 ,4.0 ,1.5 ,4.3 ,3.6 ,3.2 ,4.3 ,3.442 ,0.046 ,0.273 ,0.022 ,3.152 ,3.0414 ,2.2742 
7.5 ,13.1 ,295 ,3.9 ,2.0 ,3.4 ,3.0 ,12.8 ,5.8 ,2.776 ,0.048 ,0.141 ,0.023 ,2.865 ,1.6021 ,0.3010 
7.5 ,13.9 ,360 ,2.6 ,2.0 ,4.2 ,3.2 ,4.2 ,7.0 ,3.590 ,0.084 ,0.168 ,0.022 ,2.239 ,2.6628 ,2.5315 
6.6 ,12.6 ,329 ,3.4 ,2.1 ,3.8 ,3.0 ,21.6 ,5.1 ,3.156 ,0.080 ,0.097 ,0.019 ,1.856 ,2.4440 ,2.3802 
7.0 ,14.4 ,331 ,2.5 ,2.5 ,4.8 ,3.4 ,25.9 ,9.3 ,3.299 ,0.095 ,0.263 ,0.038 ,1.915 ,2.2504 ,1.6812 
8.2 ,14.2 ,330 ,2.8 ,1.9 ,4.3 ,3.5 ,24.4 ,7.3 ,2.818 ,0.087 ,0.074 ,0.030 ,2.203 ,1.4771 ,0.3010 
7.9 ,13.5 ,406 ,3.2 ,2.7 ,4.9 ,3.1 ,25.0 ,9.6 ,3.315 ,0.067 ,0.092 ,0.037 ,2.726 ,2.4440 ,2.2648 
7.5 ,12.7 ,362 ,4.4 ,3.0 ,5.1 ,3.7 ,18.1 ,6.8 ,3.181 ,0.070 ,0.233 ,0.050 ,2.981 ,2.4232 ,2.1335 
7.4 ,14.2 ,345 ,2.9 ,2.5 ,4.9 ,3.8 ,30.6 ,7.0 ,2.879 ,0.037 ,0.066 ,0.020 ,1.826 ,2.4548 ,2.1106 
7.9 ,14.4 ,354 ,3.8 ,2.7 ,5.1 ,4.2 ,35.0 ,8.4 ,2.709 ,0.079 ,0.086 ,0.015 ,1.797 ,2.0414 ,1.5563 
7.9 ,12.9 ,344 ,7.5 ,3.9 ,6.3 ,4.0 ,42.5 ,21.5 ,2.527 ,0.105 ,0.092 ,0.022 ,2.597 ,3.1072 ,2.9638 
8.2 ,13.8 ,364 ,8.3 ,4.1 ,7.5 ,5.7 ,52.6 ,14.2 ,2.595 ,0.089 ,0.076 ,0.020 ,2.565 ,1.9912 ,1.3802 
8.7 ,10.9 ,394 ,8.6 ,4.4 ,8.4 ,5.5 ,55.9 ,13.8 ,2.428 ,0.086 ,0.051 ,0.025 ,2.122 ,2.0792 ,1.2041 
7.5 ,9.7 ,314 ,13.5 ,4.2 ,7.3 ,5.9 ,50.7 ,18.0 ,2.254 ,0.081 ,0.165 ,0.011 ,4.032 ,3.3820 ,2.7076 
7.6 ,11.9 ,253 ,11.1 ,2.9 ,7.1 ,5.0 ,20.0 ,18.4 ,2.792 ,0.088 ,0.237 ,0.033 ,6.255 ,3.0492 ,1.9085 
7.1 ,9.7 ,294 ,15.2 ,4.0 ,7.2 ,5.2 ,44.5 ,16.0 ,2.576 ,0.092 ,0.085 ,0.010 ,4.279 ,2.1461 ,1.7709 
8.4 ,9.6 ,344 ,15.9 ,4.3 ,6.9 ,5.6 ,28.8 ,17.8 ,1.748 ,0.065 ,0.076 ,0.005 ,1.520 ,1.9031 ,1.0000 
7.4 ,12.2 ,249 ,15.5 ,2.8 ,5.9 ,4.7 ,20.2 ,18.3 ,2.613 ,0.105 ,0.234 ,0.050 ,11.545 ,3.3747 ,2.8603 
7.4 ,9.5 ,240 ,19.5 ,2.7 ,7.5 ,4.7 ,29.8 ,24.6 ,2.028 ,0.097 ,0.134 ,0.018 ,5.809 ,2.8388 ,2.3324 
6.7 ,8.4 ,344 ,21.4 ,3.3 ,7.7 ,6.3 ,19.0 ,12.7 ,1.173 ,0.105 ,0.291 ,0.053 ,1.726 ,2.4472 ,1.7404 
7.4 ,7.8 ,471 ,20.0 ,4.2 ,7.7 ,5.9 ,17.3 ,26.7 ,2.030 ,0.100 ,0.519 ,0.054 ,4.200 ,2.9345 ,2.5623 
7.2 ,7.1 ,334 ,22.6 ,3.7 ,7.5 ,5.3 ,39.5 ,19.3 ,1.005 ,0.098 ,0.142 ,0.028 ,3.217 ,2.1461 ,1.1761 
7.7 ,6.9 ,344 ,22.0 ,3.0 ,7.6 ,6.2 ,12.9 ,13.6 ,1.676 ,0.107 ,0.317 ,0.051 ,2.970 ,2.1903 ,1.6335 
7.4 ,7.8 ,226 ,24.9 ,3.1 ,8.4 ,6.7 ,10.5 ,11.1 ,2.441 ,0.105 ,0.471 ,0.070 ,6.183 ,2.4065 ,1.5798 
7.4 ,9.5 ,319 ,25.8 ,4.7 ,12.9 ,10.0 ,62.6 ,20.8 ,2.338 ,0.096 ,0.260 ,0.037 ,6.418 ,2.6232 ,2.3802 
6.9 ,8.5 ,303 ,24.0 ,6.4 ,10.8 ,8.4 ,26.4 ,10.0 ,2.538 ,0.092 ,0.392 ,0.046 ,7.264 ,2.6435 ,2.3802 
8.2 ,9.0 ,310 ,24.0 ,4.1 ,5.6 ,8.6 ,13.4 ,17.5 ,2.078 ,0.103 ,0.636 ,0.031 ,2.383 ,2.3979 ,2.0414 
7.3 ,7.1 ,371 ,25.3 ,2.6 ,9.2 ,7.3 ,9.6 ,10.2 ,1.881 ,0.101 ,0.140 ,0.060 ,3.292 ,2.3617 ,2.2304 
7.3 ,7.7 ,159 ,23.1 ,2.9 ,9.2 ,5.1 ,3.8 ,35.8 ,2.622 ,0.144 ,0.340 ,0.094 ,30.546 ,4.0792 ,3.0212 
6.9 ,8.7 ,159 ,22.2 ,2.0 ,5.2 ,3.2 ,2.1 ,29.2 ,2.717 ,0.077 ,0.131 ,0.053 ,34.585 ,4.5051 ,3.6628 
8.4 ,12.4 ,194 ,31.5 ,4.5 ,7.5 ,4.6 ,42.9 ,8.7 ,1.709 ,0.083 ,0.066 ,0.006 ,4.736 ,2.8573 ,2.3424 
7.9 ,6.1 ,213 ,30.2 ,3.7 ,6.6 ,4.6 ,18.1 ,8.0 ,1.010 ,0.061 ,0.097 ,0.020 ,3.814 ,2.7118 ,1.6021 
6.3 ,7.2 ,204 ,28.5 ,2.8 ,7.9 ,5.3 ,11.8 ,13.3 ,1.196 ,0.103 ,0.073 ,0.071 ,7.668 ,3.7818 ,2.3010 
6.7 ,7.1 ,231 ,26.4 ,3.6 ,8.7 ,5.2 ,6.6 ,10.2 ,1.760 ,0.091 ,0.227 ,0.069 ,20.343 ,4.0461 ,3.2504 
8.2 ,10.2 ,163 ,24.7 ,2.4 ,7.7 ,4.4 ,4.4 ,14.5 ,1.671 ,0.107 ,0.207 ,0.093 ,37.114 ,3.8808 ,3.1430 
6.7 ,7.9 ,167 ,25.7 ,1.6 ,5.2 ,2.7 ,3.1 ,8.4 ,1.938 ,0.050 ,0.062 ,0.043 ,26.544 ,4.0492 ,3.2253 
7.7 ,8.5 ,227 ,23.9 ,1.7 ,7.4 ,3.4 ,3.4 ,13.5 ,2.485 ,0.048 ,0.108 ,0.032 ,17.356 ,3.7267 ,3.0000 
6.7 ,9.6 ,173 ,22.6 ,1.4 ,5.0 ,2.3 ,7.0 ,9.0 ,2.075 ,0.034 ,0.127 ,0.030 ,30.729 ,3.7868 ,3.4564 
8.3 ,9.4 ,93 ,20.0 ,1.6 ,5.2 ,2.9 ,5.0 ,22.7 ,1.665 ,0.069 ,0.165 ,0.054 ,118.877 ,3.9243 ,3.2041 
8.1 ,9.2 ,230 ,22.4 ,1.4 ,4.4 ,2.0 ,5.0 ,5.5 ,2.157 ,0.059 ,0.189 ,0.020 ,14.645 ,3.6418 ,2.3522 
7.5 ,9.1 ,272 ,19.8 ,1.6 ,4.9 ,1.7 ,8.2 ,5.2 ,1.743 ,0.058 ,0.101 ,0.034 ,11.074 ,3.9542 ,2.9685 
7.3 ,7.7 ,207 ,19.6 ,2.3 ,5.6 ,2.3 ,5.3 ,7.5 ,1.536 ,0.036 ,0.048 ,0.018 ,12.153 ,3.9031 ,2.9085 
7.0 ,10.1 ,391 ,17.7 ,1.4 ,7.0 ,4.8 ,10.9 ,4.9 ,1.709 ,0.030 ,0.096 ,0.024 ,5.515 ,3.2856 ,2.2553 
6.8 ,8.9 ,218 ,14.3 ,2.7 ,6.7 ,4.3 ,6.1 ,18.4 ,2.069 ,0.099 ,0.256 ,0.076 ,7.453 ,4.0253 ,3.4624 
7.2 ,9.2 ,255 ,15.9 ,1.8 ,6.6 ,4.1 ,4.4 ,11.3 ,1.868 ,0.063 ,0.136 ,0.056 ,6.407 ,3.4472 ,3.1461 
7.1 ,11.2 ,308 ,12.7 ,1.0 ,5.4 ,3.9 ,2.9 ,3.7 ,2.487 ,0.062 ,0.169 ,0.039 ,3.736 ,3.5051 ,2.2227 
