Á¶»ç¿ù,WT,pH,DO,BOD,COD,SS,EC,TN,TP,TOC
1,4,8.2,15,4.8,8.1,16.6,437,6.164,0.154,5.3
2,4.5,8,14,4.8,8.3,16.8,423,6.465,0.165,5.7
3,9.1,8.1,13.3,5.8,9.2,21.1,398,6.48,0.157,6.7
4,14.7,7.8,10.5,5,8.2,24.1,313,4.756,0.126,5.6
5,21.1,7.7,8.8,4.5,8.1,33.3,307,4.037,0.124,5.8
6,24.6,7.5,7.9,6.2,10.2,28.1,292,3.81,0.131,7.4
7,26.3,7.3,7.3,4.6,8.6,39,227,3.198,0.155,5.9
8,27.6,7.7,7.2,4.1,8.9,27.4,204,2.566,0.154,5.3
9,24.5,7.5,8.3,2.9,6.2,20.1,174,2.386,0.12,4.2
10,19.7,7.6,8.6,3.6,6.9,25.5,245,3.001,0.1,4.7
11,13.2,7.4,9.9,3.5,6.2,20.8,340,4.025,0.097,4.6
12,8.2,7.5,11.5,3.7,6.5,15.7,346,4.309,0.109,3.9
