 Date,Chla,WT,y_t+1,Chla_t-12,WT_t-12,Chla_t-11,WT_t-11,Chla_t-10,WT_t-10,Chla_t-9,WT_t-9,Chla_t-8,WT_t-8,Chla_t-7,WT_t-7,Chla_t-6,WT_t-6,Chla_t-5,WT_t-5,Chla_t-4,WT_t-4,Chla_t-3,WT_t-3,Chla_t-2,WT_t-2,Chla_t-1,WT_t-1,Chla_t-0,WT_t-0
2016.01.04,16.9,7.7,36.9,,,,,,,,,,,,,,,,,,,,,,,,,16.9,7.7
2016.01.11,36.9,7.5,38.9,,,,,,,,,,,,,,,,,,,,,,,16.9,7.7,36.9,7.5
2016.01.18,38.9,7,21.2,,,,,,,,,,,,,,,,,,,,,16.9,7.7,36.9,7.5,38.9,7
2016.01.28,21.2,4.2,13.3,,,,,,,,,,,,,,,,,,,16.9,7.7,36.9,7.5,38.9,7,21.2,4.2
2016.02.02,13.3,4.2,14.7,,,,,,,,,,,,,,,,,16.9,7.7,36.9,7.5,38.9,7,21.2,4.2,13.3,4.2
2016.02.11,14.7,6.3,16,,,,,,,,,,,,,,,16.9,7.7,36.9,7.5,38.9,7,21.2,4.2,13.3,4.2,14.7,6.3
2016.02.15,16,8.8,13.1,,,,,,,,,,,,,16.9,7.7,36.9,7.5,38.9,7,21.2,4.2,13.3,4.2,14.7,6.3,16,8.8
2016.02.22,13.1,7.8,44.5,,,,,,,,,,,16.9,7.7,36.9,7.5,38.9,7,21.2,4.2,13.3,4.2,14.7,6.3,16,8.8,13.1,7.8
2016.02.29,44.5,7.3,5.7,,,,,,,,,16.9,7.7,36.9,7.5,38.9,7,21.2,4.2,13.3,4.2,14.7,6.3,16,8.8,13.1,7.8,44.5,7.3
2016.03.07,5.7,12.1,15.6,,,,,,,16.9,7.7,36.9,7.5,38.9,7,21.2,4.2,13.3,4.2,14.7,6.3,16,8.8,13.1,7.8,44.5,7.3,5.7,12.1
2016.03.14,15.6,8.3,59.8,,,,,16.9,7.7,36.9,7.5,38.9,7,21.2,4.2,13.3,4.2,14.7,6.3,16,8.8,13.1,7.8,44.5,7.3,5.7,12.1,15.6,8.3
2016.03.21,59.8,12.8,104.5,,,16.9,7.7,36.9,7.5,38.9,7,21.2,4.2,13.3,4.2,14.7,6.3,16,8.8,13.1,7.8,44.5,7.3,5.7,12.1,15.6,8.3,59.8,12.8
2016.03.28,104.5,13,82.1,16.9,7.7,36.9,7.5,38.9,7,21.2,4.2,13.3,4.2,14.7,6.3,16,8.8,13.1,7.8,44.5,7.3,5.7,12.1,15.6,8.3,59.8,12.8,104.5,13
2016.04.04,82.1,15.7,107,36.9,7.5,38.9,7,21.2,4.2,13.3,4.2,14.7,6.3,16,8.8,13.1,7.8,44.5,7.3,5.7,12.1,15.6,8.3,59.8,12.8,104.5,13,82.1,15.7
2016.04.11,107,16.3,36.7,38.9,7,21.2,4.2,13.3,4.2,14.7,6.3,16,8.8,13.1,7.8,44.5,7.3,5.7,12.1,15.6,8.3,59.8,12.8,104.5,13,82.1,15.7,107,16.3
2016.04.18,36.7,16.2,31.2,21.2,4.2,13.3,4.2,14.7,6.3,16,8.8,13.1,7.8,44.5,7.3,5.7,12.1,15.6,8.3,59.8,12.8,104.5,13,82.1,15.7,107,16.3,36.7,16.2
2016.04.25,31.2,18,39,13.3,4.2,14.7,6.3,16,8.8,13.1,7.8,44.5,7.3,5.7,12.1,15.6,8.3,59.8,12.8,104.5,13,82.1,15.7,107,16.3,36.7,16.2,31.2,18
2016.05.02,39,19.1,49,14.7,6.3,16,8.8,13.1,7.8,44.5,7.3,5.7,12.1,15.6,8.3,59.8,12.8,104.5,13,82.1,15.7,107,16.3,36.7,16.2,31.2,18,39,19.1
2016.05.09,49,19.4,139.2,16,8.8,13.1,7.8,44.5,7.3,5.7,12.1,15.6,8.3,59.8,12.8,104.5,13,82.1,15.7,107,16.3,36.7,16.2,31.2,18,39,19.1,49,19.4
2016.05.16,139.2,21.2,51.5,13.1,7.8,44.5,7.3,5.7,12.1,15.6,8.3,59.8,12.8,104.5,13,82.1,15.7,107,16.3,36.7,16.2,31.2,18,39,19.1,49,19.4,139.2,21.2
2016.05.23,51.5,23.8,50.3,44.5,7.3,5.7,12.1,15.6,8.3,59.8,12.8,104.5,13,82.1,15.7,107,16.3,36.7,16.2,31.2,18,39,19.1,49,19.4,139.2,21.2,51.5,23.8
2016.05.30,50.3,23.3,22.7,5.7,12.1,15.6,8.3,59.8,12.8,104.5,13,82.1,15.7,107,16.3,36.7,16.2,31.2,18,39,19.1,49,19.4,139.2,21.2,51.5,23.8,50.3,23.3
2016.06.07,22.7,22.4,73.7,15.6,8.3,59.8,12.8,104.5,13,82.1,15.7,107,16.3,36.7,16.2,31.2,18,39,19.1,49,19.4,139.2,21.2,51.5,23.8,50.3,23.3,22.7,22.4
2016.06.13,73.7,24.6,57.5,59.8,12.8,104.5,13,82.1,15.7,107,16.3,36.7,16.2,31.2,18,39,19.1,49,19.4,139.2,21.2,51.5,23.8,50.3,23.3,22.7,22.4,73.7,24.6
2016.06.20,57.5,25.4,15.5,104.5,13,82.1,15.7,107,16.3,36.7,16.2,31.2,18,39,19.1,49,19.4,139.2,21.2,51.5,23.8,50.3,23.3,22.7,22.4,73.7,24.6,57.5,25.4
2016.06.27,15.5,24.6,2.3,82.1,15.7,107,16.3,36.7,16.2,31.2,18,39,19.1,49,19.4,139.2,21.2,51.5,23.8,50.3,23.3,22.7,22.4,73.7,24.6,57.5,25.4,15.5,24.6
2016.07.05,2.3,23.1,59.5,107,16.3,36.7,16.2,31.2,18,39,19.1,49,19.4,139.2,21.2,51.5,23.8,50.3,23.3,22.7,22.4,73.7,24.6,57.5,25.4,15.5,24.6,2.3,23.1
2016.07.11,59.5,27.2,39.4,36.7,16.2,31.2,18,39,19.1,49,19.4,139.2,21.2,51.5,23.8,50.3,23.3,22.7,22.4,73.7,24.6,57.5,25.4,15.5,24.6,2.3,23.1,59.5,27.2
2016.07.18,39.4,25.5,45.5,31.2,18,39,19.1,49,19.4,139.2,21.2,51.5,23.8,50.3,23.3,22.7,22.4,73.7,24.6,57.5,25.4,15.5,24.6,2.3,23.1,59.5,27.2,39.4,25.5
2016.07.25,45.5,29,39.7,39,19.1,49,19.4,139.2,21.2,51.5,23.8,50.3,23.3,22.7,22.4,73.7,24.6,57.5,25.4,15.5,24.6,2.3,23.1,59.5,27.2,39.4,25.5,45.5,29
2016.08.01,39.7,30.1,90.1,49,19.4,139.2,21.2,51.5,23.8,50.3,23.3,22.7,22.4,73.7,24.6,57.5,25.4,15.5,24.6,2.3,23.1,59.5,27.2,39.4,25.5,45.5,29,39.7,30.1
2016.08.08,90.1,29.1,69.5,139.2,21.2,51.5,23.8,50.3,23.3,22.7,22.4,73.7,24.6,57.5,25.4,15.5,24.6,2.3,23.1,59.5,27.2,39.4,25.5,45.5,29,39.7,30.1,90.1,29.1
