 Date,Chla,y_t+1,Chla_t-12,Chla_t-11,Chla_t-10,Chla_t-9,Chla_t-8,Chla_t-7,Chla_t-6,Chla_t-5,Chla_t-4,Chla_t-3,Chla_t-2,Chla_t-1,Chla_t-0
2016.12.26,48.2,26.4,10.5,6.6,4.1,12.3,8.9,34.4,62.8,65.9,69.2,34.1,63.5,40.3,48.2
2017.01.02,26.4,43.8,6.6,4.1,12.3,8.9,34.4,62.8,65.9,69.2,34.1,63.5,40.3,48.2,26.4
2017.01.09,43.8,45.9,4.1,12.3,8.9,34.4,62.8,65.9,69.2,34.1,63.5,40.3,48.2,26.4,43.8
2017.01.16,45.9,56.5,12.3,8.9,34.4,62.8,65.9,69.2,34.1,63.5,40.3,48.2,26.4,43.8,45.9
2017.01.24,56.5,41.8,8.9,34.4,62.8,65.9,69.2,34.1,63.5,40.3,48.2,26.4,43.8,45.9,56.5
2017.01.31,41.8,31.4,34.4,62.8,65.9,69.2,34.1,63.5,40.3,48.2,26.4,43.8,45.9,56.5,41.8
2017.02.06,31.4,99,62.8,65.9,69.2,34.1,63.5,40.3,48.2,26.4,43.8,45.9,56.5,41.8,31.4
2017.02.13,99,73.1,65.9,69.2,34.1,63.5,40.3,48.2,26.4,43.8,45.9,56.5,41.8,31.4,99
2017.02.20,73.1,73.7,69.2,34.1,63.5,40.3,48.2,26.4,43.8,45.9,56.5,41.8,31.4,99,73.1
2017.02.27,73.7,77.6,34.1,63.5,40.3,48.2,26.4,43.8,45.9,56.5,41.8,31.4,99,73.1,73.7
2017.03.06,77.6,53.1,63.5,40.3,48.2,26.4,43.8,45.9,56.5,41.8,31.4,99,73.1,73.7,77.6
2017.03.13,53.1,96.8,40.3,48.2,26.4,43.8,45.9,56.5,41.8,31.4,99,73.1,73.7,77.6,53.1
2017.03.20,96.8,177.9,48.2,26.4,43.8,45.9,56.5,41.8,31.4,99,73.1,73.7,77.6,53.1,96.8
2017.03.27,177.9,60.3,26.4,43.8,45.9,56.5,41.8,31.4,99,73.1,73.7,77.6,53.1,96.8,177.9
2017.04.03,60.3,29,43.8,45.9,56.5,41.8,31.4,99,73.1,73.7,77.6,53.1,96.8,177.9,60.3
2017.04.10,29,27.3,45.9,56.5,41.8,31.4,99,73.1,73.7,77.6,53.1,96.8,177.9,60.3,29
2017.04.17,27.3,20.3,56.5,41.8,31.4,99,73.1,73.7,77.6,53.1,96.8,177.9,60.3,29,27.3
2017.04.24,20.3,35.1,41.8,31.4,99,73.1,73.7,77.6,53.1,96.8,177.9,60.3,29,27.3,20.3
2017.05.08,35.1,27.6,31.4,99,73.1,73.7,77.6,53.1,96.8,177.9,60.3,29,27.3,20.3,35.1
2017.05.15,27.6,38.4,99,73.1,73.7,77.6,53.1,96.8,177.9,60.3,29,27.3,20.3,35.1,27.6
2017.05.22,38.4,39.5,73.1,73.7,77.6,53.1,96.8,177.9,60.3,29,27.3,20.3,35.1,27.6,38.4
2017.05.29,39.5,44.3,73.7,77.6,53.1,96.8,177.9,60.3,29,27.3,20.3,35.1,27.6,38.4,39.5
2017.06.05,44.3,94.6,77.6,53.1,96.8,177.9,60.3,29,27.3,20.3,35.1,27.6,38.4,39.5,44.3
2017.06.12,94.6,38.4,53.1,96.8,177.9,60.3,29,27.3,20.3,35.1,27.6,38.4,39.5,44.3,94.6
2017.06.19,38.4,43.9,96.8,177.9,60.3,29,27.3,20.3,35.1,27.6,38.4,39.5,44.3,94.6,38.4
2017.06.26,43.9,27,177.9,60.3,29,27.3,20.3,35.1,27.6,38.4,39.5,44.3,94.6,38.4,43.9
2017.07.03,27,31.4,60.3,29,27.3,20.3,35.1,27.6,38.4,39.5,44.3,94.6,38.4,43.9,27
2017.07.10,31.4,2.4,29,27.3,20.3,35.1,27.6,38.4,39.5,44.3,94.6,38.4,43.9,27,31.4
2017.07.17,2.4,21.1,27.3,20.3,35.1,27.6,38.4,39.5,44.3,94.6,38.4,43.9,27,31.4,2.4
2017.07.24,21.1,22.4,20.3,35.1,27.6,38.4,39.5,44.3,94.6,38.4,43.9,27,31.4,2.4,21.1
2017.08.07,22.4,11.2,35.1,27.6,38.4,39.5,44.3,94.6,38.4,43.9,27,31.4,2.4,21.1,22.4
2017.08.14,11.2,9.6,27.6,38.4,39.5,44.3,94.6,38.4,43.9,27,31.4,2.4,21.1,22.4,11.2
2017.08.21,9.6,12.3,38.4,39.5,44.3,94.6,38.4,43.9,27,31.4,2.4,21.1,22.4,11.2,9.6
