year,date,spot,BOD,COD,T_N,T_P,TOC,SS,EC,pH,DO,temperature,turbidity,transparency,Chl_a,low,flow1,flow2,reservoir,dominant
2017,170103,T2,1,3.1,1.239,0.05,2.4,3.4,125,7.9,10.3,8,3.2,2.8,3.3,10240,5.4,12.3,27231,diatom
2017,170110,T2,0.9,3.1,1.307,0.045,2.5,1.6,138,6.5,10.9,7.8,3.5,2.1,4.6,10219,0.9,10,26814,diatom
2017,170117,T2,1.4,3.4,1.313,0.074,2.5,8.7,132,6.6,11.7,7.7,1.7,3,5.3,10196,1.5,10.5,26363,diatom
2017,170124,T2,1.4,3.4,1.313,0.074,2.5,8.7,132,6.8,11,5.8,1.6,3,5.7,10174,0,8.3,25936,diatom
2017,170131,T2,1.4,3.4,1.313,0.074,2.5,8.7,132,6.9,11.8,6,1.8,3,6.5,10152,3.3,9.9,25515,diatom
2017,170206,T2,1.2,3.7,1.333,0.054,2.9,4.7,132,6.9,12.4,5.7,2.5,3,6.3,10134,3.2,9.8,25173,diatom
2017,170214,T2,1.5,4.5,1.142,0.066,3.3,11.6,122,7,12.8,5.3,1.2,3,6.7,10106,1.4,10.1,24647,diatom
2017,170220,T2,1.4,3.6,1.588,0.13,2.8,3.6,123,7,12.5,4.8,2,3,6.2,10086,1.2,9.7,24275,diatom
2017,170228,T2,1.6,4.1,1.131,0.07,2.7,5,124,7,12.1,6,2.1,3.2,7.8,10068,3.6,10,23943,diatom
2017,170307,T2,1,3.7,0.863,0.039,2.7,2.7,105,6.9,12.3,5.7,3.3,3,9.6,10044,1.7,10.1,23505,diatom
2017,170314,T2,1.4,4.2,0.927,0.053,3.2,5.2,103,7,10.5,8.7,1.8,3.6,8.2,10016,0,10.4,23000,diatom
2017,170321,T2,2.2,4.5,1.255,0.07,3.7,7.9,176,6.9,11.8,8,2.2,3.2,7.3,9990,2.5,10.7,22541,diatom
2017,170328,T2,1.3,3.9,1.19,0.061,2.8,4.2,107,7.3,11.5,8.9,2.6,3.5,5.5,9965,2.2,10.3,22103,diatom
2017,170404,T2,2.7,5.2,1.235,0.083,4,14.5,130,6.9,11.1,10.1,2.7,3.5,5.2,9939,1.9,9.8,21655,diatom
2017,170411,T2,1.7,4.1,1.562,0.089,3,8.7,125,7,10.7,11.6,1.8,3,6.9,9948,11.6,9.6,21809,diatom
2017,170418,T2,2.5,5.4,1.573,0.097,3.9,8.8,155,7.1,11,11.8,1.1,3,5.7,9934,5.3,9.3,21570,diatom
2017,170425,T2,1.8,4.4,0.973,0.061,3.2,6.3,137,7.2,11.3,12.8,1.2,2.9,6.5,9912,3.7,9.5,21198,diatom
2017,170502,T2,3,5.1,1.226,0.073,3.5,6.2,144,7.3,11.9,13,2.5,2.3,10.2,9885,0.9,10.5,20748,diatom
2017,170510,T2,2.9,6.1,1.496,0.084,4.8,11.6,154,7,11.8,12.5,1.7,3.4,6.1,9847,3.4,10.8,20128,diatom
2017,170516,T2,2,6.6,1.162,0.062,4.8,5.2,178,7.3,10.4,15.5,1.2,3.4,5.3,9815,0.5,11.5,19618,diatom
2017,170523,T2,2.4,7.1,1.517,0.085,5.6,4.1,159,7.1,10.4,14.5,2.3,3.3,4.1,9771,0.9,11.6,18932,diatom
2017,170530,T2,2.4,7.1,1.517,0.085,5.6,4.1,159,7.3,8.4,16.6,2.3,3,5.3,9721,0.5,12.6,18176,diatom
2017,170607,T2,3.1,6.6,1.544,0.076,5.4,7.7,132,7.3,7.7,16,5.3,2,5.7,9671,2.2,12.3,17443,diatom
2017,170613,T2,1.7,6.3,1.289,0.061,5.1,6.3,122,7.4,7.8,15.7,4.3,3,3.5,9631,1.6,13,16874,diatom
2017,170620,T2,1.7,6.5,0.991,0.071,5.1,6.8,110,7.3,7.5,16.8,2.6,3,6.2,9568,0.8,14.9,16004,diatom
2017,170627,T2,1.9,8.1,1.532,0.074,6.4,9.2,111,7.4,7.5,17.4,2.5,4,3.2,9507,4.9,14,15194,diatom
2017,170704,T2,2.3,11.7,1.853,0.158,6.7,57.3,92,7,7.1,20,2.9,2.8,3.3,9469,6.9,11.3,14705,blue
2017,170712,T2,1.2,4.7,1.314,0.065,3.6,9.5,152,7.1,6.8,19.3,3.8,2.8,1.9,9499,3.7,12.7,15090,blue
2017,170718,T2,1.1,5.1,1.203,0.068,3.9,7.4,138,7.1,6.6,22.6,2.7,3.1,3.4,9481,12.3,12.3,14858,green
2017,170724,T2,1.1,4.9,1.007,0.069,3.8,4.8,158,7.3,7.1,25.3,2.7,3.5,3.4,9445,1.2,11.4,14401,green
2017,170801,T2,1.1,4.8,0.969,0.067,4,1.3,147,7.8,5.2,19.4,1.8,3.1,3.5,9400,6.3,10.5,13844,green
2017,170808,T2,0.8,4.6,1.575,0.088,3.4,4.3,155,7,7.1,25.6,4,2.7,3.6,9360,0,9.7,13360,green
2017,170816,T2,1,5.3,1.26,0.091,3.9,8.4,119,6.8,5.5,20,3.3,2.7,6,9364,17.6,10.6,13408,green
2017,170822,T2,0.8,4.2,0.853,0.059,3.3,2.6,150,6.6,5.9,20.5,2.8,3,5.7,9501,89.9,10,15116,green
2017,170828,T2,0.8,4.2,0.853,0.059,3.3,2.6,150,6.6,6.7,20.8,3.9,2.8,5.8,9532,58.6,11.6,15523,green
2017,170904,T2,1.2,4.4,1.344,0.054,3.5,3.6,169,6.6,6.7,21.4,4.3,2.8,8.4,9557,3.3,11.1,15856,green
2017,170912,T2,0.9,4.6,1.087,0.045,3.4,10.4,138,7,6.1,19.9,4.2,2.8,8.7,9557,3.3,11.1,15856,green
2017,170919,T2,0.8,4.4,0.639,0.034,3.8,3.5,151,6.6,5.6,22.1,4,2.3,7.5,9557,3.3,11.1,15856,green
2017,170927,T2,1.2,4.3,0.987,0.054,3.3,2.3,181,6.9,5.7,16.9,3.7,2.6,9,9557,3.3,11.1,15856,diatom
2017,171010,T2,1.1,4.5,1.367,0.08,3.2,2.2,202,7,6.6,20.7,3.6,3,3.9,9589,8.7,10.3,16290,diatom
2017,171017,T2,1.1,3.6,1.38,0.059,2.8,2.5,217,7,7,16.9,2.3,2.8,4.7,9587,6.9,10.1,16263,green
2017,171024,T2,1.2,3.9,1.216,0.069,3.2,2.3,201,6.6,7.3,17.7,3.6,3.8,9.5,9570,3.1,9.3,16031,green
2017,171031,T2,1.2,3.9,1.216,0.069,3.2,2.3,201,6.7,7.8,16.1,2.5,2,6.6,9542,2,8.2,15655,green
2017,171107,T2,1.3,4.3,1.733,0.074,3.1,2.8,235,7.1,8.5,14.2,2.6,2.2,4.7,9515,3.2,7.8,15299,diatom
2017,171113,T2,1.7,4.2,1.548,0.072,3.3,3.2,225,6.7,8.2,13.3,4.6,1.8,5.3,9492,1.2,7.2,15000,diatom
2017,171121,T2,2,4.8,2.256,0.135,3.8,5.5,241,7.2,9.1,12.3,2.9,1.8,6.2,9458,1.6,7.4,14565,diatom
2017,171127,T2,2.1,4.8,3.259,0.178,3.8,4.4,238,7.2,8.9,10.3,2.3,1.8,5.5,9435,1.5,7.3,14276,diatom
2017,171205,T2,2.5,4.8,2.817,0.168,3.7,5.5,307,6.9,10.3,7.8,3.4,1.9,9.7,9401,1.7,7.4,13856,diatom
2017,171212,T2,2.7,4.9,3.287,0.211,3.7,11.1,338,7.2,10.8,7.4,2.8,1.7,5.5,9371,1.9,7.5,13492,diatom
2017,171218,T2,2.6,4.9,3.223,0.155,3.8,8.6,274,6.8,11.3,6.5,2.1,2,9.1,9344,1.6,7,13170,diatom
2017,171226,T2,2.7,5.5,2.683,0.127,4.5,5,246,6.8,11.4,5.9,3.4,1.9,9.5,9314,1.4,6.8,12818,diatom
2018,180102,T2,3,5.3,2.791,0.171,4.2,6.4,226,6.7,11.7,5.2,5.2,1.8,8.1,9284,0.3,6.9,12473,diatom
2018,180116,T2,2.4,5.1,2.724,0.166,3.7,5.8,240,6.8,12.3,6.1,1.4,2,11.5,9227,6.2,7.5,11831,diatom
2018,180122,T2,2.6,4.8,2.474,0.166,4,5.6,219,7,12.5,4.4,2.6,2.2,9.6,9211,3.3,7.1,11655,diatom
