p H,DO,EC,WT,BOD,COD,TOC,Chla,SS,TN, T P,NH3N,PO4P,Flow,Rain,logTC,logFC
7.3 ,7.9 ,346.6 ,21.1 ,3.4 ,7.6 ,5.7 ,23.7 ,19.4 ,1.582 ,0.101 ,0.281 ,0.041 ,3.584 ,42.6 ,2.5114 ,1.8889 
7.5 ,8.7 ,289.5 ,24.7 ,4.6 ,9.4 ,8.4 ,28.2 ,14.9 ,2.349 ,0.099 ,0.440 ,0.046 ,5.562 ,83.1 ,2.5178 ,2.0954 
7.6 ,8.4 ,219.2 ,26.5 ,3.1 ,7.5 ,5.0 ,15.3 ,18.4 ,1.988 ,0.093 ,0.155 ,0.047 ,15.395 ,330.6 ,3.3030 ,2.5718 
7.0 ,8.1 ,191.3 ,26.3 ,2.6 ,7.4 ,4.4 ,6.5 ,11.6 ,1.641 ,0.088 ,0.142 ,0.069 ,22.917 ,473.5 ,3.9395 ,2.9799 
7.7 ,9.2 ,180.8 ,22.2 ,1.5 ,5.5 ,2.7 ,5.1 ,12.7 ,2.096 ,0.053 ,0.147 ,0.034 ,45.402 ,272.0 ,3.7699 ,3.0032 
7.2 ,9.0 ,268.6 ,17.5 ,2.0 ,6.2 ,3.4 ,7.0 ,9.5 ,1.785 ,0.057 ,0.127 ,0.042 ,8.520 ,82.8 ,3.7231 ,2.9482 
7.3 ,11.2 ,283.5 ,9.6 ,1.0 ,4.6 ,2.9 ,2.6 ,3.9 ,2.399 ,0.049 ,0.128 ,0.032 ,3.965 ,45.9 ,3.0595 ,2.2155 
7.4 ,13.6 ,294.0 ,4.3 ,1.6 ,5.5 ,2.7 ,3.0 ,5.0 ,3.058 ,0.056 ,0.323 ,0.034 ,6.350 ,79.6 ,3.5483 ,2.5493 
7.5 ,14.0 ,303.0 ,2.0 ,1.9 ,4.4 ,3.4 ,5.4 ,4.5 ,3.302 ,0.056 ,0.270 ,0.036 ,4.645 ,18.6 ,2.5834 ,1.9277 
7.1 ,12.8 ,238.0 ,4.2 ,1.5 ,4.1 ,3.0 ,7.7 ,5.7 ,2.807 ,0.053 ,0.188 ,0.032 ,7.743 ,49.0 ,3.2994 ,2.6003 
7.3 ,11.3 ,284.8 ,10.5 ,3.3 ,7.0 ,5.0 ,37.0 ,19.6 ,2.579 ,0.086 ,0.242 ,0.042 ,10.898 ,75.9 ,3.2066 ,2.0702 
7.8 ,11.4 ,287.8 ,13.9 ,3.9 ,7.3 ,4.7 ,38.9 ,12.3 ,2.016 ,0.060 ,0.122 ,0.016 ,3.173 ,55.9 ,2.6176 ,1.6173 
7.4 ,8.7 ,299.8 ,20.0 ,3.6 ,7.3 ,5.3 ,12.5 ,20.5 ,1.759 ,0.076 ,0.598 ,0.053 ,15.231 ,86.5 ,3.2088 ,2.3627 
7.2 ,7.5 ,251.5 ,24.2 ,3.8 ,8.9 ,6.1 ,12.2 ,13.8 ,2.446 ,0.094 ,0.304 ,0.068 ,8.248 ,83.7 ,2.9103 ,2.1417 
7.5 ,7.4 ,235.6 ,26.5 ,2.3 ,7.1 ,5.1 ,22.0 ,11.8 ,1.867 ,0.101 ,0.104 ,0.048 ,24.238 ,345.1 ,3.5726 ,2.7538 
7.3 ,7.7 ,221.0 ,28.2 ,3.1 ,8.2 ,5.6 ,18.0 ,17.5 ,1.579 ,0.126 ,0.087 ,0.056 ,18.054 ,297.2 ,3.5314 ,2.9986 
7.2 ,8.6 ,246.0 ,23.5 ,2.6 ,6.9 ,4.7 ,20.9 ,9.3 ,1.659 ,0.083 ,0.062 ,0.035 ,6.977 ,77.5 ,3.0984 ,2.6290 
7.5 ,8.8 ,369.4 ,19.3 ,2.5 ,6.5 ,4.5 ,28.6 ,7.9 ,1.616 ,0.065 ,0.041 ,0.017 ,3.705 ,32.8 ,2.8968 ,2.4443 
