p H,DO,EC,WT,BOD,COD,TOC,Chla,SS,TN, T P,NH3N,PO4P,Flow,logTC,logFC
6.8 ,11.2 ,515 ,5.0 ,6.5 ,8.6 ,7.3 ,21.1 ,11.0 ,9.877 ,0.684 ,5.316 ,0.498 ,12.419 ,4.5798 ,3.2577 
7.4 ,13.0 ,548 ,5.0 ,4.4 ,9.0 ,6.6 ,23.7 ,8.2 ,9.723 ,0.541 ,5.196 ,0.441 ,12.787 ,4.1357 ,2.3979 
7.4 ,13.3 ,481 ,5.0 ,6.8 ,10.6 ,6.4 ,35.7 ,10.4 ,7.799 ,0.351 ,3.539 ,0.245 ,15.079 ,4.3766 ,3.0607 
7.3 ,11.1 ,468 ,7.0 ,5.2 ,10.0 ,6.6 ,31.9 ,14.7 ,7.862 ,0.426 ,4.094 ,0.311 ,13.966 ,4.8949 ,3.3464 
7.3 ,9.5 ,471 ,8.0 ,8.6 ,12.5 ,8.5 ,10.8 ,25.2 ,9.760 ,0.507 ,5.802 ,0.341 ,15.026 ,5.0828 ,4.0477 
7.3 ,11.2 ,381 ,5.0 ,4.8 ,7.9 ,5.8 ,5.8 ,10.0 ,7.476 ,0.446 ,2.987 ,0.357 ,15.132 ,4.5051 ,2.4472 
7.0 ,8.8 ,495 ,10.0 ,6.7 ,11.1 ,7.9 ,13.1 ,17.0 ,9.640 ,0.493 ,5.813 ,0.391 ,12.907 ,5.1523 ,3.8351 
7.3 ,9.9 ,325 ,10.0 ,6.7 ,9.7 ,5.8 ,2.2 ,29.8 ,6.393 ,0.307 ,2.451 ,0.199 ,40.509 ,4.7559 ,3.9494 
7.3 ,10.3 ,410 ,8.0 ,5.3 ,8.4 ,5.8 ,2.4 ,10.4 ,6.408 ,0.290 ,1.354 ,0.234 ,35.691 ,4.4150 ,2.0000 
7.2 ,10.0 ,319 ,9.0 ,5.5 ,7.4 ,5.3 ,4.7 ,10.9 ,5.213 ,0.197 ,1.531 ,0.127 ,30.873 ,4.3222 ,2.3010 
7.3 ,9.9 ,402 ,12.0 ,4.9 ,7.8 ,5.3 ,7.2 ,12.5 ,6.283 ,0.343 ,2.352 ,0.261 ,17.459 ,3.8921 ,1.4771 
7.2 ,8.4 ,345 ,12.0 ,6.3 ,8.8 ,5.8 ,28.7 ,23.5 ,4.787 ,0.236 ,1.552 ,0.134 ,28.356 ,5.4639 ,4.0162 
7.3 ,10.8 ,301 ,15.0 ,5.2 ,8.0 ,5.7 ,14.8 ,21.5 ,4.729 ,0.462 ,1.256 ,0.340 ,19.587 ,4.5185 ,1.6990 
7.3 ,9.9 ,422 ,15.0 ,7.5 ,11.0 ,6.5 ,34.9 ,23.1 ,5.760 ,0.358 ,1.896 ,0.256 ,14.057 ,5.0645 ,3.2672 
7.5 ,11.2 ,475 ,14.0 ,8.5 ,13.3 ,7.7 ,92.2 ,37.0 ,6.739 ,0.494 ,1.530 ,0.346 ,10.739 ,4.2041 ,2.5441 
7.3 ,9.1 ,350 ,16.0 ,7.0 ,10.2 ,6.7 ,47.6 ,22.7 ,5.323 ,0.416 ,1.388 ,0.277 ,18.391 ,5.1703 ,3.8325 
7.1 ,7.1 ,355 ,20.0 ,4.9 ,7.7 ,4.1 ,17.3 ,17.3 ,5.074 ,0.477 ,1.477 ,0.400 ,23.633 ,4.7709 ,3.9138 
7.3 ,9.4 ,372 ,20.0 ,6.9 ,11.2 ,5.9 ,30.1 ,22.4 ,4.846 ,0.299 ,0.952 ,0.216 ,19.406 ,4.5798 ,2.6990 
7.0 ,7.0 ,307 ,20.0 ,3.9 ,7.1 ,5.3 ,3.4 ,18.4 ,4.335 ,0.339 ,0.871 ,0.199 ,36.364 ,5.1614 ,3.4472 
6.6 ,6.0 ,350 ,23.0 ,4.5 ,6.5 ,5.7 ,11.9 ,27.8 ,4.859 ,0.356 ,0.905 ,0.138 ,37.441 ,4.9823 ,3.5855 
7.3 ,7.3 ,347 ,26.0 ,5.0 ,8.9 ,7.2 ,16.5 ,23.2 ,4.355 ,0.274 ,1.086 ,0.121 ,28.698 ,5.1987 ,3.6180 
7.0 ,5.7 ,315 ,26.0 ,4.4 ,9.9 ,6.8 ,17.1 ,27.8 ,4.621 ,0.232 ,0.907 ,0.096 ,27.942 ,4.8692 ,3.0212 
7.2 ,7.4 ,382 ,26.0 ,5.8 ,8.3 ,7.0 ,40.0 ,36.0 ,4.561 ,0.204 ,0.687 ,0.084 ,21.877 ,3.7782 ,2.7782 
7.1 ,6.7 ,449 ,27.0 ,5.9 ,6.9 ,6.4 ,16.7 ,42.7 ,4.195 ,0.248 ,0.891 ,0.100 ,15.719 ,3.3010 ,2.9294 
7.0 ,5.9 ,318 ,26.0 ,5.0 ,10.6 ,6.2 ,4.8 ,20.2 ,4.680 ,0.344 ,0.652 ,0.230 ,44.171 ,4.3010 ,3.5563 
7.2 ,7.0 ,176 ,25.0 ,4.8 ,9.9 ,4.5 ,4.9 ,48.2 ,3.078 ,0.278 ,0.366 ,0.123 ,380.542 ,4.2304 ,3.5051 
6.9 ,9.6 ,259 ,25.0 ,4.0 ,7.2 ,4.3 ,6.0 ,45.6 ,2.745 ,0.168 ,0.328 ,0.128 ,121.887 ,4.5682 ,3.7924 
6.9 ,5.6 ,308 ,26.0 ,4.2 ,9.9 ,5.0 ,13.4 ,42.3 ,3.362 ,0.264 ,0.678 ,0.134 ,85.198 ,4.5682 ,4.2788 
7.2 ,6.6 ,193 ,28.0 ,3.9 ,7.0 ,4.2 ,13.4 ,20.5 ,3.575 ,0.182 ,0.707 ,0.116 ,33.842 ,4.1761 ,3.5563 
7.3 ,6.0 ,236 ,28.0 ,4.0 ,7.2 ,4.3 ,16.9 ,49.6 ,3.580 ,0.302 ,1.070 ,0.205 ,74.423 ,4.2553 ,3.7782 
7.1 ,6.3 ,168 ,26.0 ,3.9 ,6.6 ,4.7 ,10.9 ,60.3 ,2.519 ,0.236 ,0.420 ,0.095 ,126.808 ,4.6628 ,4.2041 
8.2 ,6.7 ,108 ,25.0 ,3.7 ,7.4 ,3.8 ,2.1 ,33.3 ,1.744 ,0.219 ,0.146 ,0.078 ,411.431 ,4.4472 ,3.9542 
7.4 ,7.9 ,215 ,26.0 ,3.5 ,5.7 ,3.8 ,13.0 ,13.7 ,3.350 ,0.202 ,0.618 ,0.108 ,45.174 ,3.7782 ,3.0000 
7.0 ,7.2 ,168 ,25.0 ,2.9 ,5.0 ,3.4 ,5.0 ,20.2 ,2.257 ,0.137 ,0.357 ,0.108 ,81.453 ,4.1461 ,3.6937 
6.8 ,6.6 ,211 ,27.0 ,3.4 ,6.1 ,4.4 ,31.4 ,12.0 ,1.744 ,0.151 ,0.570 ,0.121 ,55.537 ,4.4150 ,4.1072 
