Point,BOD,COD,T-N,DTN,NO3-N,NH3-N,T-P,DTP,PO4-P,Chl-a
at_합천,1.9,6.1,3.126,2.929,2.181,0.069,0.031,0.019,0.007,19.1
at_합천,2,6.9,3.356,3.143,2.489,0.076,0.042,0.027,0.015,25.2
at_합천,2,6.1,3.064,2.893,2.293,0.064,0.043,0.029,0.015,18.7
au_남강4,2.6,5.6,2.487,2.185,1.458,0.141,0.116,0.053,0.039,39.3
au_남강4,3.6,6.9,3.307,2.82,1.597,0.394,0.156,0.068,0.045,74.1
au_남강4,2.5,5.6,2.867,2.525,1.722,0.253,0.138,0.07,0.052,40.1
au_남강4,3.3,6.6,2.83,2.377,1.533,0.284,0.127,0.058,0.026,66.6
au_남강4,3.7,7.1,3.798,3.387,1.793,0.722,0.157,0.103,0.048,64.4
au_남강4,2,5.4,2.74,2.466,1.672,0.229,0.084,0.03,0.02,34.8
au_남강4,2.8,5.7,2.465,2.184,1.684,0.265,0.073,0.03,0.017,42
au_남강4,2,4.6,2.792,2.571,1.919,0.32,0.083,0.031,0.02,28
au_남강4,2,4.7,2.342,2.227,1.69,0.254,0.046,0.029,0.014,19.3
au_남강4,2.7,4.9,1.922,1.75,1.183,0.142,0.052,0.037,0.019,24.5
au_남강4,2.1,4.7,1.948,1.69,1.156,0.123,0.057,0.033,0.015,29.4
au_남강4,1.9,5.2,2.375,2.204,1.803,0.175,0.054,0.032,0.01,17.7
au_남강4,2.9,5.3,2.233,2.07,1.551,0.198,0.044,0.022,0.008,32.8
au_남강4,1.7,5.1,2.509,2.301,1.853,0.178,0.058,0.024,0.013,18.3
au_남강4,2.2,5.2,2.228,1.856,1.501,0.038,0.044,0.022,0.004,32.5
av_남지,3,6.5,3.069,2.63,1.955,0.128,0.154,0.079,0.062,63
av_남지,2.7,6.1,3.331,2.91,1.953,0.085,0.162,0.089,0.068,60.1
av_남지,2.5,5.8,3.167,2.751,2.075,0.042,0.169,0.094,0.075,57.2
av_남지,2.8,5.8,3.053,2.713,2.04,0.07,0.179,0.111,0.072,64.6
av_남지,3,6.7,3.331,2.786,1.995,0.117,0.197,0.12,0.071,74.4
av_남지,1.8,5.5,3.4,2.792,2.134,0.128,0.156,0.067,0.051,35
av_남지,1.8,5.6,3.218,2.768,2.453,0.142,0.192,0.049,0.036,31.5
av_남지,2.4,5.8,2.982,2.665,2.217,0.091,0.098,0.047,0.023,34.3
av_남지,2.4,5.1,2.627,2.486,2.26,0.079,0.059,0.023,0.011,30
av_남지,2.3,5,2.648,2.514,1.817,0.053,0.051,0.022,0.012,26
av_남지,2,5.7,2.354,2.212,1.582,0.05,0.04,0.021,0.011,22.2
av_남지,2.1,6.6,2.62,2.456,1.569,0.076,0.049,0.027,0.012,25.6
av_남지,2,6.9,2.634,2.473,1.719,0.077,0.038,0.018,0.007,28
av_남지,2.1,7.9,2.764,2.562,1.958,0.074,0.056,0.023,0.013,37.2
av_남지,1.7,7.3,2.67,2.431,1.995,0.055,0.054,0.023,0.01,24
aw_임해진,2.9,6.4,3.131,2.612,1.939,0.095,0.155,0.071,0.056,66.1
aw_임해진,2.9,6.7,3.271,2.58,1.855,0.072,0.161,0.076,0.055,64.9
aw_임해진,2.4,6.1,3.055,2.574,1.967,0.038,0.151,0.086,0.068,63
aw_임해진,3,5.7,3.135,2.783,1.988,0.028,0.174,0.111,0.073,70.5
aw_임해진,3.2,6.6,2.863,2.476,1.779,0.076,0.153,0.107,0.063,83.8
aw_임해진,2,5.9,3.025,2.626,2.035,0.089,0.152,0.057,0.039,41.5
aw_임해진,2.2,5.7,2.977,2.784,2.516,0.114,0.115,0.047,0.035,32.8
aw_임해진,2.3,6.1,3.02,2.813,2.353,0.069,0.1,0.045,0.024,38.2
aw_임해진,2.3,5,2.696,2.514,2.296,0.062,0.055,0.023,0.011,30.9
aw_임해진,2.2,5.1,2.776,2.643,1.929,0.047,0.049,0.021,0.011,25.5
aw_임해진,1.8,5.5,2.461,2.321,1.686,0.047,0.04,0.022,0.013,21
aw_임해진,2.1,6.6,2.834,2.663,1.954,0.104,0.043,0.025,0.014,20.7
aw_임해진,2.1,6.2,2.918,2.722,2,0.073,0.031,0.018,0.007,23.4
aw_임해진,2.2,6.9,3.105,2.862,2.23,0.092,0.038,0.022,0.012,30.9
aw_임해진,2,6.2,2.809,2.647,2.068,0.053,0.041,0.025,0.01,24.9
ax_하남,3.6,7,3.28,2.733,1.98,0.097,0.146,0.064,0.044,74.4
ax_하남,3.1,7.2,3.274,2.641,1.8,0.031,0.169,0.073,0.053,75.8
ax_하남,2.4,6.1,3.088,2.664,1.796,0.167,0.168,0.084,0.063,71.7
ax_하남,3,6,2.999,2.552,1.948,0.042,0.166,0.094,0.057,62.9
ax_하남,3.3,7.1,3.153,2.708,1.926,0.064,0.169,0.104,0.06,90.5
ax_하남,2.3,5.9,3.205,2.763,1.984,0.107,0.133,0.057,0.039,57.1
ax_하남,2.2,5.6,3.035,2.837,2.517,0.138,0.107,0.043,0.032,41.1
ax_하남,2.4,6.2,2.986,2.767,2.319,0.062,0.1,0.042,0.021,42.1
ax_하남,2.5,5.2,2.671,2.482,2.278,0.058,0.066,0.023,0.011,31.6
ax_하남,2.3,5.3,2.747,2.607,1.924,0.04,0.048,0.02,0.01,27.1
ax_하남,2,5.7,2.458,2.324,1.701,0.034,0.039,0.023,0.014,23
ax_하남,2,6.8,2.849,2.663,1.807,0.063,0.049,0.03,0.015,24.1
ax_하남,2,7.1,2.642,2.475,1.761,0.072,0.034,0.018,0.006,26.4
ax_하남,2.2,8.2,2.907,2.653,2.057,0.05,0.06,0.024,0.014,38.8
ax_하남,1.8,7.4,2.664,2.446,2.018,0.045,0.046,0.022,0.009,26.2
ay_밀양강3,1.9,4.4,3.466,3.075,2.26,0.144,0.118,0.065,0.05,20.3
ay_밀양강3,2.1,3.8,3.501,3.171,2.038,0.239,0.138,0.075,0.064,26
ay_밀양강3,1.7,3.9,2.927,2.726,2.189,0.194,0.147,0.093,0.074,22.5
ay_밀양강3,2.9,5.1,2.402,1.825,1.597,0.127,0.132,0.069,0.048,41.8
ay_밀양강3,3.5,6.5,2.897,2.515,1.637,0.254,0.173,0.085,0.06,66.6
ay_밀양강3,1.7,4.6,2.832,2.703,2.188,0.216,0.097,0.057,0.046,15.1
ay_밀양강3,2,4.7,2.677,2.452,2.129,0.118,0.092,0.046,0.035,25.3
ay_밀양강3,1.7,3.8,2.674,2.447,2.002,0.191,0.053,0.02,0.009,14.8
ay_밀양강3,1.9,4.3,2.537,2.333,1.854,0.213,0.045,0.021,0.008,12.9
ay_밀양강3,2.1,4.6,2.437,2.251,1.685,0.162,0.045,0.019,0.006,14.5
ay_밀양강3,2.2,5,2.092,1.91,1.464,0.109,0.045,0.018,0.006,16.7
ay_밀양강3,1.9,5,2.729,2.516,2.011,0.14,0.038,0.02,0.011,15.2
ay_밀양강3,2.8,6,2.396,2.09,1.343,0.315,0.043,0.014,0.004,37.8
ay_밀양강3,1.9,4.9,3.011,2.812,2.259,0.153,0.031,0.015,0.006,17.1
ay_밀양강3,2.5,4.9,2.259,2.064,1.634,0.101,0.042,0.021,0.006,30.4
az_삼랑진,3.1,6.7,3.12,2.735,2.024,0.125,0.137,0.065,0.047,64.6
az_삼랑진,3.1,6.2,3.426,2.868,1.852,0.08,0.153,0.066,0.053,59.7
az_삼랑진,2.6,5.8,2.825,2.37,1.927,0.053,0.149,0.071,0.051,55.7
az_삼랑진,2.5,5.8,3.015,2.568,1.906,0.097,0.17,0.095,0.054,56.8
az_삼랑진,2.9,6.4,2.981,2.673,1.841,0.173,0.179,0.131,0.06,55.7
az_삼랑진,2.5,5.6,2.886,2.538,2.048,0.069,0.12,0.044,0.027,42.1
az_삼랑진,2,5.6,2.979,2.779,2.461,0.136,0.111,0.041,0.028,28.3
az_삼랑진,2.4,6.1,2.836,2.619,2.213,0.059,0.091,0.036,0.017,40.9
az_삼랑진,2.4,5,2.623,2.444,2.208,0.078,0.06,0.024,0.011,27
az_삼랑진,2.2,5.1,2.631,2.49,1.819,0.053,0.052,0.022,0.01,24.6
az_삼랑진,2,5.5,2.381,2.242,1.628,0.045,0.042,0.022,0.013,21.9
az_삼랑진,2,6.6,2.761,2.599,1.775,0.076,0.052,0.03,0.016,23.6
az_삼랑진,2.1,7.1,2.508,2.324,1.644,0.076,0.042,0.019,0.007,30.2
az_삼랑진,2.2,8.5,2.918,2.596,2.036,0.05,0.06,0.023,0.013,41.5
az_삼랑진,1.9,7.4,2.551,2.333,1.94,0.052,0.051,0.022,0.009,27.7
ba_물금,2.6,6.2,2.953,2.517,1.864,0.117,0.129,0.068,0.051,61.2
ba_물금,2.7,5.7,3.122,2.682,1.809,0.06,0.136,0.077,0.052,62.4
ba_물금,2.6,6,2.996,2.561,1.882,0.066,0.139,0.075,0.055,61.3
ba_물금,2.4,5.9,2.763,2.447,2.059,0.078,0.142,0.081,0.061,47.2
ba_물금,2.8,7.1,2.969,2.618,2.049,0.106,0.148,0.082,0.062,55
ba_물금,2.4,6.4,2.891,2.615,2.213,0.064,0.108,0.043,0.031,46.2
ba_물금,1.5,5.7,2.96,2.768,2.412,0.1,0.102,0.044,0.033,27.4
ba_물금,2.4,6.2,2.914,2.54,2.176,0.076,0.086,0.036,0.022,41.5
ba_물금,2.3,6,2.78,2.455,1.976,0.09,0.064,0.025,0.01,29.6
ba_물금,2.3,6.3,2.964,2.664,2.048,0.075,0.058,0.024,0.009,27.9
ba_물금,2.2,6.4,2.425,2.218,1.708,0.065,0.043,0.02,0.009,21.2
ba_물금,2,6.4,2.625,2.428,1.864,0.094,0.04,0.024,0.014,19.6
ba_물금,2,6.2,2.66,2.399,1.802,0.08,0.033,0.016,0.007,25.4
ba_물금,2,6.8,2.928,2.722,2.159,0.083,0.039,0.024,0.013,25.8
ba_물금,1.9,5.8,2.638,2.493,2.003,0.058,0.038,0.022,0.009,23.2
bb_금곡,3.1,6.2,3.105,2.641,1.897,0.138,0.125,0.06,0.044,73.8
bb_금곡,2.6,5.5,3.074,2.676,1.791,0.08,0.124,0.068,0.051,58.7
bb_금곡,2.6,6.1,3.04,2.611,1.876,0.074,0.149,0.077,0.055,71.8
bb_금곡,2.1,5.7,2.708,2.462,1.956,0.108,0.143,0.087,0.067,45.4
bb_금곡,2.8,7.2,3.039,2.796,2.212,0.164,0.154,0.092,0.075,41
bb_금곡,2.6,6.4,2.836,2.538,2.049,0.094,0.107,0.05,0.034,38.5
bb_금곡,2,6,2.872,2.696,2.313,0.129,0.118,0.058,0.044,22.4
bb_금곡,2.7,6.4,2.918,2.576,2.165,0.105,0.091,0.036,0.021,43.6
bb_금곡,2.6,6.1,2.781,2.425,1.857,0.184,0.069,0.029,0.013,28.5
bb_금곡,2.3,6.5,2.954,2.67,2.048,0.113,0.064,0.028,0.012,25.6
bb_금곡,2.1,6.4,2.39,2.219,1.677,0.084,0.044,0.021,0.01,21
bb_금곡,2,6.4,2.582,2.342,1.777,0.104,0.041,0.023,0.014,19.9
bb_금곡,2,6.2,2.65,2.418,1.765,0.086,0.031,0.017,0.008,23.2
bb_금곡,2.3,7.1,2.882,2.674,2.108,0.088,0.04,0.024,0.015,26.8
bb_금곡,2,6.1,2.656,2.495,1.945,0.114,0.039,0.024,0.009,25.4
bc_구포,3,6.5,2.949,2.591,1.84,0.137,0.123,0.061,0.042,59.6
bc_구포,2.7,5.8,3.194,2.693,1.787,0.081,0.132,0.075,0.051,59.3
bc_구포,2.6,6.1,2.977,2.571,1.871,0.073,0.136,0.071,0.053,58.4
bc_구포,2.4,5.6,2.929,2.591,1.844,0.138,0.157,0.102,0.059,50.9
bc_구포,2.6,6.5,3.184,2.698,1.778,0.206,0.165,0.115,0.071,49.4
bc_구포,2.4,6.2,3.194,2.508,1.901,0.07,0.129,0.043,0.027,47.9
bc_구포,1.9,5.8,3.159,2.775,2.448,0.165,0.178,0.045,0.034,29.8
bc_구포,2.4,6,2.88,2.596,2.096,0.081,0.098,0.042,0.023,41.9
bc_구포,2.2,5.1,2.56,2.421,2.138,0.126,0.062,0.026,0.014,27.7
bc_구포,2.1,5,2.712,2.502,1.811,0.09,0.049,0.024,0.014,25.2
bc_구포,1.8,5.8,2.37,2.238,1.605,0.051,0.038,0.021,0.012,23.8
bc_구포,1.9,6.7,2.688,2.539,1.655,0.075,0.05,0.031,0.015,20.1
bc_구포,2.1,7.2,2.499,2.317,1.625,0.079,0.039,0.022,0.01,32.5
bc_구포,2,8.2,2.825,2.545,1.935,0.07,0.064,0.026,0.016,33.4
bc_구포,1.7,7.1,2.621,2.428,1.957,0.094,0.061,0.024,0.01,26.7
