Point,BOD,COD,T-N,DTN,NO3-N,NH3-N,T-P,DTP,PO4-P,Chl-a
ae_상주3,1.6,4.7,2.516,2.325,1.991,0.08,0.043,0.021,0.01,19.6
ae_상주3,1.7,5,2.613,2.435,1.946,0.055,0.036,0.018,0.007,14.8
ae_상주3,1.7,5.1,1.894,1.75,1.409,0.057,0.026,0.012,0.004,12.1
ae_상주3,1.6,5.6,2.607,2.442,1.999,0.066,0.03,0.017,0.008,12.3
ae_상주3,1.5,5.4,2.353,2.114,1.666,0.055,0.027,0.013,0.006,18
ae_상주3,1.5,5.6,2.763,2.589,2.121,0.078,0.031,0.018,0.011,16.3
ae_상주3,1.5,5.1,2.293,2.151,1.76,0.054,0.03,0.019,0.007,18.9
af_산곡,0.9,3.4,2.447,2.025,1.88,0.057,0.055,0.045,0.015,9.8
af_산곡,0.7,3.6,2.469,2.338,2.236,0.035,0.054,0.028,0.015,8.4
af_산곡,0.9,3.1,2.486,2.426,2.29,0.07,0.054,0.026,0.017,14.5
af_산곡,0.9,3.3,2.275,2.186,1.917,0.084,0.026,0.017,0.009,15.1
af_산곡,1.1,3.9,2.148,2.067,1.82,0.082,0.031,0.022,0.009,17.9
af_산곡,1,4.4,2.366,2.222,1.935,0.075,0.047,0.029,0.019,7.9
af_산곡,1,4.7,2.57,2.483,2.06,0.079,0.054,0.03,0.024,8.3
af_산곡,1.4,5.2,2.345,2.043,1.991,0.083,0.032,0.019,0.01,15
af_산곡,1.8,4.8,2.185,2.061,1.663,0.118,0.032,0.014,0.02,22.7
af_산곡,1.9,4.9,2.414,2.32,2.009,0.188,0.027,0.019,0.009,15.1
af_산곡,1.5,5.5,1.811,1.67,1.266,0.11,0.018,0.075,0.005,14.2
af_산곡,2,6.1,2.442,2.374,2.123,0.092,0.028,0.018,0.009,18.6
af_산곡,2.1,5.8,2.062,2.004,1.612,0.08,0.027,0.017,0.008,19.9
af_산곡,2.1,6.1,2.584,2.494,2.011,0.071,0.033,0.021,0.012,20.6
af_산곡,1.9,5.9,2.25,2.187,1.708,0.064,0.023,0.017,0.007,18.5
ag_감천2,0.9,2.9,4.914,4.048,3.604,0.086,0.181,0.14,0.109,5.5
ag_감천2,1.1,3.8,4.437,4.149,3.52,0.125,0.174,0.145,0.138,9.2
ag_감천2,1,3,3.902,3.837,3.428,0.14,0.172,0.15,0.142,9.4
ag_감천2,0.9,3.4,3.854,3.748,3.313,0.144,0.145,0.136,0.131,10
ag_감천2,1,3.8,3.417,3.324,2.941,0.12,0.126,0.114,0.109,8
ag_감천2,1.1,4.7,3.955,3.846,3.403,0.181,0.142,0.123,0.114,5.3
ag_감천2,1.2,4.4,3.902,3.739,3.078,0.248,0.067,0.058,0.052,4.5
ag_감천2,0.9,4,3.897,3.813,3.533,0.132,0.066,0.051,0.044,2.5
ag_감천2,0.8,3.5,3.586,3.481,2.967,0.089,0.282,0.062,0.052,3.3
ag_감천2,1.1,3.4,3.66,3.537,3.398,0.12,0.058,0.052,0.029,4.8
ag_감천2,1.3,4.5,3.279,3.16,2.582,0.104,0.041,0.035,0.028,9.1
ag_감천2,1.6,5.5,3.366,3.289,3.206,0.084,0.069,0.059,0.048,7
ag_감천2,1.4,5,3.341,3.25,2.552,0.079,0.034,0.028,0.016,6
ag_감천2,1.9,5.1,3.639,3.507,2.532,0.113,0.059,0.049,0.039,5.6
ag_감천2,1.1,4.4,3.218,3.115,2.633,0.085,0.047,0.036,0.03,5.4
ah_강정,1.1,3.3,2.681,2.201,1.989,0.056,0.052,0.042,0.021,11.1
ah_강정,0.8,3.4,2.548,2.427,2.25,0.04,0.058,0.038,0.026,14.9
ah_강정,1,3.3,2.546,2.489,2.329,0.078,0.058,0.029,0.02,16.2
ah_강정,1,3.4,2.344,2.253,1.989,0.095,0.028,0.018,0.014,19.2
ah_강정,1.2,3.9,2.282,2.178,1.885,0.1,0.029,0.019,0.011,19.3
ah_강정,1.1,4.3,2.422,2.33,1.963,0.076,0.053,0.026,0.02,8.9
ah_강정,1.1,4.5,2.602,2.464,2.066,0.083,0.057,0.03,0.025,9.2
ah_강정,1.4,5.1,2.536,2.371,2.156,0.085,0.034,0.019,0.011,9.8
ah_강정,1.6,4.8,2.33,2.215,1.759,0.132,0.053,0.033,0.016,12.9
ah_강정,1.8,4.8,2.565,2.494,2.133,0.147,0.034,0.026,0.007,12.2
ah_강정,1.6,5.4,1.939,1.82,1.407,0.111,0.019,0.066,0.006,13.8
ah_강정,2,6,2.614,2.521,2.085,0.078,0.036,0.022,0.013,14.6
ah_강정,1.9,5.7,2.324,2.189,1.703,0.058,0.033,0.016,0.008,17
ah_강정,1.9,6,2.768,2.676,2.155,0.058,0.04,0.026,0.017,17
ah_강정,1.9,5.6,2.169,2.044,1.686,0.049,0.035,0.02,0.009,16.4
ai_구미,1.9,4.6,3.562,2.896,2.358,0.241,0.124,0.096,0.058,19.6
ai_구미,1.9,4.8,3.51,3.276,2.819,0.264,0.143,0.108,0.09,15.8
ai_구미,1.6,3.8,2.813,2.75,2.284,0.315,0.09,0.062,0.05,18.6
ai_구미,1.5,4.2,2.708,2.531,2.108,0.209,0.111,0.072,0.057,14.4
ai_구미,2,5.1,2.859,2.857,2.239,0.18,0.146,0.099,0.083,31.3
ai_구미,1.5,5.2,2.838,2.69,2.239,0.141,0.127,0.08,0.068,13.5
ai_구미,1.4,5.2,2.967,2.811,2.49,0.099,0.132,0.075,0.064,14.8
ai_구미,1.8,5.1,2.917,2.693,2.353,0.089,0.081,0.048,0.033,17.7
ai_구미,2,5.4,2.924,2.605,2.119,0.114,0.055,0.026,0.012,21.6
ai_구미,2.4,6.3,3.163,2.867,2.258,0.087,0.061,0.028,0.012,28.9
ai_구미,2.3,6.3,2.511,2.268,1.687,0.114,0.037,0.018,0.003,19.1
ai_구미,2,6.4,2.923,2.799,2.118,0.193,0.037,0.022,0.009,16.9
ai_구미,1.8,5.7,2.695,2.463,1.863,0.13,0.034,0.017,0.008,16.8
ai_구미,2,6.4,3.031,2.819,2.23,0.152,0.038,0.024,0.013,23
ai_구미,2.1,5.8,2.544,2.369,1.89,0.085,0.037,0.023,0.008,25.2
aj_왜관,1.9,4.1,3.343,2.708,2.249,0.211,0.108,0.08,0.043,13.4
aj_왜관,1.7,4.3,3.05,2.823,2.535,0.122,0.105,0.061,0.047,13.3
aj_왜관,1.8,4.1,2.833,2.717,2.319,0.206,0.079,0.051,0.04,22.1
aj_왜관,1.8,4.6,2.759,2.665,2.26,0.212,0.087,0.062,0.048,24.8
aj_왜관,1.9,5.5,2.722,2.554,2.086,0.255,0.112,0.086,0.071,33.6
aj_왜관,1.5,5.3,2.945,2.834,2.334,0.285,0.107,0.066,0.057,14.8
aj_왜관,1.5,5.6,2.957,2.802,2.291,0.136,0.098,0.056,0.044,17.8
aj_왜관,1.8,5.5,2.772,2.519,2.272,0.119,0.058,0.036,0.022,20
aj_왜관,1.9,5.3,2.659,2.547,1.996,0.177,0.048,0.029,0.012,20.2
aj_왜관,2.4,6,2.924,2.806,2.264,0.207,0.044,0.031,0.014,27.4
aj_왜관,1.8,6,2.367,2.249,1.645,0.192,0.029,0.061,0.009,20.4
aj_왜관,1.9,6.4,2.835,2.72,2.211,0.155,0.038,0.021,0.01,19.3
aj_왜관,1.9,5.9,2.625,2.476,1.882,0.108,0.035,0.016,0.008,16.8
aj_왜관,2,6.4,2.976,2.854,2.219,0.148,0.043,0.025,0.014,21.9
aj_왜관,1.9,5.7,2.448,2.339,1.907,0.106,0.033,0.02,0.009,20.1
