PO4_P
0.019
0.02
0.009
0.02
0.046
0.067
0.04
0.045
0.034
0.046
0.064
0.029
0.018
0.031
0.024
0.022
0.039
0.063
0.058
0.035
0.048
0.057
0.048
0.02
0.029
0.041
0.014
0.006
0.01
0.026
0.047
0.064
0.041
0.03
0.006
0.005
0.012
0.012
0.028
0.023
0.058
0.05
0.074
0.05
0.036
0.03
0.038
0.034
0.014
0.028
0.014
0.02
0.041
0.053
0.064
0.04
0.057
0.024
0.026
0.025
0.023
0.047
0.019
0.073
0.039
0.033
0.063
0.064
0.033
0.012
0.048
0.038
0.026
0.032
0.029
0.02
0.02
0.032
0.056
0.049
0.045
0.084
0.02
0.026
0.039
0.018
0.036
0.046
0.038
0.029
0.095
0.081
0.04
0.022
0.018
0.018
0.012
0.013
0.03
0.032
0.059
0.027
0.073
0.078
0.05
0.032
0.02
0.038
0.021
0.012
0.024
0.022
0.031
0.04
0.062
0.082
0.071
0.037
0.046
0.022
0.048
0.065
0.012
0.053
0.015
0.02
0.079
0.096
0.048
0.071
0.057
0.044
0.042
0.064
0.096
0.09
0.07
0.088
0.106
0.072
0.078
0.139
0.028
0.029
0.068
0.06
0.032
0.027
0.047
0.022
0.099
0.149
0.067
0.034
0.006
0.007
0.034
0.021
0.079
0.09
0.136
0.038
0.133
0.11
0.095
0.11
0.138
0.229
0.026
0.01
0.031
0.04
0.04
0.046
0.128
0.111
0.073
0.03
0.167
0.005
0.034
0.081
0.014
0.082
0.012
0.057
0.154
0.055
0.053
0.03
0.118
0.102
0.056
0.07
0.097
0.051
0.074
0.048
0.085
0.071
0.127
0.249
0.106
0.091
0.07
0.122
0.125
0.092
0.062
0.066
0.364
0.134
0.038
0.021
0.01
0.032
0.016
0.057
0.107
0.051
0.043
0.053
0.091
0.094
0.08
0.097
0.093
0.03
0.016
0.009
0.164
0.132
0.115
0.112
0.111
0.066
0.106
0.027
0.083
0.197
0.055
0.029
0.017
0.049
0.027
0.025
0.041
0.063
0.049
0.039
0.093
0.089
0.036
0.072
0.046
0.025
0.045
0.068
0.085
0.117
0.077
0.126
0.061
0.023
0.019
0.02
0.018
0.044
0.038
0.006
0.101
0.104
0.039
0.031
0.008
0.007
0.013
0.023
0.034
0.043
0.048
0.026
0.096
0.09
0.108
0.07
0.066
0.038
0.024
0.018
0.027
0.098
0.045
0.037
0.079
0.063
0.073
0.016
0.053
0.032
0.043
0.044
0.039
0.041
0.017
0.011
0.067
0.069
0.038
0.024
0.092
0.109
0.029
0.082
0.049
0.026
0.048
0.053
0.065
0.07
0.065
0.096
0.05
0.025
0.021
0.015
0.01
0.034
0.053
0.018
0.098
0.084
0.037
0.025
0.016
0.019
0.018
0.019
0.05
0.03
0.037
0.024
0.056
0.063
0.052
0.056
0.04
0.04
0.021
0.033
0.029
0.03
0.041
0.025
0.067
0.056
0.053
0.03
0.029
0.012
0.039
0.015
0.011
0.038
0.027
0.015
0.047
0.055
0.047
0.033
0.081
0.075
0.009
0.073
0.04
0.051
0.024
0.048
0.05
0.056
0.092
0.12
0.036
0.034
0.018
0.005
0.027
0.029
0.018
0.025
0.106
0.083
0.051
0.024
0.007
0.003
0.021
0.008
0.044
0.032
0.039
0.042
0.071
0.106
0.062
0.051
0.019
0.01
0.015
0.005
0.014
0.021
0.057
0.029
0.091
0.075
0.076
0.027
0.011
0.051
0.031
0.006
0.006
0.033
0.04
0.02
0.043
0.052
0.035
0.038
0.042
0.052
0.004
0.042
0.013
0.019
0.024
0.037
0.065
0.078
0.082
0.098
0.019
0.017
0.017
0.012
0.017
0.016
0.02
0.007
0.079
0.065
0.046
0.015
0.019
0.01
0.021
0.015
0.038
0.023
0.026
0.023
0.066
0.082
0.046
0.034
0.028
0.028
0.013
0.014
0.013
0.029
0.044
0.017
0.053
0.065
0.07
0.024
0.023
0.049
0.017
0.007
0.006
0.03
0.03
0.016
0.044
0.068
0.034
0.031
0.016
0.062
0.007
0.041
0.019
0.024
0.026
0.035
0.067
0.074
0.073
0.102
0.034
0.029
0.016
0.008
0.017
0.057
0.012
0.005
0.064
0.07
0.052
0.019
0.008
0.011
0.017
0.02
0.019
0.021
0.024
0.032
0.043
0.07
0.049
0.03
0.033
0.032
0.021
0.014
0.024
0.022
0.05
0.018
0.05
0.061
0.082
0.023
0.017
0.058
0.013
0.004
0.008
0.02
0.027
0.012
0.04
0.054
0.02
0.025
0.018
0.051
0.007
0.033
0.012
0.02
0.038
0.028
0.066
0.059
0.069
0.155
0.039
0.017
0.027
0.008
0.015
0.01
0.011
0.011
0.057
0.072
0.055
0.026
0.01
0.012
0.013
0.015
0.019
0.025
0.022
0.021
0.035
0.056
0.048
0.03
0.037
0.028
0.013
0.012
0.027
0.022
0.033
0.023
0.05
0.058
0.086
0.034
0.017
0.025
