FC
139
785
158
410
163
532
530
611
396
1448
1354
252
120
468
328
745
375
296
1293
242
1960
1450
140
210
180
200
173
150
56
285
1378
2218
1438
275
73
558
574
361
1195
380
433
278
1000
1138
1570
1136
310
1098
178
190
346
743
722
941
3196
1813
3226
2930
2230
1008
3300
675
840
2725
1700
1025
8000
11700
1300
2550
4750
1075
500
1100
2780
875
390
504
2940
3960
4850
4750
2960
11000
2525
2456
1200
8610
748
5750
29465
208250
8435
3725
19525
12425
8600
988
5203
9900
1898
1313
3132
6125
2417
3380
3020
3538
1485
550
2410
3567
2975
2265
3400
76490
3120
3005
23885
3041
16800
4600
1920
16300
5300
5250
28750
38250
10250
44400
7575
2465
2000
12900
68420
10125
2310
5060
8300
13280
7150
38100
12080
15900
6250
23280
4595
7925
3825
8450
40250
221750
80350
21775
2440
26600
44950
27585
104635
61650
3225
3300
83251
53150
18267
12300
29550
156925
2750
2000
13575
17900
7250
5950
29400
61250
25050
3600
142775
30925
11250
6250
3680
20800
1575
14675
67250
14250
10000
4900
10150
19000
2100
11650
8120
4200
3570
2600
10150
7012
21000
93500
57600
32750
4825
62000
32050
53500
923
16055
47900
294500
35325
4150
7425
207550
22200
54800
52210
54200
39025
4300
26506
54650
16133
12540
24463
21413
825
1507
35595
66676
19285
29350
40450
58160
98150
4000
12375
101915
155
1062
51
1159
686
833
1948
1107
3161
450
4605
1078
60
462
258
1314
1864
1360
7305
2456
2175
8050
1416
545
54
81
70
163
81
52
2865
11600
3185
630
172
1225
176
144
3100
13833
20125
1975
14806
10315
57875
9980
22395
3690
34
1183
1783
14434
19518
2370
25288
23030
16658
883
300
3168
71
133
185
305
83
186
555
427
218
300
913
1200
59
330
143
1487
234
123
1783
61
910
3400
422
85
55
66
190
27
34
14
1182
6676
1675
340
50
4370
53
11
1060
1324
5750
162
900
4203
5490
5044
4638
1088
75
259
275
3083
5608
640
4980
5800
7220
1565
585
845
80
86
55
256
55
36
200
158
82
256
735
780
165
240
242
115
295
37
93
147
223
1988
550
330
175
121
71
85
60
380
1170
9458
580
918
664
486
120
420
1004
4505
1005
38
1958
2243
3767
3020
571
524
39
108
236
57
290
32
2098
133
797
870
445
1870
20
23
4
32
20
17
279
13
13
40
92
210
6
101
121
92
33
30
147
19
463
2600
54
39
20
3
5
2
1
1
143
1197
219
35
17
26
9
6
634
166
173
4
1262
1983
368
494
688
300
21
19
142
26
148
24
1867
2165
1970
550
58
482
40
2
8
55
24
16
12
680
73
70
2
70
4
100
540
1
750
14
2400
30
95
600
90
20
20
1
1
5
22
100
100
50
50
30
1
3
7
1
100
10
110
2
1900
5
200
10
160
340
20
10
2
3
1
12
1200
2
47
510
18
280
20
2
10
195
93
26
4
1540
205
52
16
66
48
210
200
1
3900
12
2200
40
30
1000
120
10
2
1
1
1
4
4
200
50
50
50
2
1
2
2
200
10
30
1
1100
30
190
33
12
150
20
10
1
5
1
20
1300
1
97
410
10
520
