TC
1260
2605
799
7938
1170
2422
3755
4500
2410
8925
10200
6880
2500
8075
6940
3475
4475
4700
11300
2052
10875
20000
10980
15875
2800
1240
1150
8188
610
1158
7050
15600
5300
2500
895
2075
7000
1068
11450
4640
6525
2650
5040
7125
8875
8820
5075
4400
523
1225
2550
2908
7875
2900
17900
11975
9880
8325
6865
4600
39700
11400
10800
64500
18000
12250
141000
82000
17500
14500
28900
54000
14750
18750
11136
3300
4800
1900
4825
9280
14325
13650
13640
41000
9450
8640
17300
33500
16725
30750
70750
266500
25550
8000
36650
62750
71250
16450
65250
40500
90000
14400
13850
7000
7800
11720
22875
33175
7800
7800
30200
83732
8775
13495
23525
106875
13000
12550
170175
17120
74500
51000
32800
242000
28530
51500
190000
224500
25000
189250
43450
18000
6550
31500
53440
54750
22750
24840
13900
26240
31500
81250
28400
72250
40200
109800
30750
82250
38750
42325
78000
263500
144000
31350
4875
56575
95750
69500
290750
230500
64750
11800
243000
146300
54000
26920
82050
248500
15750
23333
60500
99200
46025
24900
106750
204700
45850
12950
247050
110750
53500
100500
84800
212500
17750
124000
274500
44000
38500
17250
31900
77500
6250
36250
45920
21250
28750
20640
52000
8300
82750
208200
153200
86500
10600
162800
232500
235500
7600
118975
101000
392500
41375
9700
23350
335750
101000
123500
265250
184000
107000
17700
53250
102000
24667
28586
62600
141350
5875
13800
200550
185920
53350
62650
154600
82190
202500
18350
31300
200900
6880
3675
1512
17763
5298
6342
8623
4028
10753
1961
19705
16400
875
5561
3675
5775
8700
11250
27275
10192
12250
36000
6800
5880
1576
3070
5275
2800
220
100
9775
23500
10475
2075
1311
12125
3820
1115
13450
59600
78500
7450
67760
32800
100750
29620
41175
16975
730
8225
22600
78900
63025
19025
54880
54900
51880
3250
2155
14225
1850
1405
1856
2035
2050
7325
8750
6525
1025
1085
2793
8150
725
2850
1183
4715
1803
832
10523
117
2638
19200
1360
1058
800
1950
715
225
146
77
10805
22956
8550
1010
165
17300
2160
810
8200
7992
32175
311
2553
17527
9400
21240
23775
9150
380
5130
2975
18720
25770
4570
18558
33395
19780
5400
1365
3250
1925
1475
656
5750
6500
3000
5200
8650
3215
520
2060
2250
1000
2050
1788
325
975
86
186
213
324
3110
948
1775
1725
408
438
580
1115
1560
3470
12600
1065
1183
908
1375
1130
835
5850
22550
6450
1259
5804
3915
5867
5700
2963
5450
198
1400
1225
378
272
197
5566
344
1469
1688
788
3990
101
414
109
1942
187
160
1852
58
45
87
505
1504
158
526
850
380
552
304
3209
164
1360
12525
400
535
126
350
230
48
93
6
386
23002
8403
315
155
108
292
41
5000
930
905
9
5810
15050
3220
1996
5275
3490
218
1005
1605
195
272
188
6486
7725
8040
3726
318
1615
53
237
42
700
187
48
640
1060
540
480
95
460
60
940
6000
40
3900
200
15000
100
540
9000
700
200
65
60
40
120
110
300
600
1000
100
300
100
36
110
25
800
130
900
300
4000
400
1900
130
840
2000
140
300
500
40
2
65
3400
540
160
1800
290
3700
67
80
133
1320
193
65
300
4800
1080
560
400
180
45
470
1300
60
18300
100
16000
300
1500
8000
400
100
70
90
20
80
80
300
400
100
400
200
50
12
44
5
800
30
300
100
20000
100
400
300
400
4000
40
220
100
80
8
55
2900
98
330
2100
450
2000
