site,A_leaves,B_plants,C_algae,D_compost,E_soil,F_effluent,G_sewage,H_groundwater,round
JS-35,0.012,0.018,0.111,0.026,0.146,0.512,0.117,0.058,round01
JS-36,0.014,0.017,0.095,0.027,0.16,0.549,0.089,0.048,round01
JS-01,0.024,0.025,0.12,0.047,0.122,0.447,0.176,0.04,round02
JS-02,0.036,0.032,0.13,0.061,0.155,0.445,0.103,0.037,round02
JS-03,0.047,0.03,0.128,0.065,0.148,0.448,0.099,0.035,round02
JS-04,0.045,0.045,0.142,0.07,0.166,0.412,0.086,0.034,round02
JS-05,0.025,0.035,0.143,0.05,0.136,0.456,0.115,0.04,round02
JS-06,0.028,0.035,0.141,0.051,0.131,0.454,0.12,0.04,round02
JS-07,0.035,0.037,0.133,0.058,0.15,0.449,0.102,0.037,round02
JS-08,0.03,0.032,0.14,0.056,0.143,0.447,0.113,0.038,round02
JS-09,0.022,0.033,0.144,0.048,0.142,0.435,0.133,0.042,round02
JS-10,0.026,0.029,0.126,0.051,0.135,0.471,0.123,0.039,round02
JS-11,0.022,0.032,0.146,0.043,0.127,0.446,0.137,0.048,round02
JS-12,0.022,0.025,0.124,0.046,0.122,0.416,0.188,0.058,round02
JS-13,0.023,0.03,0.141,0.046,0.129,0.443,0.141,0.049,round02
JS-14,0.025,0.027,0.13,0.051,0.133,0.467,0.126,0.041,round02
JS-15,0.021,0.018,0.077,0.048,0.079,0.247,0.47,0.04,round02
JS-16,0.023,0.025,0.119,0.046,0.111,0.442,0.181,0.053,round02
JS-17,0.021,0.03,0.137,0.043,0.126,0.425,0.164,0.054,round02
JS-18,0.021,0.025,0.134,0.046,0.124,0.439,0.162,0.049,round02
JS-19,0.023,0.027,0.13,0.05,0.133,0.46,0.136,0.041,round02
JS-20,0.022,0.027,0.122,0.046,0.131,0.443,0.158,0.05,round02
JS-21,0.022,0.024,0.106,0.048,0.104,0.432,0.219,0.045,round02
JS-22,0.013,0.014,0.048,0.034,0.046,0.115,0.706,0.025,round02
JS-23,0.019,0.024,0.126,0.04,0.109,0.365,0.253,0.064,round02
JS-24,0.023,0.028,0.135,0.047,0.131,0.441,0.151,0.044,round02
JS-25,0.02,0.024,0.112,0.044,0.112,0.409,0.223,0.056,round02
JS-26,0.027,0.024,0.121,0.053,0.128,0.458,0.147,0.042,round02
JS-27,0.032,0.026,0.127,0.06,0.144,0.453,0.12,0.038,round02
JS-28,0.021,0.025,0.132,0.045,0.119,0.437,0.169,0.051,round02
JS-29,0.023,0.023,0.113,0.048,0.119,0.439,0.186,0.048,round02
JS-30,0.018,0.026,0.141,0.038,0.108,0.362,0.236,0.072,round02
JS-31,0.02,0.023,0.124,0.043,0.124,0.415,0.196,0.056,round02
JS-32,0.044,0.031,0.121,0.07,0.157,0.444,0.099,0.034,round02
JS-33,0.018,0.021,0.103,0.041,0.088,0.312,0.359,0.059,round02
JS-34,0.019,0.023,0.115,0.043,0.102,0.362,0.268,0.067,round02
JS-35,0.019,0.026,0.142,0.041,0.118,0.395,0.201,0.059,round02
JS-36,0.019,0.023,0.127,0.041,0.113,0.373,0.24,0.065,round02
JS-01,0.02,0.058,0.129,0.042,0.157,0.518,0.037,0.039,round03
JS-02,0.04,0.062,0.127,0.063,0.193,0.453,0.032,0.032,round03
JS-03,0.031,0.058,0.132,0.047,0.175,0.489,0.035,0.032,round03
JS-04,0.036,0.069,0.124,0.055,0.191,0.468,0.029,0.028,round03
JS-05,0.028,0.057,0.128,0.048,0.183,0.489,0.034,0.032,round03
JS-06,0.019,0.238,0.066,0.219,0.081,0.151,0.031,0.195,round03
JS-07,0.02,0.071,0.153,0.037,0.176,0.473,0.035,0.035,round03
JS-08,0.017,0.049,0.138,0.036,0.162,0.504,0.046,0.048,round03
JS-09,0.018,0.053,0.138,0.038,0.167,0.503,0.04,0.042,round03
JS-10,0.021,0.06,0.139,0.039,0.163,0.503,0.038,0.038,round03
JS-11,0.019,0.059,0.146,0.037,0.168,0.489,0.043,0.039,round03
JS-12,0.015,0.052,0.154,0.035,0.153,0.476,0.056,0.058,round03
JS-13,0.027,0.06,0.129,0.042,0.18,0.494,0.034,0.033,round03
JS-14,0.023,0.058,0.129,0.041,0.167,0.508,0.037,0.036,round03
JS-15,0.022,0.057,0.127,0.043,0.168,0.511,0.039,0.034,round03
JS-16,0.023,0.175,0.104,0.154,0.114,0.243,0.047,0.139,round03
JS-17,0.027,0.123,0.114,0.109,0.138,0.35,0.05,0.089,round03
JS-18,0.029,0.053,0.119,0.052,0.164,0.511,0.037,0.035,round03
JS-19,0.021,0.076,0.163,0.035,0.177,0.461,0.035,0.033,round03
JS-20,0.017,0.074,0.143,0.057,0.133,0.4,0.089,0.088,round03
JS-21,0.018,0.054,0.14,0.039,0.168,0.501,0.041,0.04,round03
JS-22,0.016,0.054,0.165,0.037,0.149,0.484,0.05,0.046,round03
JS-23,0.018,0.058,0.143,0.034,0.163,0.497,0.043,0.044,round03
JS-24,0.019,0.053,0.141,0.039,0.16,0.509,0.042,0.037,round03
JS-25,0.019,0.059,0.133,0.04,0.158,0.516,0.039,0.037,round03
JS-26,0.019,0.054,0.14,0.036,0.168,0.498,0.045,0.041,round03
JS-27,0.022,0.06,0.143,0.041,0.175,0.482,0.038,0.039,round03
JS-28,0.02,0.056,0.131,0.04,0.156,0.507,0.045,0.045,round03
JS-29,0.023,0.053,0.131,0.042,0.167,0.511,0.036,0.036,round03
JS-30,0.022,0.054,0.133,0.044,0.17,0.507,0.036,0.034,round03
JS-31,0.021,0.058,0.146,0.037,0.17,0.49,0.039,0.038,round03
JS-32,0.021,0.064,0.135,0.04,0.162,0.5,0.038,0.038,round03
JS-33,0.016,0.053,0.15,0.037,0.146,0.485,0.055,0.058,round03
JS-34,0.022,0.056,0.133,0.042,0.162,0.509,0.04,0.036,round03
JS-35,0.02,0.051,0.143,0.037,0.161,0.508,0.04,0.04,round03
JS-36,0.018,0.055,0.143,0.04,0.156,0.506,0.043,0.039,round03
JS-01,0.009,0.019,0.088,0.024,0.15,0.592,0.091,0.027,round04
JS-02,0.015,0.027,0.09,0.033,0.181,0.559,0.068,0.026,round04
JS-03,0.019,0.023,0.095,0.045,0.189,0.543,0.062,0.024,round04
JS-04,0.017,0.027,0.094,0.039,0.195,0.542,0.062,0.023,round04
JS-05,0.012,0.027,0.097,0.028,0.177,0.562,0.07,0.026,round04
JS-06,0.013,0.027,0.104,0.03,0.185,0.551,0.066,0.026,round04
JS-07,0.013,0.025,0.097,0.031,0.188,0.555,0.066,0.026,round04
JS-08,0.012,0.025,0.107,0.029,0.18,0.544,0.076,0.028,round04
JS-09,0.014,0.025,0.1,0.032,0.178,0.558,0.067,0.027,round04
JS-10,0.01,0.022,0.106,0.025,0.163,0.546,0.093,0.034,round04
JS-11,0.011,0.022,0.099,0.03,0.163,0.563,0.084,0.027,round04
JS-12,0.014,0.025,0.097,0.033,0.179,0.562,0.065,0.024,round04
JS-13,0.011,0.022,0.1,0.027,0.164,0.562,0.082,0.031,round04
JS-14,0.012,0.024,0.104,0.029,0.162,0.563,0.08,0.027,round04
JS-15,0.011,0.021,0.101,0.031,0.162,0.572,0.075,0.027,round04
JS-16,0.011,0.024,0.105,0.027,0.165,0.546,0.091,0.031,round04
JS-17,0.011,0.025,0.106,0.025,0.165,0.543,0.091,0.034,round04
JS-18,0.009,0.023,0.125,0.023,0.167,0.501,0.108,0.043,round04
JS-19,0.01,0.022,0.106,0.026,0.164,0.541,0.095,0.035,round04
JS-20,0.012,0.02,0.096,0.028,0.165,0.562,0.087,0.03,round04
JS-21,0.011,0.02,0.096,0.027,0.148,0.533,0.127,0.038,round04
JS-22,0.007,0.015,0.053,0.019,0.068,0.161,0.649,0.029,round04
JS-23,0.01,0.02,0.096,0.027,0.142,0.527,0.134,0.045,round04
JS-24,0.012,0.024,0.101,0.028,0.163,0.556,0.088,0.029,round04
JS-25,0.009,0.018,0.095,0.025,0.144,0.538,0.129,0.041,round04
JS-26,0.01,0.02,0.104,0.024,0.154,0.517,0.127,0.043,round04
JS-27,0.011,0.018,0.092,0.027,0.143,0.569,0.107,0.032,round04
JS-28,0.011,0.02,0.106,0.026,0.152,0.549,0.1,0.036,round04
JS-29,0.01,0.018,0.092,0.028,0.136,0.515,0.158,0.044,round04
JS-30,0.009,0.023,0.126,0.023,0.167,0.459,0.138,0.055,round04
JS-31,0.011,0.019,0.09,0.027,0.143,0.565,0.115,0.03,round04
JS-32,0.011,0.024,0.096,0.027,0.159,0.568,0.086,0.029,round04
JS-33,0.01,0.019,0.097,0.025,0.155,0.549,0.107,0.037,round04
JS-34,0.011,0.019,0.089,0.026,0.147,0.564,0.108,0.036,round04
JS-35,0.011,0.023,0.1,0.029,0.155,0.554,0.096,0.033,round04
JS-36,0.01,0.02,0.096,0.026,0.148,0.556,0.107,0.037,round04
JS-01,0.01,0.022,0.091,0.029,0.108,0.622,0.086,0.033,round05
JS-02,0.016,0.03,0.102,0.042,0.148,0.571,0.06,0.031,round05
JS-03,0.017,0.026,0.097,0.04,0.133,0.589,0.067,0.031,round05
JS-04,0.016,0.034,0.108,0.037,0.143,0.57,0.064,0.029,round05
JS-05,0.016,0.033,0.115,0.041,0.146,0.562,0.061,0.027,round05
JS-06,0.018,0.034,0.104,0.045,0.144,0.566,0.058,0.03,round05
JS-07,0.016,0.03,0.104,0.04,0.136,0.584,0.059,0.032,round05
JS-08,0.01,0.029,0.121,0.029,0.129,0.555,0.089,0.039,round05
JS-09,0.012,0.028,0.099,0.032,0.121,0.579,0.089,0.04,round05
JS-10,0.01,0.031,0.12,0.028,0.125,0.54,0.099,0.045,round05
JS-11,0.011,0.024,0.107,0.036,0.118,0.585,0.082,0.037,round05
JS-12,0.011,0.023,0.105,0.03,0.122,0.576,0.093,0.04,round05
JS-13,0.014,0.025,0.091,0.036,0.131,0.597,0.073,0.032,round05
JS-14,0.014,0.03,0.112,0.035,0.129,0.582,0.066,0.031,round05
JS-15,0.012,0.029,0.112,0.033,0.131,0.562,0.084,0.038,round05
JS-16,0.012,0.028,0.103,0.033,0.128,0.577,0.08,0.038,round05
JS-17,0.013,0.026,0.095,0.035,0.129,0.585,0.082,0.036,round05
JS-18,0.011,0.027,0.099,0.033,0.116,0.579,0.095,0.04,round05
JS-19,0.012,0.03,0.105,0.033,0.122,0.576,0.083,0.039,round05
JS-20,0.013,0.026,0.104,0.033,0.123,0.59,0.076,0.035,round05
JS-21,0.009,0.023,0.099,0.03,0.102,0.556,0.134,0.047,round05
JS-22,0.007,0.015,0.05,0.019,0.056,0.153,0.668,0.033,round05
JS-23,0.011,0.023,0.1,0.031,0.114,0.573,0.105,0.045,round05
JS-24,0.011,0.023,0.099,0.034,0.114,0.59,0.091,0.038,round05
JS-25,0.011,0.023,0.097,0.032,0.113,0.578,0.103,0.042,round05
JS-26,0.01,0.027,0.109,0.029,0.121,0.559,0.101,0.043,round05
JS-27,0.012,0.026,0.101,0.033,0.117,0.58,0.095,0.037,round05
JS-28,0.014,0.028,0.107,0.034,0.127,0.582,0.073,0.035,round05
JS-29,0.012,0.021,0.087,0.036,0.111,0.593,0.101,0.039,round05
JS-30,0.01,0.024,0.107,0.029,0.118,0.55,0.112,0.049,round05
JS-31,0.011,0.021,0.098,0.031,0.113,0.567,0.113,0.047,round05
JS-32,0.012,0.026,0.099,0.032,0.115,0.589,0.088,0.039,round05
