site,A_leaves,B_plants,C_algae,D_compost,E_soil,F_effluent,G_sewage,H_groundwater,round
JS-16,0.014,0.02,0.107,0.024,0.163,0.566,0.058,0.049,round10
JS-17,0.016,0.017,0.096,0.027,0.164,0.577,0.056,0.047,round10
JS-18,0.014,0.016,0.101,0.027,0.165,0.568,0.061,0.048,round10
JS-19,0.017,0.018,0.099,0.027,0.162,0.579,0.051,0.047,round10
JS-20,0.015,0.015,0.093,0.025,0.148,0.591,0.061,0.052,round10
JS-21,0.013,0.016,0.103,0.023,0.154,0.555,0.075,0.061,round10
JS-22,0.011,0.014,0.087,0.024,0.121,0.463,0.177,0.103,round10
JS-23,0.013,0.014,0.093,0.024,0.139,0.579,0.077,0.06,round10
JS-24,0.013,0.016,0.099,0.025,0.149,0.556,0.074,0.069,round10
JS-25,0.014,0.013,0.087,0.029,0.152,0.593,0.065,0.047,round10
JS-26,0.013,0.017,0.11,0.024,0.149,0.553,0.071,0.064,round10
JS-27,0.013,0.013,0.083,0.025,0.139,0.611,0.067,0.05,round10
JS-28,0.011,0.015,0.106,0.024,0.159,0.552,0.069,0.062,round10
JS-29,0.012,0.013,0.089,0.026,0.138,0.602,0.068,0.051,round10
JS-30,0.011,0.017,0.124,0.021,0.154,0.504,0.083,0.085,round10
JS-31,0.012,0.015,0.095,0.023,0.152,0.569,0.072,0.062,round10
JS-32,0.015,0.014,0.097,0.027,0.161,0.571,0.063,0.052,round10
JS-33,0.011,0.013,0.088,0.022,0.138,0.538,0.104,0.087,round10
JS-34,0.014,0.015,0.091,0.026,0.151,0.589,0.061,0.052,round10
JS-35,0.012,0.015,0.096,0.026,0.15,0.561,0.073,0.068,round10
JS-36,0.012,0.015,0.095,0.023,0.148,0.582,0.071,0.054,round10
JS-01,0.014,0.015,0.076,0.021,0.119,0.645,0.062,0.047,round11
JS-02,0.014,0.019,0.095,0.024,0.124,0.565,0.084,0.074,round11
JS-03,0.014,0.02,0.104,0.024,0.124,0.577,0.075,0.062,round11
JS-04,0.02,0.025,0.097,0.028,0.152,0.589,0.047,0.041,round11
JS-05,0.017,0.018,0.091,0.025,0.124,0.601,0.071,0.053,round11
JS-06,0.017,0.024,0.102,0.027,0.143,0.58,0.059,0.05,round11
JS-07,0.013,0.02,0.101,0.023,0.132,0.568,0.076,0.067,round11
JS-08,0.013,0.019,0.095,0.024,0.134,0.576,0.077,0.062,round11
JS-09,0.016,0.02,0.092,0.025,0.14,0.592,0.065,0.049,round11
JS-10,0.013,0.021,0.107,0.022,0.135,0.553,0.082,0.067,round11
JS-11,0.016,0.018,0.083,0.028,0.132,0.609,0.064,0.049,round11
JS-12,0.013,0.019,0.094,0.024,0.132,0.583,0.072,0.063,round11
JS-13,0.018,0.017,0.085,0.028,0.128,0.613,0.062,0.049,round11
JS-14,0.014,0.02,0.098,0.024,0.125,0.583,0.074,0.062,round11
JS-15,0.018,0.02,0.087,0.027,0.133,0.609,0.06,0.046,round11
JS-16,0.016,0.021,0.09,0.028,0.136,0.607,0.056,0.047,round11
JS-17,0.017,0.02,0.09,0.026,0.133,0.601,0.061,0.051,round11
JS-18,0.021,0.023,0.087,0.029,0.145,0.606,0.049,0.04,round11
JS-19,0.018,0.02,0.092,0.028,0.139,0.595,0.061,0.047,round11
JS-20,0.017,0.019,0.09,0.027,0.132,0.606,0.063,0.046,round11
JS-21,0.016,0.016,0.08,0.027,0.117,0.609,0.078,0.057,round11
JS-22,0.013,0.015,0.073,0.031,0.09,0.347,0.307,0.124,round11
JS-23,0.015,0.019,0.088,0.027,0.13,0.6,0.069,0.052,round11
JS-24,0.015,0.019,0.099,0.025,0.13,0.58,0.074,0.059,round11
JS-25,0.021,0.018,0.077,0.033,0.13,0.619,0.059,0.043,round11
JS-26,0.016,0.02,0.094,0.025,0.131,0.595,0.066,0.054,round11
JS-27,0.016,0.017,0.089,0.026,0.12,0.613,0.067,0.051,round11
JS-28,0.015,0.018,0.086,0.027,0.123,0.603,0.073,0.057,round11
JS-29,0.017,0.019,0.083,0.027,0.125,0.626,0.058,0.046,round11
JS-30,0.014,0.02,0.093,0.024,0.127,0.59,0.073,0.059,round11
JS-31,0.017,0.02,0.084,0.029,0.133,0.614,0.057,0.047,round11
JS-32,0.016,0.02,0.084,0.027,0.134,0.601,0.066,0.051,round11
JS-33,0.013,0.016,0.083,0.027,0.105,0.546,0.128,0.083,round11
JS-34,0.02,0.019,0.084,0.03,0.137,0.598,0.063,0.049,round11
JS-35,0.015,0.021,0.094,0.023,0.133,0.582,0.072,0.06,round11
JS-36,0.016,0.019,0.092,0.025,0.128,0.607,0.064,0.048,round11
JS-01,0.018,0.013,0.107,0.03,0.174,0.597,0.042,0.019,round12
JS-02,0.024,0.017,0.111,0.041,0.189,0.554,0.043,0.021,round12
JS-03,0.043,0.018,0.115,0.063,0.22,0.482,0.037,0.021,round12
JS-04,0.033,0.02,0.121,0.049,0.212,0.509,0.037,0.02,round12
JS-05,0.029,0.02,0.117,0.046,0.206,0.523,0.041,0.019,round12
JS-06,0.029,0.02,0.115,0.046,0.203,0.527,0.039,0.021,round12
JS-07,0.021,0.016,0.125,0.034,0.182,0.557,0.043,0.022,round12
JS-08,0.016,0.016,0.134,0.03,0.174,0.553,0.049,0.027,round12
JS-09,0.021,0.017,0.119,0.033,0.19,0.555,0.043,0.023,round12
JS-10,0.021,0.017,0.112,0.036,0.188,0.561,0.044,0.021,round12
JS-11,0.016,0.016,0.13,0.029,0.185,0.551,0.049,0.023,round12
JS-12,0.014,0.013,0.115,0.027,0.155,0.563,0.079,0.033,round12
JS-13,0.024,0.016,0.107,0.043,0.179,0.566,0.043,0.022,round12
JS-14,0.018,0.016,0.129,0.032,0.184,0.55,0.047,0.023,round12
JS-15,0.017,0.015,0.124,0.031,0.178,0.558,0.051,0.026,round12
JS-16,0.02,0.019,0.128,0.036,0.19,0.542,0.044,0.022,round12
JS-17,0.017,0.014,0.115,0.03,0.176,0.575,0.049,0.023,round12
JS-18,0.028,0.02,0.121,0.044,0.199,0.527,0.041,0.02,round12
JS-19,0.024,0.017,0.116,0.038,0.18,0.558,0.045,0.022,round12
JS-20,0.016,0.016,0.131,0.029,0.178,0.549,0.055,0.026,round12
JS-21,0.019,0.017,0.122,0.031,0.171,0.562,0.052,0.026,round12
JS-22,0.015,0.014,0.116,0.026,0.158,0.579,0.063,0.029,round12
JS-23,0.019,0.016,0.116,0.031,0.18,0.57,0.046,0.022,round12
JS-24,0.022,0.017,0.124,0.037,0.175,0.559,0.043,0.023,round12
JS-25,0.02,0.017,0.12,0.031,0.185,0.559,0.046,0.021,round12
JS-26,0.023,0.017,0.112,0.038,0.192,0.555,0.041,0.021,round12
JS-27,0.02,0.016,0.116,0.035,0.178,0.564,0.05,0.021,round12
JS-28,0.015,0.014,0.12,0.028,0.165,0.565,0.063,0.029,round12
JS-29,0.016,0.017,0.128,0.029,0.185,0.551,0.05,0.024,round12
JS-30,0.016,0.014,0.122,0.029,0.162,0.563,0.061,0.033,round12
JS-31,0.019,0.016,0.112,0.034,0.177,0.57,0.048,0.024,round12
JS-32,0.017,0.016,0.123,0.031,0.174,0.558,0.054,0.029,round12
JS-33,0.016,0.014,0.116,0.03,0.154,0.576,0.063,0.031,round12
JS-34,0.025,0.016,0.114,0.038,0.182,0.561,0.044,0.02,round12
JS-35,0.017,0.018,0.13,0.032,0.174,0.554,0.051,0.024,round12
JS-36,0.021,0.017,0.114,0.037,0.172,0.571,0.045,0.023,round12
JS-01,,,,,,,,,round13
JS-02,,,,,,,,,round13
JS-03,,,,,,,,,round13
JS-04,,,,,,,,,round13
JS-05,,,,,,,,,round13
JS-06,,,,,,,,,round13
JS-07,,,,,,,,,round13
JS-08,,,,,,,,,round13
JS-09,,,,,,,,,round13
JS-10,,,,,,,,,round13
JS-11,,,,,,,,,round13
JS-12,,,,,,,,,round13
JS-13,,,,,,,,,round13
JS-14,,,,,,,,,round13
JS-15,,,,,,,,,round13
JS-16,,,,,,,,,round13
JS-17,,,,,,,,,round13
JS-18,,,,,,,,,round13
JS-19,,,,,,,,,round13
JS-20,,,,,,,,,round13
JS-21,,,,,,,,,round13
JS-22,,,,,,,,,round13
JS-23,,,,,,,,,round13
JS-24,,,,,,,,,round13
JS-25,,,,,,,,,round13
JS-26,,,,,,,,,round13
JS-27,,,,,,,,,round13
JS-28,,,,,,,,,round13
JS-29,,,,,,,,,round13
JS-30,,,,,,,,,round13
JS-31,,,,,,,,,round13
JS-32,,,,,,,,,round13
JS-33,,,,,,,,,round13
JS-34,,,,,,,,,round13
JS-35,,,,,,,,,round13
JS-36,,,,,,,,,round13
JS-01,,,,,,,,,round14
JS-02,,,,,,,,,round14
JS-03,,,,,,,,,round14
JS-04,,,,,,,,,round14
JS-05,,,,,,,,,round14
JS-06,,,,,,,,,round14
JS-07,,,,,,,,,round14
JS-08,,,,,,,,,round14
JS-09,,,,,,,,,round14
JS-10,,,,,,,,,round14
JS-11,,,,,,,,,round14
JS-12,,,,,,,,,round14
JS-13,,,,,,,,,round14
JS-14,,,,,,,,,round14
JS-15,,,,,,,,,round14
JS-16,,,,,,,,,round14
JS-17,,,,,,,,,round14
JS-18,,,,,,,,,round14
JS-19,,,,,,,,,round14
JS-20,,,,,,,,,round14
JS-21,,,,,,,,,round14
JS-22,,,,,,,,,round14
JS-23,,,,,,,,,round14
JS-24,,,,,,,,,round14
JS-25,,,,,,,,,round14
JS-26,,,,,,,,,round14
JS-27,,,,,,,,,round14
JS-28,,,,,,,,,round14
JS-29,,,,,,,,,round14
JS-30,,,,,,,,,round14
JS-31,,,,,,,,,round14
JS-32,,,,,,,,,round14
JS-33,,,,,,,,,round14
JS-34,,,,,,,,,round14
JS-35,,,,,,,,,round14
JS-36,,,,,,,,,round14
