지점,지점명,일시,M기온,최저기온,최저기온날,최고기온,최고기온날,M최저기온,M최고기온,M해면기압,S강수량,일최다강수량,일최다강수량날,M상대습도,S일조시간,일조율,S일사량,M풍속,최다풍향,S소형증발량,S대형증발량
184,제주,1963,14.8,-3.1,19630123,36.3,19630724,11.4,18.2,1016.1,1525.6,76.4,19630619,72.1,1813.8,40.95,,4.9,320,1350.9,
184,제주,1964,16.1,-0.8,19640222,35.9,19640715,12.6,19.4,1017,958,60.5,19640909,70.1,2102.6,47.34,,4.6,320,1564.8,
184,제주,1965,15,-2.5,19650112,33.8,19650728,11.3,18.6,1016.3,1161.2,97.2,19650811,71,2138.8,49.53,,4.7,320,1512.8,
184,제주,1966,15.6,-2.1,19660223,36.4,19660805,12.1,19.2,1015.5,1789.7,166.3,19660830,73.9,2120.5,50.08,,4.5,320,1565,
184,제주,1967,15.2,-4.9,19670115,33.9,19670730,11.8,18.6,1016.6,990,62.4,19670705,71.7,2206.2,49.82,,4.6,320,1494.4,
184,제주,1968,14.8,-3.2,19680220,33.4,19680807,11.4,18.2,1016.2,1241.9,118.5,19681003,74.8,2014.1,45.35,,4.2,320,1243,
184,제주,1969,14.9,-1.8,19690205,34.5,19690730,11.4,18.3,1016.2,1556.7,112.6,19690914,76.4,1968.5,44.44,,4.4,320,1321.8,
184,제주,1970,14.7,-4.6,19700105,35.8,19700806,11.6,17.9,1016.8,1301.9,184.9,19700830,79.2,1676.2,37.84,,3.9,340,1236.2,
184,제주,1971,15.4,-2.8,19710104,36.5,19710707,12,18.8,1016.5,1020.7,148.5,19710923,76.7,1932.1,43.62,,4.3,340,1455.9,
184,제주,1972,15.3,-1.4,19721220,32.5,19720816,11.8,18.5,1015.6,1823.3,113.7,19720726,79.8,1745.9,39.31,,4.2,340,1477.7,
184,제주,1973,15.5,-2.3,19731224,33.2,19730803,12.1,18.7,1016.5,1217.5,159.3,19730816,79.6,2181.7,49.25,13.71,4,340,1266.5,
184,제주,1974,14.8,-2.7,19740225,33.6,19740803,11.4,18.2,1015.9,1506.8,147.8,19740706,76.8,1882.9,42.5,,3.9,340,1106.9,
184,제주,1975,15.7,-2.5,19750223,33.3,19750805,12.6,18.8,1015.6,1279.5,87,19751114,75.5,1897.9,42.84,,4.2,340,1144.6,
184,제주,1976,14.7,-3.1,19761227,33.6,19760806,11.3,17.9,1015.8,1452.5,99.6,19760826,76.3,1872.6,42.16,,4,160,1094.6,
184,제주,1977,15.2,-6,19770216,35.1,19770729,11.9,18.4,1016.2,1180.8,63.9,19770821,77.1,1844.3,41.64,,3.9,340,1240.3,
184,제주,1978,15.8,-1.9,19780216,35.2,19780703,12.4,19,1015.9,1079.8,154.8,19780913,74.3,2291,51.71,,4,340,1479.6,
184,제주,1979,15.8,-2.6,19790201,35.2,19790805,12.3,19.1,1015.6,1838,198.1,19790824,75.5,1983.9,44.78,,3.9,160,1327.4,
184,제주,1980,14.6,-2.8,19800108,32.6,19800722,11.3,17.7,1016.1,1545.6,146.5,19800815,74.4,1561.1,35.15,,4.1,320,1181.4,
184,제주,1981,15,-5.1,19810226,34.1,19810724,11.7,18,1016,1612.4,225.7,19810902,70.7,1898.9,42.86,3514.34,3.9,290,1339.1,
184,제주,1982,15.4,-2.2,19820128,34,19820809,12.1,18.7,1015.8,1248,100.5,19820813,72.3,1978.3,44.65,4902.17,3.6,290,1296.7,706.9
