Code,WT,DO,pH,ED,BOD,COD,TOC,SS,TN,TP,PO4-P,Chl-a,NO3-N,NH3-N,TC,FC,Toxic CYA,Non-toxic CYA
St 2-11,23.0 ,8.4 ,7.9 ,223 ,1.7,5.1,3.7,52.4,2.068 ,0.105 ,0.027 ,5.6,1.903 ,0.053 ,625 ,64 ,0,30
St 2-12,29.0 ,10.5 ,9.0 ,238 ,3.2,8.8,6.5,58.0,1.687 ,0.145 ,0.003 ,69.9,1.510 ,0.017 ,235 ,82 ,78,553
St 2-13,25.0 ,7.8 ,7.6 ,165 ,1.8,5.6,4.2,68.4,3.023 ,0.135 ,0.050 ,10.6,2.348 ,0.041 ,1310 ,510 ,52,0
St 2-14,25.0 ,8.0 ,7.5 ,161 ,1.2,5.0,4.0,48.8,2.694 ,0.128 ,0.058 ,8.5,2.248 ,0.093 ,553 ,438 ,55,580
St 2-15,24.0 ,7.0 ,7.4 ,134 ,3.5,13.2,10.5,326.0,2.405 ,0.373 ,0.075 ,14.1,1.963 ,0.084 ,16600 ,6400 ,0,0
St 2-16,22.0 ,7.9 ,7.8 ,174 ,0.9,5.2,3.6,35.6,2.199 ,0.114 ,0.056 ,7.1,1.995 ,0.079 ,2450 ,1070 ,295,0
St 2-17,29.0 ,9.4 ,8.9 ,228 ,0.8,4.9,3.1,16.3,2.170 ,0.051 ,0.008 ,9.3,1.536 ,0.062 ,1 ,7 ,676,892
St 2-18,23.0 ,7.9 ,7.9 ,197 ,1.0,4.5,3.4,19.8,2.371 ,0.081 ,0.029 ,32.6,2.000 ,0.040 ,175 ,61 ,1324,960
St 2-19,20.0 ,14.6 ,9.0 ,229 ,3.4,6.1,3.8,13.8,2.363 ,0.066 ,0.010 ,41.1,1.923 ,0.049 ,70 ,15 ,823,61
St 2-20,17.0 ,10.3 ,7.9 ,218 ,1.2,4.9,3.2,27.8,2.214 ,0.056 ,0.027 ,10.2,2.046 ,0.046 ,120 ,8 ,0,0
St 2-21,16.0 ,10.1 ,8.0 ,271 ,1.9,5.6,4.1,22.3,2.318 ,0.091 ,0.025 ,20.5,1.965 ,0.055 ,205 ,33 ,74,111
St 2-22,9.0 ,15.9 ,8.6 ,314 ,2.4,6.5,4.0,17.0,2.305 ,0.092 ,0.006 ,119.6,1.956 ,0.016 ,178 ,22 ,164,0
St 2-23,6.0 ,13.4 ,7.8 ,264 ,1.2,4.8,3.3,19.6,3.234 ,0.082 ,0.055 ,10.5,3.123 ,0.037 ,445 ,13 ,52,0
St 2-24,2.0 ,15.6 ,7.5 ,275 ,0.6,2.9,2.1,8.3,3.087 ,0.056 ,0.045 ,9.1,2.195 ,0.029 ,3 ,2 ,42,0
St 3-1,1.2 ,13.2 ,7.9 ,401 ,1.6,4.5,2.9,18.4,3.867 ,0.097 ,0.049 ,8.4,3.465 ,0.242 ,110 ,0 ,0,0
St 3-2,1.4 ,14.4 ,7.9 ,453 ,1.6,4.8,2.9,18.4,4.370 ,0.107 ,0.049 ,7.2,3.701 ,0.222 ,188 ,16 ,0,0
St 3-3,4.2 ,12.4 ,7.8 ,418 ,1.9,5.7,3.6,25.5,3.860 ,0.135 ,0.066 ,21.0,2.841 ,0.307 ,68 ,6 ,0,0
St 3-4,8.0 ,11.9 ,7.8 ,404 ,2.2,6.7,4.1,36.0,3.582 ,0.142 ,0.046 ,15.7,3.421 ,0.280 ,178 ,1 ,102,0
St 3-5,7.7 ,11.3 ,7.7 ,351 ,1.4,5.0,3.7,46.4,4.146 ,0.132 ,0.057 ,9.6,2.954 ,0.257 ,188 ,14 ,23,75
St 3-6,11.0 ,14.4 ,8.5 ,367 ,4.5,9.1,7.4,56.4,3.299 ,0.164 ,0.010 ,132.1,2.751 ,0.044 ,1065 ,1 ,54,0
St 3-7,16.0 ,11.4 ,8.9 ,395 ,3.4,7.3,5.6,45.6,3.192 ,0.150 ,0.022 ,73.4,2.710 ,0.066 ,73 ,5 ,143,0
St 3-8,16.0 ,9.8 ,8.2 ,353 ,2.2,6.1,4.4,40.0,2.666 ,0.113 ,0.022 ,35.1,2.086 ,0.077 ,463 ,56 ,139,62
St 3-9,15.0 ,8.6 ,7.4 ,144 ,3.1,16.9,12.2,524.0,3.853 ,0.353 ,0.039 ,17.1,2.982 ,0.118 ,9100 ,1200 ,149,0
St 3-10,20.0 ,8.6 ,7.9 ,247 ,2.3,5.8,4.4,44.2,3.352 ,0.111 ,0.029 ,34.4,2.469 ,0.048 ,490 ,80 ,0,147
St 3-11,23.0 ,8.1 ,7.9 ,259 ,2.2,6.1,4.1,39.6,2.374 ,0.111 ,0.036 ,23.2,2.072 ,0.039 ,240 ,18 ,899,285
St 3-12,28.0 ,9.3 ,8.8 ,272 ,2.5,6.6,4.5,28.4,1.923 ,0.092 ,0.012 ,27.2,1.689 ,0.014 ,52 ,22 ,4101,2647
St 3-13,26.0 ,7.7 ,7.0 ,162 ,1.9,5.8,4.3,50.0,2.672 ,0.129 ,0.059 ,10.6,2.420 ,0.030 ,820 ,350 ,68,0
St 3-14,27.0 ,8.9 ,8.1 ,202 ,2.2,5.3,4.3,25.6,2.528 ,0.093 ,0.030 ,32.9,2.328 ,0.040 ,200 ,100 ,287,2167
St 3-15,25.0 ,7.3 ,7.7 ,119 ,2.6,8.2,6.9,184.7,1.964 ,0.247 ,0.074 ,7.8,1.883 ,0.063 ,11600 ,4250 ,278,104
St 3-16,24.0 ,8.3 ,7.8 ,167 ,1.8,4.4,3.3,36.8,2.076 ,0.089 ,0.054 ,12.5,1.936 ,0.063 ,2075 ,815 ,196,990
St 3-17,27.0 ,9.9 ,8.9 ,265 ,2.8,7.1,5.4,29.2,2.463 ,0.104 ,0.009 ,46.9,1.832 ,0.036 ,2 ,9 ,2928,1510
St 3-18,22.0 ,9.3 ,8.2 ,207 ,1.9,6.3,5.2,31.0,2.365 ,0.145 ,0.049 ,37.2,2.120 ,0.023 ,8 ,5 ,1404,1527
St 3-19,22.0 ,10.7 ,8.5 ,328 ,1.7,5.8,4.4,10.8,2.887 ,0.100 ,0.028 ,12.6,2.435 ,0.028 ,1 ,0 ,502,495
St 3-20,17.0 ,13.9 ,8.6 ,235 ,1.5,5.3,4.3,19.2,2.974 ,0.111 ,0.059 ,28.0,2.481 ,0.068 ,39 ,5 ,230,408
St 3-21,17.0 ,10.3 ,7.9 ,235 ,1.9,6.3,4.6,18.0,2.820 ,0.122 ,0.051 ,19.4,2.085 ,0.054 ,333 ,71 ,360,165
St 3-22,11.0 ,12.3 ,8.4 ,258 ,1.7,5.3,3.9,19.9,2.324 ,0.086 ,0.033 ,28.6,2.135 ,0.025 ,1245 ,193 ,142,0
St 3-23,6.0 ,15.7 ,8.5 ,286 ,3.2,7.3,5.9,50.3,2.927 ,0.124 ,0.047 ,70.3,2.643 ,0.017 ,255 ,13 ,68,0
St 3-24,3.0 ,17.6 ,8.2 ,320 ,3.7,7.7,5.7,17.2,3.407 ,0.120 ,0.046 ,63.3,2.861 ,0.018 ,19 ,3 ,0,105
